Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.03,0.38,0.41
1,440,-43.71,-10.06,-6.37,0.32,0.25,1.27
2,451,-33.51,-8.26,-5.92,0.31,0.29,2.48
3,454,-42.50,-9.17,-5.51,0.37,0.25,3.70
4,457,-34.72,-8.15,-5.75,0.39,0.26,5.07
5,460,-26.57,-7.84,-4.48,0.48,0.25,6.55
6,460,-29.04,-7.71,-2.88,0.28,0.35,7.99
7,455,-35.79,-7.71,-2.62,0.40,0.30,9.35
8,460,-27.33,-7.55,-4.04,0.30,0.35,10.74
9,466,-20.60,-7.59,-5.01,0.37,0.35,12.15
10,473,-27.22,-6.70,-4.23,0.46,0.33,13.65
11,474,-29.10,-7.46,-4.59,0.47,0.35,15.31
12,472,-21.06,-6.89,-4.68,0.45,0.31,16.90
13,469,-33.86,-7.23,-5.03,0.56,0.33,18.61
14,472,-43.33,-7.89,-4.45,0.37,0.33,20.17
15,478,-38.38,-7.18,-4.84,0.37,0.33,21.67
16,478,-32.00,-7.06,-4.68,0.33,0.37,23.22
17,486,-27.18,-6.35,-3.84,0.42,0.42,24.87
18,484,-43.79,-7.55,-4.27,0.37,0.44,26.60
19,494,-41.05,-7.11,-4.42,0.52,0.44,28.47
20,496,-31.55,-6.99,-4.42,0.39,0.43,30.31
21,492,-26.44,-6.44,-4.57,0.40,0.46,32.05
22,495,-32.57,-6.59,-4.22,0.43,0.47,33.86
23,489,-27.95,-6.59,-4.39,0.34,0.50,35.70
24,492,-24.15,-6.55,-4.40,0.33,0.56,37.44
25,507,-36.80,-6.45,-4.21,0.51,0.54,39.50
26,507,-23.07,-6.42,-4.00,0.46,0.52,41.47
27,502,-29.69,-6.07,-3.83,0.51,0.58,43.62
28,499,-29.21,-6.75,-4.23,0.56,0.52,45.66
29,500,-30.67,-6.24,-3.71,0.36,0.57,47.58
30,508,-22.88,-5.88,-4.13,0.37,0.61,49.59
31,511,-33.74,-6.12,-3.79,0.39,0.56,51.57
32,507,-28.53,-6.05,-3.44,0.39,0.63,53.58
33,501,-36.48,-5.51,-3.54,0.28,0.63,55.49
34,505,-52.70,-5.94,-3.57,0.40,0.68,57.66
35,512,-32.40,-5.57,-3.62,0.51,0.80,59.94
36,506,-35.55,-5.63,-3.88,0.31,0.82,62.18
37,503,-43.33,-5.83,-3.81,0.34,0.80,64.34
38,505,-38.12,-5.53,-3.63,0.29,0.73,66.50
39,505,-30.44,-5.64,-2.14,0.38,0.90,68.94
40,511,-42.80,-5.14,0.84,0.36,0.81,71.40
41,512,-33.94,-5.25,-2.43,0.38,0.79,73.74
42,508,-39.40,-5.25,0.71,0.33,0.88,76.14
43,509,-39.00,-5.97,-2.63,0.41,0.75,78.58
44,505,-36.64,-5.38,-3.33,0.47,0.84,81.18
45,518,-30.62,-4.84,-2.98,0.32,0.89,83.61
46,520,-37.51,-5.59,-3.54,0.33,0.88,86.12
47,510,-27.52,-5.47,-3.27,0.33,0.83,88.54
48,515,-26.71,-5.66,-3.52,0.44,0.83,91.14
49,510,-31.96,-5.18,-1.26,0.38,0.87,93.79
50,526,-29.00,-5.42,-2.59,0.34,0.94,96.41
51,525,-40.85,-5.61,-3.22,0.54,0.82,99.11
52,519,-23.10,-5.23,-0.87,0.46,0.90,101.79
53,517,-42.08,-5.44,-2.58,0.22,0.85,104.20
54,518,-29.06,-5.00,-2.62,0.43,0.87,106.85
55,532,-33.39,-5.95,-3.35,0.35,0.81,109.52
56,534,-32.92,-5.12,-3.04,0.44,0.97,112.35
57,543,-37.33,-5.38,-2.36,0.63,0.90,115.37
58,544,-23.18,-5.16,-3.46,0.43,0.90,118.24
59,542,-33.26,-5.27,-3.53,0.36,0.95,120.94
60,548,-26.77,-5.36,-3.48,0.39,0.97,123.79
61,542,-37.91,-5.04,-3.16,0.35,0.95,126.60
62,535,-28.77,-5.17,-3.54,0.38,0.98,129.53
63,525,-39.65,-4.74,0.80,0.38,1.05,132.43
64,525,-28.20,-4.91,-1.17,0.35,1.10,135.33
65,538,-37.93,-4.93,-2.02,0.34,1.16,138.28
66,532,-28.71,-4.92,-1.74,0.53,1.03,141.39
67,531,-30.26,-4.92,-0.22,0.26,1.17,144.48
68,530,-36.44,-5.21,-0.70,0.36,1.07,147.47
69,525,-31.78,-4.79,-2.27,0.41,1.09,150.55
70,540,-27.83,-4.92,-1.02,0.51,1.13,153.79
71,540,-36.86,-5.19,-2.40,0.41,1.17,156.79
72,542,-31.47,-5.08,-2.57,0.32,1.11,159.85
73,536,-40.65,-4.93,-1.33,0.36,1.21,162.89
74,538,-35.48,-5.31,-2.56,0.41,1.12,165.99
75,553,-39.71,-4.99,-3.10,0.48,1.10,169.17
76,553,-37.38,-4.81,-2.31,0.35,1.18,172.29
77,549,-34.87,-4.32,-1.60,0.39,1.25,175.45
78,537,-26.45,-4.79,-2.27,0.29,1.23,178.43
79,541,-24.02,-4.69,-2.44,0.35,1.15,181.54
80,541,-25.70,-4.69,-2.58,0.43,1.10,184.58
81,536,-28.61,-4.77,-2.62,0.35,1.14,187.70
82,539,-22.25,-4.64,-2.40,0.29,1.29,190.86
83,537,-33.79,-4.79,-0.49,0.39,1.20,194.03
84,532,-30.69,-5.04,-0.96,0.34,1.23,197.07
85,544,-22.69,-4.20,-0.93,0.38,1.36,200.26
86,541,-40.67,-4.41,-1.10,0.37,1.33,203.61
87,541,-41.55,-5.32,-1.35,0.29,1.19,206.63
88,533,-41.44,-4.37,-0.03,0.56,1.25,209.90
89,531,-31.10,-4.50,-0.54,0.31,1.31,212.82
90,543,-37.64,-4.63,0.17,0.47,1.22,215.97
91,539,-33.86,-4.61,-0.18,0.42,1.26,218.92
92,538,-27.64,-4.37,-0.13,0.31,1.33,222.12
93,529,-24.89,-4.33,-0.38,0.43,1.27,225.16
94,522,-34.74,-4.26,-0.47,0.38,1.34,228.25
95,538,-22.84,-4.09,1.40,0.42,1.34,231.46
96,537,-30.49,-4.47,0.01,0.19,1.24,234.20
97,538,-25.08,-4.16,-0.32,0.38,1.41,237.34
98,536,-31.20,-3.97,-0.46,0.32,1.42,240.66
99,538,-26.62,-4.03,-0.63,0.48,1.32,244.18
100,549,-39.46,-4.64,-0.68,0.35,1.25,247.31
101,546,-30.04,-4.55,-0.77,0.32,1.37,250.46
102,550,-22.37,-4.32,-0.87,0.62,1.39,253.99
103,544,-22.30,-4.42,-0.89,0.44,1.18,257.24
104,538,-22.24,-4.16,-0.79,0.34,1.35,260.39
105,544,-37.99,-3.78,1.68,0.39,1.29,263.48
106,545,-33.62,-4.58,1.48,0.47,1.23,266.63
107,535,-22.18,-4.39,-0.54,0.46,1.21,269.64
108,541,-23.38,-4.19,-0.47,0.46,1.17,272.85
109,540,-22.13,-4.29,-0.57,0.36,1.31,275.99
110,550,-29.58,-4.39,-0.64,0.36,1.29,279.02
111,543,-40.60,-4.74,-0.73,0.46,1.32,282.13
112,541,-22.45,-4.34,-0.79,0.31,1.38,285.11
113,534,-22.02,-4.26,-0.89,0.27,1.41,288.24
114,536,-22.79,-4.18,-0.01,0.43,1.52,291.76
115,554,-26.88,-4.89,-0.16,0.26,1.23,294.69
116,546,-21.96,-4.71,-0.11,0.43,1.18,297.67
117,545,-37.70,-4.52,-0.82,0.52,1.34,301.02
118,546,-30.59,-4.05,-0.88,0.54,1.39,304.40
119,541,-41.32,-4.67,-1.03,0.56,1.25,307.71
120,566,-21.73,-4.42,-1.07,0.43,1.31,311.13
121,567,-37.72,-4.31,0.32,0.49,1.27,314.48
122,564,-21.95,-3.77,0.24,0.53,1.23,317.69
123,564,-22.34,-4.14,0.03,0.31,1.36,320.93
124,560,-29.71,-3.59,3.79,0.34,1.33,324.03
125,575,-27.86,-4.21,2.28,0.45,1.42,327.49
126,571,-28.83,-3.97,1.56,0.69,1.27,330.94
127,570,-22.53,-4.26,0.26,0.50,1.22,334.34
128,569,-27.96,-4.51,-0.02,0.51,1.23,337.62
