Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1020,0.01,0.03,0.11,0.02,0.05,0.11,0.28,1.13,0.04,1.45
1,1063,0.01,0.04,0.13,0.02,0.07,0.13,0.71,0.20,0.06,2.42
2,1067,0.01,0.05,0.14,0.02,0.07,0.13,0.85,0.51,0.08,3.86
3,1080,0.01,0.05,0.13,0.02,0.09,0.14,1.16,0.68,0.15,5.85
4,1087,0.01,0.06,0.19,0.05,0.10,0.17,0.94,0.22,0.08,7.10
5,1094,0.01,0.07,0.19,0.05,0.11,0.18,0.67,0.23,0.09,8.09
6,1094,0.01,0.08,0.20,0.01,0.12,0.21,0.89,0.54,0.18,9.70
7,1096,0.01,0.09,0.22,0.02,0.14,0.23,1.26,0.77,0.08,11.81
8,1110,0.01,0.10,0.24,0.01,0.14,0.24,0.74,0.28,0.09,12.93
9,1104,0.01,0.11,0.24,0.05,0.16,0.26,1.05,0.36,0.14,14.48
10,1104,0.01,0.11,0.24,0.05,0.16,0.24,1.13,0.82,0.25,16.68
11,1102,0.01,0.12,0.27,0.06,0.16,0.26,0.56,0.46,0.12,17.83
12,1102,0.01,0.13,0.29,0.07,0.18,0.29,0.65,0.78,0.18,19.44
13,1113,0.01,0.14,0.31,0.05,0.19,0.32,1.17,0.89,0.22,21.72
14,1114,0.01,0.15,0.31,0.02,0.20,0.34,0.92,0.31,0.11,23.07
15,1109,0.01,0.15,0.35,0.05,0.22,0.37,0.64,0.49,0.20,24.40
16,1114,0.01,0.16,0.36,0.05,0.22,0.33,1.09,0.74,0.20,26.43
17,1119,0.01,0.17,0.37,0.02,0.25,0.39,1.16,0.67,0.10,28.35
18,1100,0.02,0.19,0.37,0.03,0.24,0.37,0.78,0.35,0.10,29.57
19,1111,0.01,0.18,0.38,0.06,0.25,0.39,0.80,0.74,0.16,31.28
20,1105,0.01,0.19,0.38,0.02,0.27,0.39,1.07,0.89,0.22,33.46
21,1108,0.01,0.21,0.37,0.06,0.27,0.39,0.92,0.36,0.17,34.92
22,1113,0.01,0.21,0.41,0.06,0.28,0.40,0.65,0.66,0.22,36.44
23,1115,0.01,0.21,0.41,0.06,0.27,0.38,1.01,0.99,0.23,38.67
24,1115,0.01,0.23,0.42,0.07,0.30,0.43,1.02,0.56,0.11,40.37
25,1115,0.00,0.22,0.41,0.07,0.31,0.45,0.74,0.39,0.17,41.67
26,1113,0.01,0.21,0.41,0.02,0.30,0.42,0.99,0.69,0.24,43.61
27,1112,0.02,0.22,0.40,0.02,0.30,0.41,1.10,1.00,0.11,45.81
28,1112,0.02,0.24,0.43,0.02,0.30,0.43,0.77,0.39,0.15,47.12
29,1112,0.01,0.23,0.43,0.02,0.30,0.43,0.70,0.72,0.26,48.80
30,1119,0.01,0.22,0.43,0.08,0.33,0.44,1.20,0.97,0.16,51.13
31,1106,0.02,0.23,0.44,0.02,0.31,0.45,0.84,0.42,0.14,52.53
32,1116,0.02,0.24,0.48,0.02,0.32,0.45,0.86,0.65,0.27,54.31
33,1122,0.01,0.23,0.46,0.08,0.32,0.45,1.33,1.11,0.14,56.89
34,1112,0.01,0.24,0.46,0.02,0.33,0.45,0.79,0.43,0.22,58.32
35,1117,0.01,0.25,0.46,0.01,0.32,0.42,0.72,0.85,0.28,60.17
36,1118,0.01,0.25,0.45,0.03,0.33,0.45,1.17,1.22,0.13,62.69
37,1127,0.01,0.26,0.47,0.03,0.33,0.45,0.64,0.64,0.28,64.25
38,1121,0.02,0.26,0.46,0.02,0.33,0.45,0.95,1.09,0.27,66.56
39,1125,0.02,0.27,0.49,0.08,0.30,0.41,1.18,0.68,0.15,68.57
40,1112,0.01,0.26,0.47,0.07,0.32,0.44,0.67,0.69,0.26,70.17
41,1112,0.01,0.23,0.46,0.08,0.36,0.48,1.16,1.07,0.26,72.66
42,1116,0.01,0.24,0.46,0.02,0.34,0.46,0.91,0.49,0.21,74.27
43,1124,0.01,0.25,0.46,0.02,0.34,0.49,0.69,0.87,0.27,76.10
44,1115,0.01,0.24,0.46,0.02,0.34,0.47,1.09,1.19,0.26,78.63
45,1119,0.02,0.24,0.46,0.02,0.35,0.50,0.77,0.58,0.23,80.21
