Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,520,0.01,0.03,0.12,0.08,0.68,1.55
1,539,0.01,0.04,0.13,0.88,0.77,7.19
2,540,0.01,0.05,0.12,0.76,0.78,15.34
3,548,0.01,0.06,0.14,0.89,0.90,23.57
4,554,0.01,0.06,0.16,0.93,0.88,32.70
5,557,0.01,0.07,0.18,0.72,0.89,41.58
6,549,0.02,0.08,0.20,0.90,0.78,49.56
7,554,0.02,0.09,0.21,0.82,0.90,58.28
8,557,0.01,0.10,0.21,0.62,0.84,66.96
9,557,0.02,0.11,0.24,0.75,0.98,75.56
10,566,0.01,0.11,0.23,0.83,0.90,84.69
11,567,0.01,0.12,0.26,0.76,0.92,93.30
12,574,0.01,0.13,0.26,1.08,0.93,102.71
13,580,0.01,0.13,0.28,0.72,0.98,111.87
14,578,0.01,0.14,0.27,0.79,0.97,121.39
15,595,0.01,0.14,0.27,0.87,1.01,130.70
16,592,0.01,0.14,0.28,1.01,0.98,140.50
17,586,0.01,0.15,0.30,1.02,0.98,150.15
18,582,0.01,0.15,0.29,0.87,0.99,159.72
19,576,0.01,0.14,0.29,0.95,1.06,170.03
20,603,0.01,0.15,0.31,0.91,1.02,179.82
21,597,0.01,0.15,0.30,1.02,1.17,190.92
22,589,0.01,0.16,0.31,0.82,0.99,200.98
23,585,0.01,0.17,0.32,1.14,1.01,210.56
24,583,0.01,0.16,0.32,1.07,1.06,221.11
25,600,0.01,0.16,0.34,1.04,1.00,231.44
26,597,0.01,0.18,0.34,0.78,1.10,242.05
27,600,0.01,0.16,0.38,1.11,1.02,252.24
28,600,0.02,0.17,0.39,1.21,1.04,263.26
29,599,0.01,0.20,0.38,0.91,1.21,273.12
30,624,0.01,0.19,0.40,0.98,1.19,284.02
31,619,0.01,0.20,0.41,0.88,1.15,294.39
32,616,0.01,0.20,0.39,0.88,1.28,305.10
33,611,0.02,0.20,0.39,0.81,1.16,315.06
34,598,0.01,0.22,0.41,0.66,1.20,325.05
35,633,0.01,0.20,0.41,0.99,1.31,335.90
36,629,0.01,0.20,0.40,0.80,1.11,346.36
37,618,0.02,0.22,0.44,0.95,1.24,357.55
38,617,0.02,0.20,0.43,1.15,1.12,368.86
39,607,0.02,0.20,0.42,0.94,1.18,379.60
40,622,0.01,0.21,0.42,0.94,1.15,390.85
41,612,0.01,0.22,0.41,0.87,1.16,401.95
42,596,0.02,0.22,0.43,0.95,1.14,413.35
43,588,0.01,0.21,0.42,0.91,1.15,424.69
44,578,0.01,0.23,0.45,0.59,1.38,436.05
45,643,0.01,0.23,0.43,0.87,1.30,448.00
46,644,0.02,0.24,0.44,1.35,1.30,460.06
47,634,0.01,0.23,0.44,1.08,1.29,471.82
48,625,0.02,0.24,0.46,1.03,1.44,483.38
49,617,0.02,0.21,0.45,1.12,1.23,494.94
50,683,0.01,0.22,0.45,0.76,1.28,506.29
51,669,0.01,0.21,0.44,0.96,1.23,517.70
52,647,0.01,0.19,0.44,0.98,1.16,529.34
53,616,0.02,0.21,0.44,0.82,1.17,540.94
54,598,0.01,0.21,0.46,0.76,1.27,552.35
55,665,0.02,0.20,0.44,0.87,1.22,564.00
56,657,0.02,0.22,0.45,1.00,1.33,575.65
57,644,0.02,0.22,0.46,1.16,1.22,588.04
58,627,0.00,0.20,0.45,1.09,1.30,600.91
59,612,0.01,0.20,0.44,0.99,1.21,612.87
60,660,0.02,0.21,0.44,1.04,1.27,624.78
61,646,0.01,0.22,0.46,0.81,1.21,636.55
62,642,0.01,0.22,0.45,1.17,1.32,649.23
63,636,0.01,0.22,0.45,1.03,1.41,661.87
64,631,0.01,0.22,0.45,1.07,1.36,674.40
65,680,0.01,0.21,0.46,1.15,1.25,686.41
66,669,0.01,0.21,0.45,1.16,1.29,698.97
67,659,0.02,0.21,0.48,1.07,1.23,711.32
68,649,0.01,0.21,0.46,1.05,1.29,723.46
69,633,0.01,0.20,0.46,1.10,1.24,735.85
70,680,0.01,0.21,0.46,1.04,1.22,747.61
71,677,0.01,0.22,0.47,1.13,1.34,759.88
72,663,0.01,0.23,0.46,0.89,1.40,772.15
73,658,0.02,0.23,0.48,1.04,1.34,784.21
74,647,0.01,0.21,0.48,1.17,1.33,796.25
75,684,0.01,0.20,0.47,0.85,1.23,807.80
76,662,0.01,0.19,0.47,1.22,1.19,820.41
77,656,0.01,0.21,0.48,1.00,1.20,832.28
78,643,0.01,0.19,0.47,0.93,1.30,843.93
79,628,0.02,0.22,0.49,0.76,1.41,856.01
