Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,520,0.01,0.03,0.12,0.08,0.69,0.78
1,539,0.01,0.04,0.13,0.80,0.69,3.02
2,540,0.01,0.05,0.12,0.69,0.69,5.88
3,548,0.01,0.06,0.14,0.68,0.69,8.64
4,554,0.01,0.06,0.16,0.74,0.69,11.51
5,559,0.01,0.07,0.19,0.57,0.70,14.23
6,554,0.02,0.08,0.20,0.82,0.78,17.12
7,558,0.02,0.09,0.23,0.67,0.86,20.49
8,559,0.01,0.10,0.23,0.65,0.90,23.67
9,555,0.01,0.11,0.25,0.85,0.91,26.93
10,566,0.01,0.11,0.25,0.77,0.94,30.21
11,571,0.01,0.13,0.28,0.85,0.98,33.86
12,570,0.01,0.13,0.29,0.95,1.03,37.50
13,572,0.01,0.14,0.29,0.72,1.00,40.87
14,574,0.02,0.14,0.29,0.99,1.04,44.80
15,574,0.01,0.15,0.30,0.88,0.99,48.38
16,569,0.01,0.16,0.33,0.91,0.99,52.30
17,567,0.01,0.17,0.31,1.09,1.23,56.41
18,571,0.02,0.17,0.34,0.80,1.11,60.11
19,570,0.02,0.20,0.35,0.88,1.20,64.11
20,582,0.01,0.19,0.33,0.85,1.17,68.14
21,574,0.01,0.19,0.34,1.22,1.31,72.79
22,571,0.02,0.21,0.39,2.09,1.88,79.59
23,572,0.02,0.21,0.39,1.83,1.81,86.08
24,578,0.01,0.20,0.37,1.02,1.24,90.92
25,581,0.01,0.21,0.37,0.96,1.39,95.35
26,580,0.02,0.21,0.39,0.72,1.33,99.47
27,586,0.02,0.21,0.39,1.03,1.30,103.78
28,584,0.01,0.19,0.38,0.77,1.21,107.72
29,581,0.01,0.21,0.38,0.94,1.28,112.11
30,596,0.01,0.21,0.39,1.09,1.56,116.80
31,591,0.02,0.22,0.41,1.16,1.25,121.64
32,589,0.02,0.23,0.42,1.00,1.24,125.89
33,591,0.02,0.21,0.41,1.09,1.31,130.51
34,588,0.01,0.24,0.44,0.69,1.24,134.56
35,597,0.02,0.22,0.41,0.84,1.19,138.82
36,583,0.02,0.23,0.43,0.94,1.21,143.00
37,582,0.01,0.23,0.43,0.97,1.22,147.24
38,588,0.02,0.24,0.43,0.67,1.22,151.33
39,579,0.01,0.24,0.42,0.64,1.28,155.44
40,588,0.01,0.23,0.42,1.01,1.29,159.82
41,591,0.01,0.25,0.44,0.59,1.45,164.32
42,584,0.01,0.23,0.42,0.66,1.37,168.51
43,583,0.01,0.23,0.42,0.96,1.22,172.97
44,583,0.01,0.25,0.42,0.64,1.42,177.29
45,594,0.02,0.26,0.45,0.91,1.27,181.71
46,597,0.02,0.25,0.42,1.04,1.42,186.49
47,595,0.01,0.26,0.43,1.02,1.30,191.05
48,590,0.02,0.26,0.43,0.60,1.40,195.30
49,587,0.01,0.25,0.43,0.92,1.28,199.72
50,596,0.02,0.26,0.43,0.89,1.41,204.32
51,597,0.01,0.25,0.42,0.66,1.38,208.55
52,590,0.02,0.24,0.44,0.85,1.48,213.14
53,592,0.02,0.24,0.43,0.94,1.52,217.93
54,593,0.01,0.26,0.46,0.72,1.55,222.86
55,603,0.01,0.25,0.45,0.55,1.48,227.26
56,599,0.02,0.26,0.45,0.82,1.55,232.01
57,599,0.02,0.27,0.49,1.01,1.69,237.07
58,601,0.02,0.25,0.46,1.11,1.50,242.26
59,595,0.01,0.27,0.49,0.92,1.76,247.09
60,611,0.01,0.25,0.48,0.94,1.50,252.10
61,606,0.01,0.26,0.47,0.78,1.61,256.79
62,606,0.01,0.23,0.45,0.94,1.43,261.36
63,605,0.01,0.24,0.47,0.94,1.45,266.17
64,599,0.01,0.25,0.47,1.06,1.47,271.09
65,609,0.01,0.25,0.49,0.92,1.41,275.62
66,609,0.01,0.24,0.48,0.83,1.47,279.96
67,606,0.02,0.25,0.47,0.86,1.59,284.78
68,609,0.01,0.22,0.47,0.82,1.58,289.31
69,608,0.01,0.25,0.47,0.87,1.52,293.92
70,621,0.01,0.23,0.47,0.70,1.41,298.28
71,624,0.02,0.26,0.48,0.86,1.43,302.64
72,621,0.01,0.27,0.48,0.76,1.55,307.11
73,614,0.01,0.27,0.47,0.99,1.59,311.99
74,615,0.01,0.27,0.49,0.93,1.51,316.84
75,634,0.01,0.24,0.48,0.66,1.42,321.20
76,630,0.02,0.24,0.48,0.89,1.43,325.68
77,619,0.01,0.23,0.48,1.00,1.38,330.43
78,608,0.02,0.24,0.47,0.84,1.44,335.20
79,609,0.01,0.25,0.47,0.91,1.52,340.15
