Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1020,0.01,0.03,0.10,0.02,0.06,0.11,0.26,1.58,0.05,1.89
1,1060,0.01,0.04,0.13,0.02,0.07,0.13,0.78,0.20,0.06,2.93
2,1080,0.01,0.05,0.17,0.02,0.07,0.14,0.91,0.37,0.12,4.33
3,1092,0.01,0.06,0.16,0.02,0.09,0.16,0.97,0.63,0.17,6.10
4,1084,0.01,0.06,0.17,0.02,0.10,0.19,0.91,0.23,0.08,7.32
5,1096,0.00,0.07,0.17,0.02,0.11,0.18,0.85,0.23,0.09,8.49
6,1099,0.01,0.08,0.22,0.06,0.13,0.23,0.85,0.55,0.18,10.06
7,1100,0.01,0.09,0.23,0.02,0.15,0.25,1.15,0.89,0.22,12.32
8,1099,0.01,0.11,0.27,0.02,0.15,0.26,0.89,0.33,0.10,13.64
9,1102,0.01,0.11,0.26,0.02,0.15,0.24,0.70,0.31,0.16,14.81
10,1096,0.01,0.13,0.29,0.04,0.18,0.28,0.88,0.57,0.24,16.49
11,1106,0.01,0.14,0.30,0.05,0.17,0.24,1.14,0.92,0.21,18.77
12,1103,0.01,0.14,0.28,0.04,0.17,0.26,0.61,0.54,0.11,20.02
13,1103,0.01,0.16,0.33,0.02,0.18,0.28,0.83,0.68,0.18,21.72
14,1099,0.01,0.15,0.30,0.01,0.18,0.27,0.93,1.08,0.22,23.94
15,1110,0.01,0.14,0.29,0.02,0.19,0.28,0.69,0.37,0.15,25.16
16,1102,0.01,0.15,0.30,0.02,0.19,0.31,0.63,0.48,0.21,26.47
17,1109,0.02,0.15,0.30,0.01,0.18,0.29,1.18,0.83,0.23,28.71
18,1110,0.02,0.14,0.29,0.02,0.21,0.31,1.17,0.43,0.11,30.43
19,1106,0.01,0.16,0.30,0.02,0.22,0.32,0.63,0.38,0.17,31.61
20,1096,0.01,0.16,0.32,0.02,0.20,0.31,0.78,0.76,0.22,33.36
21,1104,0.02,0.16,0.31,0.01,0.21,0.30,1.27,0.80,0.11,35.54
22,1103,0.01,0.16,0.30,0.02,0.22,0.32,0.78,0.38,0.14,36.84
23,1115,0.01,0.16,0.30,0.02,0.22,0.33,0.90,0.67,0.24,38.66
24,1106,0.01,0.18,0.33,0.02,0.20,0.30,1.12,0.88,0.10,40.77
25,1108,0.01,0.17,0.32,0.02,0.24,0.35,0.81,0.38,0.23,42.19
26,1111,0.01,0.17,0.33,0.02,0.23,0.35,0.77,0.41,0.22,43.60
27,1118,0.02,0.17,0.33,0.02,0.22,0.31,1.13,0.90,0.24,45.87
28,1130,0.02,0.18,0.35,0.02,0.23,0.34,0.75,0.56,0.12,47.30
29,1137,0.01,0.17,0.33,0.02,0.24,0.33,0.95,0.71,0.22,49.18
30,1118,0.01,0.19,0.33,0.02,0.25,0.35,1.10,0.95,0.23,51.46
31,1113,0.01,0.18,0.34,0.02,0.22,0.33,0.62,0.63,0.12,52.84
32,1116,0.02,0.18,0.33,0.02,0.23,0.34,0.82,0.92,0.11,54.70
33,1115,0.02,0.16,0.32,0.01,0.26,0.38,0.95,1.02,0.21,56.88
34,1113,0.01,0.19,0.35,0.02,0.25,0.34,0.89,0.40,0.23,58.40
35,1122,0.01,0.18,0.33,0.07,0.26,0.38,0.71,1.02,0.22,60.35
36,1125,0.02,0.20,0.38,0.02,0.24,0.36,0.91,1.73,0.22,63.21
37,1116,0.01,0.20,0.39,0.02,0.25,0.38,0.82,0.43,0.14,64.61
38,1121,0.01,0.17,0.36,0.02,0.23,0.36,0.94,0.70,0.28,66.53
39,1117,0.01,0.19,0.37,0.02,0.24,0.36,1.32,0.88,0.12,68.84
40,1114,0.01,0.20,0.37,0.02,0.27,0.38,0.77,0.45,0.19,70.24
41,1125,0.01,0.21,0.36,0.02,0.27,0.37,0.92,0.75,0.28,72.20
42,1114,0.01,0.22,0.36,0.01,0.25,0.35,1.12,1.03,0.24,74.58
43,1116,0.01,0.22,0.39,0.02,0.28,0.40,0.74,0.60,0.12,76.04
44,1111,0.01,0.23,0.40,0.01,0.28,0.40,0.95,0.71,0.26,77.96
45,1123,0.01,0.23,0.41,0.01,0.27,0.39,1.25,1.26,0.18,80.65
46,1125,0.01,0.23,0.40,0.02,0.26,0.37,0.61,0.75,0.13,82.14
47,1112,0.01,0.23,0.42,0.02,0.28,0.42,1.08,0.70,0.28,84.21
48,1124,0.01,0.21,0.39,0.01,0.26,0.39,1.12,1.39,0.14,86.85
49,1134,0.02,0.23,0.42,0.04,0.29,0.44,0.63,0.54,0.29,88.31
50,1123,0.01,0.23,0.40,0.02,0.29,0.42,0.68,1.13,0.30,90.42
51,1125,0.01,0.25,0.42,0.02,0.29,0.43,1.30,0.94,0.13,92.80
52,1120,0.02,0.23,0.41,0.02,0.28,0.39,0.82,0.57,0.26,94.45
53,1121,0.01,0.26,0.42,0.02,0.33,0.46,0.89,0.91,0.30,96.54
54,1112,0.01,0.28,0.44,0.02,0.29,0.39,1.12,1.35,0.15,99.16
55,1118,0.01,0.29,0.44,0.02,0.31,0.45,0.64,0.83,0.31,100.95
56,1111,0.02,0.29,0.46,0.02,0.30,0.41,1.02,2.05,0.17,104.19
57,1106,0.02,0.28,0.44,0.02,0.26,0.38,0.84,0.78,0.28,106.09
58,1127,0.01,0.27,0.44,0.02,0.29,0.41,1.16,1.54,0.33,109.12
59,1125,0.01,0.28,0.43,0.02,0.30,0.42,0.74,0.70,0.20,110.75
60,1118,0.02,0.30,0.44,0.02,0.30,0.42,1.09,0.84,0.29,112.98
61,1122,0.01,0.27,0.43,0.02,0.32,0.44,0.99,1.63,0.16,115.77
62,1115,0.01,0.27,0.44,0.02,0.31,0.45,0.66,0.79,0.30,117.51
63,1114,0.02,0.28,0.45,0.01,0.32,0.45,0.82,1.44,0.29,120.07
64,1121,0.01,0.25,0.43,0.02,0.30,0.43,1.03,0.80,0.15,122.06
65,1131,0.01,0.26,0.44,0.02,0.32,0.45,0.62,0.67,0.34,123.69
66,1120,0.01,0.26,0.43,0.02,0.32,0.45,1.09,1.49,0.37,126.63
67,1125,0.02,0.26,0.44,0.02,0.32,0.46,0.80,0.82,0.16,128.42
68,1130,0.01,0.23,0.43,0.02,0.32,0.45,0.95,0.89,0.25,130.51
69,1121,0.01,0.25,0.43,0.08,0.32,0.44,1.03,1.56,0.33,133.43
70,1117,0.01,0.26,0.45,0.02,0.32,0.45,0.71,0.75,0.22,135.11
71,1125,0.01,0.26,0.45,0.02,0.33,0.48,0.88,1.03,0.38,137.40
72,1127,0.01,0.26,0.44,0.01,0.33,0.47,1.28,0.95,0.17,139.80
73,1129,0.01,0.25,0.44,0.01,0.34,0.46,0.67,1.00,0.31,141.79
74,1118,0.01,0.26,0.45,0.02,0.32,0.44,1.17,1.56,0.32,144.84
75,1125,0.02,0.27,0.45,0.02,0.34,0.49,0.78,0.69,0.27,146.58
76,1129,0.02,0.27,0.45,0.02,0.33,0.46,0.77,1.64,0.35,149.34
77,1123,0.01,0.28,0.49,0.02,0.33,0.45,1.10,0.70,0.29,151.44
78,1140,0.01,0.27,0.47,0.01,0.29,0.40,0.69,1.39,0.19,153.71
79,1127,0.01,0.26,0.46,0.02,0.36,0.47,1.12,1.35,0.34,156.51
80,1128,0.01,0.31,0.49,0.01,0.35,0.47,0.74,0.67,0.33,158.25
81,1132,0.01,0.29,0.47,0.02,0.34,0.47,0.73,1.17,0.36,160.52
82,1137,0.01,0.26,0.46,0.02,0.34,0.47,1.19,1.69,0.18,163.58
83,1130,0.02,0.28,0.47,0.02,0.36,0.49,0.82,0.84,0.37,165.60
84,1128,0.01,0.26,0.46,0.02,0.34,0.47,1.24,1.53,0.30,168.68
85,1130,0.01,0.28,0.46,0.02,0.34,0.48,0.96,0.76,0.29,170.68
86,1121,0.01,0.28,0.49,0.02,0.30,0.43,0.91,1.11,0.31,173.02
87,1137,0.01,0.27,0.47,0.11,0.32,0.45,1.25,1.52,0.16,175.95
88,1134,0.01,0.30,0.49,0.02,0.33,0.48,0.86,0.80,0.32,177.92
89,1139,0.02,0.28,0.48,0.02,0.34,0.48,1.25,1.47,0.34,180.98
90,1141,0.01,0.27,0.48,0.02,0.35,0.50,0.86,0.72,0.30,182.85
91,1139,0.01,0.26,0.48,0.02,0.35,0.49,0.93,1.20,0.35,185.33
92,1147,0.01,0.28,0.48,0.10,0.34,0.48,1.13,1.31,0.16,187.94
93,1148,0.01,0.28,0.48,0.12,0.33,0.46,0.82,0.86,0.37,189.99
94,1142,0.02,0.28,0.48,0.10,0.33,0.45,1.22,1.67,0.36,193.24
95,1135,0.01,0.29,0.49,0.02,0.34,0.46,0.68,0.91,0.31,195.14
96,1122,0.01,0.26,0.47,0.02,0.37,0.51,0.90,1.98,0.32,198.34
97,1132,0.01,0.27,0.48,0.02,0.35,0.50,0.76,0.74,0.22,200.06
98,1137,0.01,0.27,0.48,0.11,0.37,0.49,0.94,1.04,0.36,202.40
99,1128,0.01,0.28,0.48,0.10,0.36,0.50,1.32,1.41,0.17,205.29
100,1135,0.02,0.26,0.47,0.11,0.38,0.52,0.71,1.07,0.27,207.35
101,1132,0.01,0.31,0.52,0.12,0.38,0.53,1.05,1.60,0.38,210.37
102,1132,0.01,0.29,0.50,0.09,0.35,0.47,0.76,0.89,0.16,212.18
