Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.03,0.09,0.03,0.07,0.55
1,441,0.00,0.04,0.14,0.27,0.21,1.30
2,438,0.01,0.05,0.14,0.16,0.13,1.88
3,443,0.00,0.06,0.16,0.26,0.10,2.71
4,441,0.00,0.06,0.17,0.19,0.08,3.43
5,450,0.01,0.07,0.22,0.31,0.23,4.33
6,446,0.01,0.08,0.22,0.18,0.29,5.12
7,453,0.01,0.09,0.23,0.18,0.10,5.72
8,448,0.01,0.09,0.25,0.15,0.18,6.62
9,452,0.01,0.10,0.26,0.34,0.11,7.44
10,458,0.01,0.11,0.28,0.42,0.11,8.43
11,455,0.01,0.13,0.29,0.24,0.11,9.30
12,453,0.01,0.13,0.30,0.22,0.12,10.19
13,454,0.01,0.13,0.30,0.28,0.12,11.08
14,456,0.01,0.13,0.29,0.33,0.12,11.95
15,465,0.01,0.16,0.30,0.34,0.19,12.87
16,459,0.02,0.16,0.36,0.29,0.29,13.85
17,461,0.01,0.14,0.33,0.39,0.14,14.80
18,461,0.02,0.17,0.33,0.31,0.24,15.75
19,463,0.01,0.18,0.32,0.37,0.24,16.73
20,467,0.01,0.17,0.32,0.35,0.26,17.71
21,466,0.01,0.16,0.32,0.23,0.36,18.70
22,459,0.01,0.17,0.32,0.19,0.28,19.56
23,461,0.01,0.15,0.31,0.26,0.34,20.64
24,465,0.01,0.17,0.32,0.18,0.30,21.51
25,469,0.01,0.17,0.35,0.21,0.26,22.38
26,465,0.01,0.16,0.35,0.23,0.16,23.28
27,468,0.01,0.17,0.35,0.21,0.16,24.34
28,469,0.01,0.18,0.36,0.18,0.17,25.37
29,463,0.01,0.19,0.37,0.17,0.18,26.26
30,470,0.01,0.18,0.37,0.20,0.21,27.27
31,470,0.01,0.20,0.39,0.15,0.20,28.31
32,465,0.01,0.17,0.38,0.17,0.24,29.42
33,464,0.01,0.18,0.38,0.29,0.15,30.30
34,468,0.01,0.19,0.38,0.36,0.24,31.29
35,474,0.01,0.18,0.38,0.27,0.39,32.33
36,476,0.02,0.21,0.38,0.38,0.34,33.44
37,466,0.01,0.21,0.37,0.26,0.36,34.43
38,466,0.01,0.19,0.38,0.25,0.34,35.42
39,463,0.01,0.23,0.43,0.15,0.21,36.12
40,475,0.01,0.20,0.40,0.20,0.44,37.34
41,470,0.01,0.20,0.39,0.15,0.21,38.21
42,468,0.01,0.21,0.41,0.19,0.23,39.21
43,468,0.01,0.21,0.40,0.16,0.24,40.28
44,473,0.01,0.21,0.40,0.17,0.23,41.29
45,478,0.01,0.23,0.40,0.12,0.25,42.41
46,465,0.01,0.21,0.40,0.14,0.27,43.57
47,469,0.01,0.20,0.42,0.14,0.23,44.68
48,468,0.01,0.20,0.39,0.16,0.28,45.88
49,467,0.01,0.19,0.39,0.14,0.25,47.08
50,483,0.02,0.19,0.40,0.17,0.23,48.16
51,482,0.01,0.19,0.39,0.20,0.24,49.36
52,480,0.01,0.20,0.39,0.22,0.18,50.49
53,475,0.01,0.19,0.39,0.16,0.26,51.66
54,476,0.01,0.18,0.39,0.19,0.21,52.72
55,486,0.01,0.18,0.39,0.19,0.24,53.88
56,479,0.01,0.18,0.39,0.17,0.21,54.97
57,474,0.01,0.21,0.39,0.18,0.21,56.05
58,475,0.01,0.19,0.39,0.26,0.18,57.05
59,472,0.01,0.20,0.39,0.30,0.30,58.16
60,483,0.02,0.21,0.39,0.25,0.42,59.30
61,487,0.02,0.21,0.42,0.36,0.30,60.41
62,483,0.01,0.21,0.39,0.33,0.26,61.50
63,479,0.01,0.21,0.42,0.32,0.26,62.66
64,478,0.01,0.21,0.39,0.36,0.26,63.77
65,522,0.01,0.21,0.39,0.40,0.36,65.00
66,524,0.00,0.19,0.40,0.40,0.25,66.18
67,521,0.01,0.20,0.41,0.44,0.21,67.39
68,510,0.01,0.19,0.41,0.32,0.36,68.53
69,503,0.01,0.19,0.41,0.31,0.44,69.82
70,554,0.01,0.18,0.41,0.35,0.43,71.06
71,545,0.01,0.21,0.40,0.42,0.40,72.37
72,538,0.01,0.21,0.42,0.26,0.47,73.62
73,533,0.01,0.24,0.43,0.34,0.48,75.02
74,531,0.02,0.23,0.41,0.23,0.48,76.27
75,562,0.01,0.21,0.41,0.48,0.45,77.73
76,553,0.01,0.19,0.41,0.37,0.41,79.02
77,553,0.01,0.19,0.41,0.40,0.30,80.33
78,540,0.01,0.20,0.41,0.28,0.35,81.48
79,531,0.01,0.17,0.41,0.27,0.31,82.54
80,555,0.01,0.21,0.41,0.33,0.22,83.74
81,548,0.01,0.19,0.41,0.23,0.38,85.06
82,546,0.01,0.21,0.41,0.26,0.27,86.24
83,536,0.01,0.21,0.41,0.24,0.39,87.58
84,531,0.01,0.21,0.41,0.24,0.34,88.80
85,562,0.02,0.21,0.41,0.29,0.50,90.20
86,553,0.01,0.22,0.41,0.28,0.29,91.28
87,542,0.01,0.20,0.41,0.28,0.44,92.71
88,531,0.01,0.22,0.43,0.22,0.35,93.87
89,520,0.01,0.21,0.41,0.22,0.39,95.07
90,566,0.01,0.21,0.41,0.29,0.22,96.26
91,560,0.01,0.18,0.39,0.27,0.25,97.54
92,560,0.01,0.21,0.40,0.22,0.30,98.98
93,551,0.01,0.21,0.40,0.29,0.27,100.35
94,547,0.01,0.21,0.40,0.29,0.23,101.68
95,592,0.01,0.20,0.40,0.30,0.19,102.95
96,586,0.01,0.22,0.40,0.22,0.34,104.40
97,576,0.01,0.20,0.40,0.21,0.19,105.52
98,572,0.01,0.24,0.41,0.44,0.20,106.84
99,572,0.01,0.21,0.40,0.43,0.28,108.15
100,629,0.01,0.20,0.40,0.60,0.23,109.61
101,613,0.01,0.21,0.41,0.47,0.19,110.86
102,599,0.01,0.20,0.39,0.45,0.19,112.22
103,583,0.01,0.20,0.42,0.42,0.44,113.63
104,575,0.01,0.17,0.39,0.42,0.40,115.05
105,624,0.01,0.19,0.40,0.35,0.48,116.40
106,611,0.01,0.18,0.38,0.41,0.38,117.79
107,592,0.00,0.20,0.40,0.26,0.21,118.73
108,581,0.01,0.20,0.39,0.32,0.19,120.07
109,565,0.01,0.22,0.43,0.25,0.34,121.65
110,615,0.01,0.20,0.41,0.27,0.39,123.07
111,609,0.02,0.20,0.40,0.30,0.21,124.30
112,600,0.01,0.22,0.40,0.28,0.28,125.79
113,589,0.00,0.21,0.40,0.22,0.20,127.16
114,578,0.01,0.22,0.40,0.45,0.19,128.44
115,634,0.01,0.21,0.40,0.49,0.21,129.74
116,615,0.02,0.18,0.40,0.38,0.18,131.11
117,601,0.01,0.21,0.43,0.49,0.17,132.51
118,585,0.01,0.18,0.40,0.37,0.18,133.89
119,566,0.01,0.18,0.41,0.42,0.39,135.29
120,616,0.01,0.18,0.40,0.52,0.29,136.69
121,606,0.01,0.19,0.40,0.51,0.32,138.12
122,601,0.01,0.18,0.40,0.43,0.32,139.46
123,598,0.01,0.21,0.40,0.39,0.49,140.95
124,596,0.01,0.20,0.40,0.35,0.45,142.26
125,690,0.01,0.20,0.40,0.49,0.37,143.75
126,687,0.01,0.18,0.40,0.51,0.18,145.08
127,680,0.01,0.21,0.40,0.55,0.20,146.50
128,678,0.02,0.19,0.40,0.40,0.19,147.79
129,664,0.01,0.21,0.40,0.49,0.19,149.14
130,760,0.01,0.19,0.40,0.46,0.34,150.54
131,746,0.01,0.18,0.40,0.60,0.33,152.05
132,727,0.01,0.18,0.40,0.51,0.17,153.33
133,717,0.01,0.18,0.40,0.60,0.24,154.83
134,699,0.01,0.17,0.41,0.47,0.30,156.23
135,791,0.01,0.20,0.41,0.43,0.38,157.71
136,777,0.01,0.18,0.41,0.56,0.25,159.07
137,761,0.01,0.17,0.41,0.60,0.18,160.57
138,744,0.01,0.18,0.43,0.34,0.25,161.86
139,727,0.00,0.18,0.41,0.39,0.23,163.46
140,771,0.01,0.18,0.41,0.48,0.48,165.09
141,746,0.01,0.16,0.41,0.44,0.19,166.35
142,726,0.01,0.17,0.42,0.45,0.18,167.95
143,698,0.01,0.17,0.42,0.37,0.22,169.32
144,676,0.01,0.19,0.43,0.40,0.24,170.83
145,719,0.01,0.21,0.43,0.42,0.47,172.33
146,696,0.01,0.17,0.42,0.46,0.20,173.59
147,676,0.01,0.19,0.42,0.31,0.28,175.06
148,653,0.01,0.16,0.42,0.35,0.32,176.50
149,635,0.01,0.18,0.43,0.35,0.36,177.80
150,663,0.01,0.15,0.41,0.42,0.35,179.18
151,643,0.02,0.18,0.41,0.28,0.18,180.30
152,634,0.01,0.18,0.42,0.36,0.24,181.88
153,612,0.01,0.19,0.40,0.31,0.39,183.22
154,601,0.01,0.19,0.41,0.33,0.20,184.38
155,644,0.01,0.17,0.41,0.38,0.24,185.79
156,628,0.00,0.18,0.42,0.36,0.20,187.07
157,612,0.01,0.17,0.41,0.32,0.27,188.40
158,597,0.01,0.19,0.40,0.34,0.39,189.73
159,584,0.01,0.17,0.41,0.38,0.18,190.95
160,672,0.01,0.16,0.39,0.33,0.21,192.19
161,660,0.01,0.19,0.39,0.43,0.20,193.65
162,649,0.01,0.20,0.40,0.46,0.31,195.10
163,631,0.01,0.17,0.39,0.27,0.24,196.35
164,623,0.01,0.17,0.39,0.35,0.34,197.89
165,668,0.01,0.18,0.41,0.32,0.24,199.24
166,662,0.01,0.19,0.39,0.36,0.43,200.80
167,648,0.01,0.18,0.40,0.34,0.21,202.08
168,636,0.01,0.19,0.40,0.40,0.22,203.57
169,617,0.01,0.19,0.44,0.27,0.27,204.74
170,693,0.01,0.18,0.42,0.31,0.41,206.15
171,674,0.01,0.20,0.41,0.44,0.19,207.44
172,659,0.01,0.18,0.41,0.34,0.21,208.73
173,639,0.02,0.17,0.42,0.33,0.25,210.13
174,622,0.02,0.17,0.41,0.34,0.37,211.45
175,668,0.01,0.19,0.42,0.47,0.20,212.80
176,654,0.01,0.19,0.42,0.45,0.26,214.38
177,642,0.02,0.20,0.44,0.44,0.36,215.76
178,623,0.01,0.18,0.42,0.27,0.20,216.99
179,607,0.01,0.20,0.42,0.32,0.29,218.47
180,655,0.01,0.18,0.41,0.42,0.38,219.92
181,638,0.01,0.18,0.41,0.34,0.17,221.13
182,617,0.01,0.20,0.44,0.38,0.23,222.36
183,611,0.02,0.18,0.41,0.32,0.29,223.80
184,597,0.01,0.20,0.44,0.22,0.25,224.95
185,683,0.01,0.19,0.43,0.35,0.36,226.29
186,670,0.01,0.18,0.41,0.33,0.19,227.54
187,662,0.01,0.19,0.41,0.40,0.20,229.06
188,655,0.02,0.19,0.41,0.32,0.36,230.53
189,646,0.01,0.18,0.41,0.40,0.33,231.88
190,706,0.01,0.21,0.43,0.33,0.38,233.50
191,699,0.01,0.19,0.42,0.37,0.24,234.98
192,691,0.01,0.20,0.41,0.45,0.31,236.49
193,676,0.01,0.21,0.42,0.44,0.25,237.92
194,664,0.01,0.19,0.42,0.38,0.42,239.63
195,710,0.01,0.19,0.42,0.48,0.19,241.03
196,689,0.01,0.18,0.42,0.38,0.24,242.51
197,671,0.01,0.18,0.41,0.50,0.25,243.92
198,648,0.01,0.20,0.44,0.39,0.25,245.29
