Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,520,0.01,0.03,0.12,0.08,0.70,2.37
1,539,0.01,0.04,0.13,0.93,0.80,8.36
2,540,0.01,0.05,0.12,0.79,0.89,14.95
3,548,0.01,0.06,0.14,0.79,0.82,21.41
4,554,0.01,0.06,0.16,0.99,0.91,28.60
5,555,0.01,0.07,0.20,0.71,0.92,35.44
6,546,0.01,0.08,0.20,1.18,0.95,43.51
7,557,0.01,0.09,0.21,0.81,0.92,50.40
8,560,0.01,0.10,0.21,0.79,0.89,57.13
9,557,0.01,0.11,0.31,0.84,0.90,63.96
10,566,0.01,0.12,0.24,0.69,0.93,70.49
11,563,0.01,0.12,0.27,0.90,0.96,77.62
12,565,0.01,0.12,0.26,0.80,0.97,84.75
13,568,0.01,0.14,0.29,1.01,1.00,92.15
14,568,0.01,0.16,0.33,0.84,1.03,99.81
15,584,0.02,0.17,0.32,0.71,1.09,107.28
16,580,0.01,0.18,0.36,0.83,1.23,114.81
17,573,0.01,0.16,0.35,0.89,1.16,122.78
18,569,0.01,0.18,0.38,0.86,1.23,130.41
19,571,0.01,0.20,0.38,0.68,1.26,138.40
20,600,0.01,0.18,0.38,0.90,1.22,147.02
21,584,0.01,0.18,0.37,0.77,1.23,155.48
22,574,0.01,0.18,0.37,0.69,1.13,163.71
23,570,0.01,0.19,0.36,0.79,1.18,172.34
24,566,0.01,0.18,0.35,1.04,1.16,181.13
25,603,0.01,0.20,0.40,0.77,1.31,189.80
26,601,0.02,0.18,0.39,1.03,1.24,199.02
27,595,0.01,0.18,0.37,0.85,1.34,207.85
28,587,0.01,0.17,0.37,0.93,1.20,216.74
29,577,0.01,0.19,0.38,1.01,1.30,225.78
30,621,0.01,0.20,0.39,1.15,2.22,237.17
31,613,0.01,0.20,0.40,1.15,1.55,249.24
32,606,0.01,0.20,0.42,1.19,1.50,259.63
33,597,0.02,0.18,0.40,0.82,1.31,269.07
34,585,0.01,0.21,0.40,0.87,1.41,278.55
35,623,0.01,0.19,0.41,0.93,1.34,287.98
36,608,0.01,0.20,0.45,0.75,1.23,296.81
37,603,0.02,0.19,0.46,1.04,1.19,305.94
38,589,0.01,0.19,0.45,0.73,1.20,315.06
39,594,0.01,0.21,0.46,0.80,1.38,324.10
40,641,0.01,0.19,0.46,0.92,1.28,333.75
41,643,0.01,0.20,0.46,0.96,1.27,343.18
42,627,0.01,0.19,0.46,0.91,1.18,352.62
43,617,0.01,0.20,0.46,0.90,1.29,361.81
44,607,0.01,0.20,0.47,0.80,1.23,370.98
45,665,0.01,0.20,0.48,0.95,1.27,380.47
46,654,0.01,0.20,0.47,1.25,1.35,390.24
47,642,0.01,0.21,0.46,1.89,2.12,403.92
48,626,0.01,0.19,0.46,1.62,2.32,417.49
49,612,0.02,0.19,0.46,1.06,1.98,431.29
50,670,0.01,0.18,0.46,1.04,1.38,442.35
51,658,0.01,0.19,0.47,1.15,1.28,453.46
52,651,0.01,0.19,0.46,0.92,1.28,464.05
53,636,0.02,0.20,0.46,0.95,1.18,473.47
54,612,0.01,0.19,0.46,1.07,1.19,483.00
55,675,0.01,0.19,0.46,0.77,1.18,492.04
56,659,0.02,0.20,0.47,1.51,1.44,504.24
57,641,0.02,0.20,0.47,1.77,1.63,516.93
58,623,0.02,0.18,0.47,1.16,1.30,528.42
59,614,0.02,0.20,0.48,0.92,1.20,538.22
60,674,0.01,0.20,0.47,0.80,1.23,547.73
61,665,0.01,0.20,0.47,0.96,1.27,557.61
62,650,0.01,0.19,0.47,1.41,1.43,568.78
63,641,0.02,0.18,0.47,0.95,1.16,578.49
64,627,0.01,0.18,0.47,0.90,1.10,587.96
65,688,0.01,0.16,0.47,0.96,1.12,597.24
66,674,0.01,0.20,0.47,1.24,1.38,608.67
67,645,0.01,0.18,0.48,1.13,1.32,620.16
68,615,0.01,0.17,0.47,1.23,1.32,631.22
69,597,0.01,0.17,0.47,1.00,1.25,641.84
70,661,0.01,0.18,0.47,0.82,1.19,652.10
71,650,0.02,0.20,0.50,1.19,1.22,662.29
72,641,0.02,0.21,0.49,1.21,1.55,675.43
73,623,0.01,0.19,0.50,1.01,1.56,687.96
74,613,0.01,0.19,0.49,1.27,1.44,700.42
75,681,0.02,0.20,0.49,1.44,1.57,712.85
76,666,0.01,0.21,0.49,1.26,1.53,724.68
77,651,0.01,0.20,0.49,1.53,1.22,735.98
78,637,0.01,0.19,0.49,0.92,1.24,746.11
79,615,0.02,0.19,0.49,1.03,1.13,755.63
