Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.03,0.26,0.84
1,440,-43.71,-10.06,-6.37,0.24,0.23,2.48
2,451,-33.51,-8.26,-5.92,0.25,0.21,4.15
3,454,-42.50,-9.17,-5.51,0.26,0.20,5.80
4,457,-34.72,-8.15,-5.75,0.28,0.26,7.61
5,456,-35.78,-8.15,-3.61,0.26,0.28,9.47
6,457,-25.75,-7.60,-3.08,0.26,0.27,11.32
7,463,-41.53,-8.10,-2.82,0.42,0.34,13.46
8,461,-28.94,-7.65,-3.85,0.37,0.29,15.29
9,467,-29.12,-7.81,-4.57,0.44,0.27,17.54
10,475,-36.77,-6.96,2.35,0.27,0.29,19.49
11,477,-33.08,-7.74,-2.44,0.35,0.33,21.61
12,469,-25.48,-7.04,-2.43,0.38,0.29,23.49
13,472,-38.62,-7.45,-3.63,0.43,0.25,25.57
14,476,-41.08,-7.99,-4.00,0.32,0.28,27.71
15,471,-34.10,-7.59,-4.23,0.52,0.29,29.89
16,466,-29.89,-6.84,-1.89,0.35,0.38,32.24
17,479,-23.12,-6.36,1.70,0.49,0.31,34.61
18,482,-30.34,-7.31,-2.87,0.43,0.38,37.01
19,479,-28.24,-7.02,-2.02,0.28,0.36,39.29
20,482,-29.93,-6.96,-3.30,0.46,0.26,41.50
21,478,-29.56,-6.71,-3.54,0.51,0.36,44.14
22,488,-30.67,-6.87,-3.97,0.32,0.39,46.54
23,480,-35.73,-7.13,-4.12,0.57,0.37,49.15
24,494,-22.74,-6.94,-4.45,0.46,0.30,51.46
25,489,-34.26,-7.11,-2.81,0.28,0.37,53.77
26,491,-21.99,-6.47,-4.61,0.44,0.32,56.24
27,491,-29.69,-6.42,-4.47,0.37,0.44,58.70
28,487,-26.81,-6.81,-3.07,0.32,0.42,61.35
29,489,-22.05,-6.46,-4.43,0.42,0.34,63.99
30,493,-27.65,-5.96,-3.35,0.53,0.34,66.59
31,494,-27.54,-6.08,-3.50,0.51,0.41,69.49
32,490,-34.50,-6.31,-2.89,0.47,0.45,72.27
33,498,-39.89,-6.08,-2.13,0.53,0.45,75.20
34,498,-35.15,-6.03,-2.22,0.48,0.47,78.10
35,500,-23.38,-5.55,-2.16,0.27,0.49,80.96
36,490,-43.91,-6.04,-2.40,0.36,0.51,83.70
37,491,-36.29,-6.11,-0.76,0.25,0.58,86.67
38,487,-22.71,-5.65,-1.67,0.40,0.51,89.50
39,493,-28.26,-5.83,-1.98,0.37,0.52,92.47
40,491,-36.76,-5.26,1.68,0.41,0.56,95.43
41,496,-36.09,-5.60,-2.08,0.40,0.56,98.28
42,496,-26.98,-5.38,2.61,0.34,0.62,101.51
43,490,-40.62,-5.99,-0.55,0.29,0.51,104.28
44,486,-33.58,-5.92,-0.89,0.38,0.53,107.10
45,504,-38.15,-5.21,-0.52,0.47,0.57,110.14
46,510,-37.20,-5.92,-0.77,0.40,0.58,113.04
47,499,-25.07,-5.11,-0.94,0.44,0.59,116.20
48,501,-22.69,-5.52,0.65,0.38,0.48,118.92
49,491,-27.29,-4.94,3.37,0.45,0.60,122.07
50,506,-34.38,-5.31,1.10,0.35,0.57,124.99
51,497,-27.37,-5.27,0.85,0.30,0.59,128.04
52,493,-28.98,-4.81,2.47,0.37,0.58,130.97
53,500,-28.07,-4.85,1.31,0.45,0.48,133.73
54,503,-30.99,-4.88,1.37,0.50,0.48,136.66
55,506,-30.18,-5.48,1.35,0.43,0.56,139.38
56,514,-27.28,-4.79,0.47,0.43,0.64,142.42
