Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1020,0.00,0.03,0.09,0.02,0.06,0.10,0.15,0.62,0.05,0.81
1,1064,0.01,0.04,0.12,0.02,0.07,0.12,0.96,0.43,0.19,2.39
2,1076,0.01,0.05,0.14,0.02,0.08,0.14,1.19,0.60,0.16,4.36
3,1096,0.01,0.05,0.16,0.01,0.09,0.16,0.76,0.42,0.08,5.61
4,1099,0.01,0.06,0.17,0.02,0.10,0.18,1.05,0.37,0.13,7.16
5,1086,0.00,0.07,0.20,0.02,0.11,0.19,1.11,0.68,0.16,9.11
6,1090,0.01,0.08,0.20,0.00,0.13,0.24,1.03,0.25,0.09,10.48
7,1100,0.01,0.09,0.22,0.01,0.13,0.22,0.74,0.28,0.14,11.65
8,1094,0.01,0.09,0.23,0.01,0.13,0.21,0.82,0.83,0.21,13.51
9,1097,0.01,0.10,0.24,0.01,0.14,0.23,1.11,0.62,0.09,15.34
10,1089,0.00,0.11,0.26,0.02,0.16,0.26,0.67,0.30,0.13,16.44
11,1100,0.01,0.11,0.26,0.01,0.16,0.25,0.88,0.77,0.20,18.28
12,1095,0.01,0.12,0.25,0.02,0.16,0.27,1.30,0.53,0.10,20.21
13,1104,0.01,0.12,0.25,0.02,0.18,0.29,0.79,0.33,0.19,21.52
14,1097,0.01,0.12,0.25,0.06,0.18,0.26,0.76,0.79,0.21,23.28
15,1106,0.01,0.13,0.26,0.04,0.19,0.28,1.18,0.61,0.10,25.17
16,1105,0.01,0.13,0.27,0.03,0.19,0.28,0.75,0.35,0.16,26.43
17,1110,0.00,0.14,0.30,0.02,0.20,0.33,0.94,0.95,0.22,28.55
18,1114,0.01,0.15,0.31,0.03,0.19,0.32,0.90,0.75,0.11,30.31
19,1115,0.01,0.17,0.34,0.06,0.21,0.30,0.81,0.67,0.24,32.03
20,1108,0.01,0.17,0.32,0.06,0.22,0.31,0.96,0.95,0.22,34.16
21,1111,0.01,0.16,0.31,0.07,0.23,0.32,1.15,0.39,0.12,35.82
22,1109,0.01,0.18,0.33,0.07,0.23,0.32,0.60,0.73,0.22,37.37
23,1109,0.01,0.18,0.34,0.03,0.25,0.38,0.92,1.06,0.27,39.63
24,1108,0.01,0.17,0.32,0.03,0.25,0.37,1.00,0.47,0.18,41.27
25,1110,0.02,0.18,0.33,0.02,0.24,0.35,0.87,0.76,0.20,43.10
26,1113,0.01,0.17,0.33,0.02,0.24,0.33,1.08,1.08,0.20,45.46
27,1097,0.01,0.18,0.33,0.02,0.25,0.36,0.80,0.40,0.20,46.85
28,1107,0.02,0.18,0.37,0.02,0.25,0.37,0.72,0.87,0.23,48.67
29,1100,0.01,0.19,0.35,0.06,0.26,0.37,1.12,0.74,0.11,50.64
30,1108,0.01,0.19,0.36,0.07,0.26,0.34,0.73,0.47,0.25,52.09
31,1113,0.01,0.20,0.37,0.02,0.26,0.36,0.95,1.06,0.25,54.34
32,1111,0.02,0.21,0.39,0.02,0.28,0.39,1.27,0.44,0.15,56.21
33,1114,0.01,0.22,0.38,0.02,0.28,0.37,0.64,0.91,0.15,57.90
34,1115,0.01,0.22,0.38,0.02,0.29,0.41,1.01,1.09,0.26,60.27
35,1111,0.01,0.21,0.37,0.02,0.29,0.41,0.95,0.46,0.21,61.89
36,1117,0.01,0.24,0.44,0.07,0.29,0.42,0.55,0.88,0.25,63.57
37,1113,0.01,0.22,0.40,0.08,0.28,0.39,0.99,1.31,0.26,66.13
38,1104,0.01,0.24,0.45,0.08,0.30,0.42,0.74,0.78,0.11,67.77
39,1110,0.01,0.23,0.42,0.01,0.30,0.41,0.98,0.80,0.26,69.81
40,1110,0.01,0.22,0.42,0.01,0.30,0.42,1.11,1.25,0.12,72.29
41,1134,0.01,0.24,0.43,0.01,0.30,0.44,0.64,0.51,0.29,73.73
42,1115,0.01,0.25,0.43,0.01,0.29,0.41,1.12,1.06,0.27,76.19
43,1110,0.01,0.24,0.42,0.07,0.32,0.47,0.80,0.52,0.22,77.73
44,1110,0.00,0.24,0.42,0.02,0.30,0.42,0.61,0.96,0.15,79.45
45,1113,0.01,0.25,0.44,0.02,0.33,0.46,1.00,1.33,0.26,82.05
46,1110,0.01,0.25,0.42,0.02,0.31,0.45,0.64,0.61,0.14,83.44
47,1122,0.01,0.26,0.45,0.02,0.31,0.43,1.12,0.72,0.28,85.56
48,1122,0.01,0.24,0.43,0.02,0.31,0.43,1.39,0.74,0.21,87.90
49,1119,0.01,0.25,0.43,0.01,0.29,0.42,0.57,0.75,0.28,89.49
50,1114,0.01,0.26,0.44,0.02,0.31,0.42,1.00,1.25,0.28,92.01
51,1116,0.01,0.26,0.43,0.02,0.31,0.43,0.68,0.73,0.16,93.58
52,1112,0.02,0.26,0.43,0.02,0.33,0.48,0.98,0.93,0.27,95.76
53,1120,0.02,0.26,0.44,0.02,0.33,0.44,1.12,0.95,0.16,97.99
54,1122,0.01,0.27,0.46,0.02,0.35,0.47,0.65,1.09,0.26,100.00
55,1112,0.01,0.26,0.43,0.01,0.34,0.45,1.03,1.51,0.15,102.68
56,1116,0.01,0.27,0.45,0.01,0.33,0.44,0.78,0.77,0.30,104.54
57,1120,0.01,0.27,0.45,0.03,0.35,0.47,0.93,1.45,0.27,107.19
58,1117,0.01,0.27,0.45,0.02,0.34,0.44,0.59,0.78,0.19,108.75
59,1115,0.01,0.29,0.47,0.02,0.35,0.47,1.03,1.11,0.30,111.18
60,1118,0.01,0.26,0.44,0.01,0.32,0.42,1.10,1.15,0.16,113.59
61,1125,0.01,0.26,0.43,0.01,0.37,0.47,0.78,0.83,0.32,115.52
62,1132,0.01,0.28,0.44,0.01,0.32,0.47,1.20,1.51,0.32,118.55
63,1128,0.01,0.26,0.44,0.01,0.34,0.45,0.76,0.72,0.27,120.30
64,1123,0.01,0.27,0.44,0.01,0.33,0.44,1.04,0.80,0.31,122.46
65,1131,0.01,0.28,0.48,0.01,0.34,0.46,1.41,0.87,0.24,124.98
66,1119,0.01,0.28,0.46,0.01,0.34,0.46,0.70,1.19,0.26,127.12
