Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.03,0.16,0.60
1,440,-43.71,-10.06,-6.37,0.26,0.29,2.52
2,451,-33.51,-8.26,-5.92,0.26,0.28,5.25
3,454,-42.50,-9.17,-5.51,0.26,0.27,8.04
4,457,-34.72,-8.15,-5.75,0.38,0.20,10.92
5,462,-40.02,-8.27,-5.55,0.34,0.20,13.92
6,459,-35.23,-7.65,-0.75,0.34,0.31,17.03
7,463,-52.24,-7.74,-3.28,0.41,0.27,20.16
8,463,-34.47,-7.33,-4.29,0.33,0.30,23.51
9,459,-27.02,-7.63,-4.91,0.33,0.32,26.78
10,466,-27.52,-6.55,2.35,0.49,0.22,30.47
11,473,-34.11,-7.82,-2.44,0.53,0.24,34.35
12,470,-21.29,-6.88,-2.43,0.35,0.31,38.28
13,462,-24.79,-7.03,-3.63,0.45,0.37,42.19
14,469,-37.94,-7.99,-4.00,0.28,0.39,45.77
15,481,-28.45,-7.25,-4.23,0.42,0.31,49.33
16,469,-42.65,-7.31,-3.96,0.33,0.41,53.08
17,470,-37.83,-6.73,-2.52,0.33,0.41,56.93
18,473,-32.59,-7.30,-3.65,0.46,0.38,60.87
19,474,-46.44,-7.33,-2.67,0.42,0.36,64.87
20,479,-36.08,-6.79,-4.03,0.41,0.38,68.86
21,473,-34.35,-6.95,-4.00,0.39,0.32,72.90
22,471,-32.57,-6.66,-4.33,0.35,0.48,76.82
23,468,-38.62,-6.82,-4.51,0.34,0.44,81.00
24,469,-23.13,-6.93,-4.70,0.32,0.41,85.00
25,474,-37.07,-6.81,-2.15,0.40,0.43,89.22
26,481,-32.66,-6.61,-3.94,0.37,0.44,93.57
27,481,-23.53,-6.26,-3.17,0.30,0.51,97.74
28,484,-28.92,-7.00,-2.80,0.55,0.40,102.04
29,481,-22.38,-6.47,-4.70,0.36,0.47,106.37
30,489,-25.79,-6.04,-3.93,0.29,0.56,110.75
31,483,-24.89,-6.16,-4.16,0.37,0.42,114.95
32,482,-36.94,-6.20,-1.59,0.33,0.50,119.23
33,478,-30.14,-6.01,1.16,0.31,0.50,123.79
34,480,-29.72,-5.93,-1.05,0.26,0.47,128.26
35,491,-29.96,-5.56,-0.89,0.37,0.52,132.57
36,495,-37.32,-5.95,-0.51,0.30,0.53,137.17
37,490,-23.21,-5.83,0.20,0.33,0.61,141.60
38,490,-40.45,-5.68,-1.26,0.25,0.61,146.30
39,490,-32.36,-5.75,-0.56,0.32,0.57,150.76
40,499,-31.05,-5.57,0.82,0.32,0.56,155.32
41,500,-28.92,-5.63,-1.14,0.36,0.59,160.06
42,500,-35.50,-5.49,-0.55,0.26,0.62,164.85
43,503,-33.30,-5.81,-0.85,0.33,0.56,169.37
44,500,-33.07,-5.76,-0.87,0.29,0.53,174.02
45,500,-29.90,-5.25,-1.28,0.38,0.52,178.84
