Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.06,0.28,0.58
1,440,-43.71,-10.06,-6.37,0.25,0.28,1.69
2,451,-33.51,-8.26,-5.92,0.36,0.23,2.92
3,454,-42.50,-9.17,-5.51,0.34,0.19,4.04
4,457,-34.72,-8.15,-5.75,0.39,0.29,5.40
5,460,-26.57,-7.84,-4.48,0.39,0.31,6.92
6,460,-29.04,-7.71,-2.88,0.34,0.33,8.26
7,455,-35.79,-7.71,-2.62,0.38,0.28,9.63
8,460,-27.33,-7.55,-4.04,0.35,0.39,11.05
9,466,-20.60,-7.59,-5.01,0.35,0.35,12.48
10,473,-27.22,-6.70,-4.23,0.47,0.40,14.27
11,474,-29.10,-7.46,-4.59,0.49,0.35,15.92
12,472,-21.06,-6.89,-4.68,0.50,0.26,17.52
13,469,-33.86,-7.23,-5.03,0.42,0.37,19.23
14,472,-43.33,-7.89,-4.45,0.36,0.32,20.64
15,479,-30.48,-7.22,-4.84,0.41,0.38,22.22
16,475,-26.38,-6.83,-4.41,0.41,0.37,23.82
17,478,-33.02,-6.38,-1.24,0.44,0.44,25.54
18,478,-36.95,-7.10,-2.23,0.45,0.34,27.19
19,485,-28.64,-7.16,-3.82,0.47,0.35,29.04
20,490,-27.03,-6.70,-2.61,0.34,0.48,30.77
21,489,-37.01,-6.90,-3.85,0.50,0.42,32.57
22,492,-25.42,-6.51,-3.79,0.39,0.47,34.33
23,487,-29.55,-6.55,-3.87,0.42,0.47,36.17
24,490,-24.15,-6.48,-3.86,0.42,0.48,37.98
25,498,-24.24,-6.40,-3.84,0.37,0.49,39.66
26,496,-23.07,-6.37,-3.96,0.45,0.56,41.60
27,500,-23.09,-6.08,-3.91,0.33,0.43,43.24
28,501,-26.80,-6.67,2.28,0.37,0.51,45.24
29,501,-26.65,-6.13,0.30,0.35,0.53,47.10
30,505,-22.40,-5.94,-2.27,0.47,0.56,49.13
31,511,-33.00,-6.10,-3.67,0.36,0.61,51.12
32,510,-36.26,-5.97,-0.72,0.41,0.61,53.15
33,506,-36.48,-5.63,0.74,0.33,0.56,54.99
34,508,-23.31,-5.69,-1.74,0.31,0.58,56.92
35,515,-24.15,-5.44,-1.16,0.40,0.61,59.21
36,511,-42.82,-6.02,-1.07,0.45,0.54,61.28
37,509,-42.35,-5.70,0.79,0.28,0.60,63.15
38,498,-24.73,-5.65,-1.71,0.42,0.57,65.20
39,506,-30.02,-5.58,0.92,0.32,0.68,67.20
