Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.03,0.09,0.04,0.17,0.58
1,431,0.01,0.05,0.14,0.24,0.21,2.08
2,442,0.00,0.06,0.14,0.33,0.13,3.62
3,440,0.01,0.06,0.17,0.26,0.08,5.01
4,440,0.01,0.08,0.18,0.17,0.18,6.62
5,453,0.02,0.08,0.21,0.17,0.15,8.01
6,448,0.01,0.09,0.25,0.32,0.27,9.84
7,449,0.01,0.10,0.23,0.17,0.17,11.41
8,457,0.01,0.11,0.30,0.23,0.31,13.17
9,454,0.02,0.11,0.27,0.25,0.11,14.75
10,469,0.01,0.11,0.27,0.31,0.12,16.40
11,462,0.01,0.12,0.30,0.30,0.12,18.30
12,461,0.01,0.14,0.32,0.26,0.33,20.39
13,462,0.01,0.14,0.29,0.22,0.13,22.06
14,462,0.01,0.15,0.30,0.35,0.13,24.02
15,483,0.01,0.16,0.36,0.35,0.18,25.99
16,479,0.01,0.15,0.34,0.17,0.27,27.85
17,478,0.01,0.14,0.34,0.24,0.18,29.79
18,487,0.02,0.16,0.33,0.21,0.17,31.95
19,477,0.02,0.16,0.34,0.27,0.13,33.96
20,525,0.01,0.16,0.34,0.39,0.28,36.17
21,521,0.01,0.16,0.36,0.50,0.14,38.55
22,520,0.01,0.15,0.34,0.52,0.18,40.87
23,504,0.01,0.16,0.35,0.48,0.13,43.16
24,498,0.00,0.16,0.35,0.36,0.26,45.32
25,537,0.02,0.16,0.40,0.34,0.34,47.76
26,533,0.02,0.17,0.37,0.51,0.16,50.18
27,522,0.01,0.15,0.37,0.54,0.13,52.61
28,508,0.01,0.16,0.37,0.53,0.16,55.03
29,511,0.01,0.16,0.37,0.45,0.14,57.36
30,572,0.01,0.18,0.37,0.40,0.15,59.56
31,559,0.01,0.16,0.39,0.45,0.21,61.97
32,549,0.02,0.16,0.41,0.52,0.17,64.49
33,524,0.01,0.15,0.39,0.36,0.28,66.94
34,503,0.01,0.14,0.38,0.49,0.24,69.41
35,542,0.02,0.15,0.40,0.41,0.21,71.86
36,540,0.02,0.17,0.41,0.27,0.29,74.15
37,521,0.02,0.19,0.44,0.28,0.30,76.46
38,506,0.01,0.15,0.42,0.28,0.32,78.71
39,500,0.01,0.17,0.41,0.37,0.16,80.83
40,541,0.02,0.19,0.42,0.30,0.18,83.32
41,542,0.01,0.19,0.41,0.35,0.29,86.10
42,531,0.01,0.20,0.42,0.30,0.28,88.47
43,525,0.01,0.20,0.42,0.34,0.32,90.99
44,516,0.02,0.19,0.42,0.31,0.18,93.33
45,561,0.01,0.20,0.43,0.38,0.29,96.12
46,544,0.01,0.18,0.42,0.32,0.37,98.68
47,531,0.01,0.20,0.44,0.38,0.33,101.10
48,524,0.01,0.18,0.43,0.30,0.16,103.45
49,507,0.02,0.19,0.43,0.45,0.17,105.79
50,551,0.02,0.19,0.43,0.24,0.26,108.27
51,537,0.01,0.20,0.44,0.30,0.34,110.91
52,522,0.01,0.22,0.43,0.45,0.18,113.52
53,513,0.02,0.21,0.43,0.43,0.17,116.05
54,506,0.01,0.22,0.44,0.39,0.23,118.50
55,554,0.01,0.24,0.45,0.25,0.20,120.89
56,539,0.01,0.21,0.44,0.33,0.21,123.42
57,529,0.02,0.22,0.47,0.40,0.33,126.30
58,520,0.01,0.21,0.45,0.24,0.35,128.82
59,507,0.01,0.20,0.45,0.26,0.39,131.41
60,579,0.01,0.19,0.44,0.37,0.40,134.00
61,572,0.01,0.22,0.45,0.35,0.37,136.57
62,552,0.01,0.20,0.44,0.27,0.38,139.12
63,542,0.02,0.21,0.45,0.37,0.45,142.00
64,531,0.01,0.18,0.44,0.48,0.17,144.66
65,618,0.01,0.19,0.44,0.49,0.17,147.20
66,602,0.01,0.18,0.44,0.38,0.19,150.14
67,590,0.02,0.17,0.44,0.58,0.15,153.03
68,576,0.01,0.18,0.44,0.36,0.19,155.70
69,560,0.01,0.17,0.44,0.36,0.17,158.18
70,605,0.01,0.18,0.47,0.32,0.19,160.66
71,582,0.01,0.16,0.44,0.28,0.22,163.21
72,563,0.01,0.19,0.49,0.39,0.20,165.70
73,554,0.01,0.20,0.47,0.30,0.31,168.33
74,543,0.01,0.19,0.47,0.33,0.35,171.23
75,613,0.01,0.18,0.44,0.30,0.33,173.82
76,596,0.01,0.21,0.45,0.57,0.19,176.66
77,586,0.01,0.18,0.44,0.38,0.18,179.19
78,565,0.01,0.17,0.44,0.49,0.17,181.61
79,553,0.01,0.17,0.44,0.42,0.17,184.15
80,600,0.01,0.20,0.45,0.28,0.21,186.82
81,589,0.01,0.18,0.44,0.37,0.25,189.42
82,570,0.01,0.18,0.44,0.27,0.28,191.92
83,561,0.02,0.22,0.46,0.34,0.28,194.73
84,538,0.01,0.19,0.45,0.33,0.32,197.31
85,591,0.01,0.20,0.45,0.35,0.37,199.95
86,580,0.01,0.20,0.44,0.48,0.36,202.89
87,572,0.01,0.19,0.44,0.30,0.26,205.55
88,559,0.01,0.20,0.46,0.32,0.18,208.08
89,544,0.01,0.18,0.44,0.35,0.18,210.66
90,606,0.02,0.19,0.45,0.39,0.28,213.64
91,592,0.01,0.20,0.44,0.38,0.22,216.20
92,575,0.01,0.19,0.45,0.41,0.31,219.02
93,558,0.02,0.18,0.44,0.35,0.18,221.40
94,541,0.01,0.18,0.44,0.35,0.19,224.23
95,607,0.01,0.21,0.45,0.35,0.25,227.09
96,593,0.01,0.19,0.44,0.44,0.18,230.00
97,578,0.01,0.20,0.47,0.39,0.18,232.45
98,560,0.02,0.21,0.50,0.41,0.36,235.17
99,539,0.01,0.20,0.47,0.37,0.46,237.97
100,628,0.01,0.18,0.47,0.42,0.36,240.88
101,613,0.01,0.19,0.46,0.51,0.21,243.76
102,597,0.01,0.23,0.50,0.49,0.18,246.45
103,575,0.01,0.21,0.48,0.48,0.24,249.17
104,565,0.01,0.21,0.47,0.31,0.18,251.84
105,649,0.01,0.21,0.46,0.45,0.20,254.56
106,629,0.01,0.19,0.46,0.32,0.29,257.29
107,610,0.01,0.18,0.46,0.38,0.18,260.09
108,597,0.01,0.20,0.46,0.37,0.29,263.19
109,579,0.02,0.19,0.46,0.38,0.18,265.92
110,663,0.01,0.21,0.47,0.58,0.17,268.91
111,642,0.01,0.18,0.46,0.46,0.19,271.84
112,622,0.01,0.17,0.46,0.52,0.16,274.40
113,598,0.01,0.19,0.47,0.33,0.19,277.14
114,563,0.01,0.17,0.46,0.52,0.16,280.02
115,642,0.01,0.18,0.46,0.46,0.36,283.11
116,616,0.01,0.19,0.46,0.55,0.18,285.85
