Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.03,0.09,0.08,0.51,0.60
1,427,0.00,0.04,0.09,0.31,0.09,1.21
2,443,0.01,0.04,0.13,0.17,0.08,2.35
3,446,0.01,0.05,0.12,0.19,0.21,3.30
4,443,0.01,0.05,0.17,0.20,0.11,4.26
5,458,0.00,0.06,0.20,0.14,0.17,5.48
6,452,0.01,0.07,0.19,0.21,0.16,6.72
7,453,0.01,0.08,0.19,0.15,0.11,7.85
8,456,0.01,0.09,0.28,0.32,0.11,9.04
9,452,0.01,0.10,0.28,0.40,0.13,10.40
10,457,0.01,0.10,0.26,0.40,0.30,11.84
11,457,0.01,0.11,0.29,0.34,0.34,13.25
12,460,0.01,0.12,0.28,0.27,0.38,14.58
13,457,0.01,0.11,0.27,0.29,0.29,15.99
14,462,0.01,0.12,0.27,0.18,0.34,17.44
15,467,0.02,0.13,0.29,0.17,0.26,18.74
16,463,0.01,0.13,0.31,0.20,0.17,20.02
17,461,0.00,0.14,0.30,0.19,0.18,21.46
18,466,0.02,0.15,0.31,0.22,0.18,22.83
19,459,0.01,0.16,0.31,0.19,0.25,24.30
20,469,0.02,0.16,0.33,0.26,0.18,25.64
21,468,0.01,0.15,0.32,0.22,0.17,26.96
22,459,0.01,0.15,0.33,0.26,0.16,28.44
23,462,0.02,0.15,0.31,0.18,0.24,29.95
24,465,0.01,0.16,0.33,0.22,0.14,31.44
25,476,0.02,0.16,0.37,0.16,0.14,32.95
26,472,0.02,0.17,0.34,0.17,0.16,34.44
27,463,0.01,0.16,0.36,0.15,0.15,35.78
28,461,0.01,0.16,0.35,0.14,0.15,37.26
29,461,0.01,0.16,0.36,0.14,0.15,38.62
30,470,0.01,0.18,0.39,0.19,0.18,40.19
31,473,0.02,0.18,0.39,0.18,0.18,41.65
32,470,0.02,0.19,0.38,0.17,0.18,43.16
33,477,0.02,0.19,0.39,0.15,0.20,44.56
34,472,0.01,0.20,0.40,0.21,0.16,46.07
35,490,0.02,0.20,0.38,0.20,0.18,47.69
36,486,0.01,0.20,0.40,0.20,0.19,49.31
37,479,0.02,0.20,0.39,0.18,0.17,50.82
38,477,0.01,0.19,0.38,0.13,0.16,52.28
39,471,0.01,0.19,0.39,0.15,0.24,53.82
40,494,0.01,0.21,0.39,0.16,0.21,55.34
41,488,0.01,0.19,0.38,0.26,0.37,57.02
42,487,0.01,0.20,0.43,0.31,0.36,58.68
43,482,0.01,0.18,0.41,0.35,0.26,60.10
44,477,0.01,0.19,0.40,0.40,0.27,61.59
45,495,0.01,0.21,0.41,0.40,0.33,63.16
46,488,0.01,0.19,0.41,0.39,0.18,64.69
47,488,0.01,0.20,0.42,0.17,0.16,66.26
48,486,0.01,0.19,0.41,0.18,0.18,67.84
49,482,0.01,0.20,0.41,0.14,0.25,69.32
50,507,0.01,0.21,0.41,0.25,0.45,71.08
51,503,0.01,0.20,0.41,0.33,0.17,72.53
52,503,0.01,0.20,0.41,0.18,0.19,74.32
53,491,0.01,0.20,0.45,0.20,0.25,76.04
54,488,0.01,0.21,0.43,0.25,0.47,77.97
55,515,0.01,0.21,0.44,0.36,0.46,79.73
56,514,0.02,0.20,0.43,0.28,0.17,81.23
57,511,0.01,0.19,0.43,0.23,0.15,82.77
58,506,0.01,0.18,0.43,0.23,0.16,84.34
59,504,0.01,0.20,0.43,0.21,0.21,86.07
60,525,0.01,0.20,0.43,0.20,0.23,87.78
61,522,0.01,0.18,0.43,0.30,0.22,89.58
