Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.03,0.09,0.02,0.07,0.43
1,443,0.01,0.04,0.14,0.15,0.08,1.40
2,438,0.01,0.05,0.14,0.13,0.08,2.49
3,439,0.01,0.05,0.14,0.14,0.08,3.60
4,440,0.00,0.05,0.17,0.16,0.08,4.87
5,449,0.02,0.06,0.17,0.12,0.08,6.05
6,452,0.01,0.07,0.19,0.18,0.09,7.40
7,454,0.01,0.08,0.24,0.18,0.09,8.72
8,458,0.01,0.09,0.22,0.17,0.09,10.07
9,452,0.01,0.09,0.23,0.15,0.10,11.43
10,467,0.01,0.10,0.25,0.19,0.10,12.79
11,468,0.01,0.10,0.25,0.21,0.11,14.20
12,465,0.01,0.12,0.25,0.18,0.11,15.65
13,464,0.01,0.12,0.26,0.18,0.11,17.13
14,458,0.01,0.13,0.27,0.16,0.12,18.64
15,485,0.01,0.15,0.30,0.21,0.13,20.19
16,485,0.01,0.14,0.32,0.21,0.13,21.75
17,479,0.01,0.16,0.33,0.16,0.15,23.32
18,483,0.01,0.16,0.33,0.20,0.13,24.88
19,479,0.01,0.16,0.35,0.20,0.14,26.52
20,506,0.01,0.18,0.37,0.26,0.14,28.25
21,505,0.01,0.17,0.36,0.23,0.14,29.96
22,498,0.00,0.17,0.38,0.19,0.13,31.67
23,495,0.01,0.18,0.38,0.19,0.14,33.46
24,490,0.01,0.19,0.39,0.18,0.14,35.14
25,535,0.01,0.18,0.39,0.20,0.14,36.87
26,520,0.01,0.18,0.38,0.20,0.14,38.75
27,505,0.02,0.17,0.39,0.22,0.14,40.59
28,505,0.02,0.18,0.39,0.22,0.13,42.42
29,499,0.00,0.18,0.39,0.19,0.14,44.21
30,543,0.01,0.21,0.39,0.24,0.14,46.14
31,527,0.02,0.21,0.41,0.22,0.14,48.13
32,519,0.01,0.17,0.39,0.22,0.13,49.97
33,508,0.01,0.17,0.38,0.22,0.13,51.83
34,496,0.01,0.16,0.38,0.20,0.13,53.64
35,551,0.01,0.17,0.38,0.24,0.13,55.58
36,538,0.00,0.19,0.40,0.23,0.13,57.45
37,526,0.01,0.17,0.39,0.23,0.13,59.40
38,523,0.01,0.18,0.39,0.21,0.14,61.30
39,512,0.01,0.17,0.39,0.22,0.13,63.13
40,576,0.01,0.18,0.39,0.24,0.14,65.04
41,561,0.01,0.18,0.39,0.24,0.13,67.02
42,550,0.01,0.18,0.40,0.25,0.14,68.87
43,534,0.00,0.17,0.39,0.23,0.14,70.81
44,521,0.01,0.18,0.39,0.20,0.14,72.71
45,573,0.02,0.17,0.39,0.23,0.14,74.72
46,557,0.01,0.19,0.39,0.24,0.14,76.65
47,555,0.01,0.20,0.42,0.25,0.15,78.57
48,548,0.01,0.19,0.40,0.23,0.15,80.58
49,533,0.01,0.20,0.41,0.23,0.15,82.56
50,606,0.01,0.20,0.40,0.25,0.16,84.62
51,595,0.01,0.19,0.40,0.27,0.15,86.67
52,582,0.01,0.19,0.40,0.26,0.15,88.66
53,573,0.01,0.18,0.39,0.23,0.15,90.64
54,563,0.01,0.18,0.39,0.24,0.15,92.62
55,628,0.01,0.18,0.40,0.26,0.15,94.66
56,623,0.01,0.18,0.39,0.29,0.16,96.74
