Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.03,0.25,1.13
1,440,-43.71,-10.06,-6.37,0.24,0.27,3.29
2,451,-33.51,-8.26,-5.92,0.24,0.25,5.53
3,454,-42.50,-9.17,-5.51,0.30,0.32,8.03
4,457,-34.72,-8.15,-5.75,0.40,0.22,10.64
5,462,-40.02,-8.24,-5.55,0.26,0.30,13.11
6,459,-35.23,-7.65,-0.75,0.38,0.21,15.59
7,463,-52.24,-7.74,-3.28,0.38,0.29,18.33
8,463,-34.47,-7.33,-4.29,0.31,0.36,20.90
9,459,-27.02,-7.63,-4.91,0.32,0.31,23.71
10,466,-39.40,-6.87,-4.34,0.41,0.28,26.45
11,470,-30.00,-7.76,-5.06,0.36,0.31,29.46
12,469,-28.95,-7.13,-5.20,0.43,0.24,32.28
13,466,-22.56,-7.05,-5.06,0.38,0.37,35.21
14,470,-38.62,-7.98,-4.32,0.35,0.39,38.39
15,466,-26.56,-7.34,-4.18,0.24,0.38,41.35
16,465,-42.29,-7.05,-1.65,0.49,0.33,44.27
17,471,-35.32,-6.44,-1.59,0.54,0.37,47.64
18,469,-30.25,-7.08,-3.51,0.42,0.27,50.41
19,478,-27.00,-6.89,-3.19,0.40,0.28,53.34
20,486,-34.21,-6.90,-3.98,0.33,0.41,56.42
21,479,-35.44,-6.70,-4.25,0.42,0.41,59.67
22,485,-23.02,-6.69,-4.09,0.31,0.36,62.72
23,481,-24.55,-6.70,-4.12,0.41,0.37,65.91
24,488,-22.36,-6.73,-4.06,0.41,0.40,69.16
25,485,-38.01,-6.91,-4.13,0.36,0.45,72.61
26,487,-21.71,-6.19,-3.91,0.48,0.40,75.94
27,490,-27.71,-6.34,-3.95,0.42,0.42,79.17
28,487,-36.50,-6.87,-3.62,0.37,0.42,82.54
29,492,-33.00,-6.55,-4.02,0.35,0.44,85.81
30,493,-27.99,-5.87,-3.50,0.35,0.53,89.34
31,493,-24.34,-6.18,-3.78,0.43,0.42,92.94
32,492,-22.33,-6.07,-0.14,0.41,0.42,96.32
33,493,-32.92,-6.04,0.64,0.36,0.49,99.96
34,495,-25.53,-5.88,0.07,0.38,0.57,103.64
35,509,-37.17,-5.79,0.00,0.43,0.47,107.42
36,506,-23.70,-5.71,0.37,0.45,0.54,111.33
37,504,-40.02,-6.11,1.07,0.38,0.51,115.18
38,506,-28.80,-5.57,0.28,0.34,0.59,119.01
39,507,-22.61,-5.82,0.84,0.34,0.53,123.01
40,519,-30.58,-5.45,2.06,0.34,0.56,126.90
41,518,-24.58,-5.34,0.61,0.45,0.62,130.89
42,522,-23.32,-5.07,0.63,0.37,0.59,134.86
43,524,-28.35,-5.63,0.39,0.27,0.66,138.71
44,515,-29.58,-5.40,0.43,0.53,0.63,142.77
45,526,-27.30,-4.90,0.07,0.27,0.59,146.47
46,525,-35.73,-5.62,0.15,0.28,0.56,149.94
47,524,-27.89,-4.80,0.04,0.38,0.61,153.95
48,524,-22.56,-5.24,0.00,0.31,0.64,157.83
49,533,-38.63,-4.90,0.21,0.33,0.68,162.01
50,552,-43.44,-4.88,1.52,0.31,0.68,165.94
51,551,-23.16,-5.03,0.27,0.34,0.71,169.87
52,549,-30.04,-4.75,0.67,0.50,0.65,174.05
53,549,-22.73,-4.43,0.31,0.38,0.71,178.19
54,554,-31.62,-4.46,0.14,0.26,0.72,182.12
55,571,-22.64,-4.82,1.24,0.29,0.63,186.34
56,574,-22.45,-4.32,-0.05,0.33,0.74,190.32
57,573,-27.49,-4.37,-0.11,0.33,0.78,194.53
58,582,-28.72,-4.16,0.30,0.37,0.63,198.72
59,577,-26.31,-4.05,0.31,0.40,0.63,202.78
60,602,-22.23,-3.99,0.13,0.50,0.68,206.83
61,603,-36.64,-4.01,-0.16,0.39,0.65,211.30
62,599,-23.93,-3.52,0.07,0.27,0.55,215.17
63,600,-41.68,-2.49,1.62,0.33,0.70,219.18
64,604,-22.50,-3.01,0.35,0.30,0.62,223.24
65,638,-21.95,-2.83,0.14,0.29,0.59,227.26
66,633,-38.94,-2.68,0.19,0.42,0.64,231.47
67,626,-44.81,1.64,9.69,0.27,0.60,235.55
68,626,-28.11,-0.47,4.90,0.38,0.62,239.80
69,615,-22.00,-1.94,3.05,0.31,0.76,244.32
70,658,-22.13,-0.25,3.62,0.28,0.58,248.31
71,643,-32.39,-2.40,2.17,0.31,0.66,253.00
72,625,-22.06,-2.66,1.63,0.41,0.74,257.65
73,620,-29.07,-1.18,2.60,0.33,0.59,261.87
74,602,-22.73,-2.20,1.58,0.28,0.58,266.26
75,648,-30.49,-1.82,1.44,0.40,0.70,270.66
76,642,-38.49,0.64,6.24,0.51,0.60,275.12
77,628,-34.11,-2.24,2.10,0.53,0.65,280.06
78,631,-30.05,-2.67,1.47,0.36,0.73,284.54
79,625,-35.76,-3.10,1.18,0.49,0.72,289.77
80,684,-37.97,-3.04,1.03,0.44,0.81,294.82
81,686,-26.89,-2.93,0.98,0.37,0.69,299.90
82,687,-21.98,-2.33,0.93,0.29,0.72,304.76
83,681,-28.52,-0.52,3.86,0.34,0.59,309.05
84,667,-32.35,-2.22,2.65,0.26,0.66,313.30
85,727,-32.62,-3.09,1.08,0.36,0.66,318.04
86,712,-40.45,-2.89,0.60,0.44,0.69,322.96
87,685,-22.43,-2.68,1.37,0.31,0.66,327.37
88,668,-35.34,-0.55,6.19,0.35,0.57,331.43
89,650,-32.51,-2.14,2.64,0.35,0.63,335.79
90,707,-43.37,0.06,4.45,0.27,0.61,340.10
91,698,-29.73,-0.66,3.22,0.35,0.61,344.31
92,679,-37.71,-1.86,2.31,0.29,0.72,349.01
93,657,-23.84,-1.87,1.72,0.25,0.62,353.63
94,654,-36.51,-2.17,1.37,0.47,0.73,358.68
95,729,-41.51,-2.76,2.20,0.38,0.71,363.13
96,720,-28.67,-1.62,2.22,0.30,0.70,367.86
97,714,-24.59,-2.80,1.80,0.25,0.74,372.86
98,700,-42.91,-3.02,1.30,0.37,0.78,377.83
99,691,-30.59,-1.70,1.49,0.33,0.78,382.85
100,739,-44.36,-2.10,2.27,0.35,0.68,387.23
101,718,-36.74,-3.04,3.14,0.35,0.55,391.57
102,707,-41.50,-2.81,1.66,0.46,0.77,396.38
103,701,-35.76,-2.54,1.06,0.29,0.90,401.53
104,691,-29.80,-2.16,1.17,0.37,1.10,406.68
105,688,-37.30,-3.13,1.07,0.25,1.19,412.12
106,692,-42.76,-0.14,6.62,0.33,0.87,416.81
107,684,-42.83,-2.02,2.28,0.37,0.97,421.77
108,676,-43.91,-1.72,2.15,0.38,0.93,426.83
109,672,-39.66,-2.68,1.52,0.37,1.17,432.36
110,687,-37.41,-2.24,1.16,0.33,0.94,437.38
111,689,-43.84,-1.95,1.34,0.33,0.90,442.08
112,680,-41.25,-2.36,0.77,0.33,0.94,447.52
113,671,-41.34,-2.41,0.45,0.34,1.04,453.02
114,664,-37.59,-1.30,2.59,0.41,0.85,457.94
115,707,-35.79,-1.74,1.39,0.50,0.83,462.98
116,685,-27.44,-1.80,1.32,0.42,0.93,468.25
117,664,-27.30,-2.28,0.55,0.36,1.05,473.67
118,640,-33.52,-2.26,0.49,0.27,0.94,478.93
119,626,-36.56,-2.64,0.36,0.27,1.13,484.06
120,696,-28.99,-2.46,0.85,0.33,0.98,489.54
121,689,-37.90,-2.23,0.74,0.40,1.03,494.89
122,672,-28.33,-2.84,0.53,0.23,1.14,500.31
123,655,-44.90,-2.20,0.91,0.23,0.85,505.15
124,631,-21.56,-2.22,1.27,0.28,1.06,510.34
125,687,-32.23,-1.93,1.54,0.27,0.90,515.35
126,670,-42.67,-2.41,1.34,0.29,1.01,520.28
127,669,-32.12,-2.11,1.06,0.22,1.02,525.36
128,657,-34.48,-1.93,1.17,0.28,0.87,530.24
129,647,-29.61,-2.05,0.77,0.34,1.03,535.58
130,683,-30.18,-1.78,1.35,0.34,0.92,540.65
131,678,-41.09,-1.12,2.58,0.27,0.64,545.10
132,664,-33.73,-2.25,0.30,0.24,1.11,550.24
133,649,-24.91,-0.05,3.99,0.38,0.96,555.22
134,635,-38.05,0.06,4.71,0.31,0.86,559.85
135,677,-26.94,0.01,4.65,0.44,1.05,565.14
136,666,-28.01,0.15,4.06,0.23,0.99,570.26
137,659,-45.11,-1.04,2.94,0.31,0.73,574.75
138,652,-29.37,0.36,3.18,0.38,1.01,579.96
139,645,-38.13,-0.82,3.03,0.25,1.14,585.14
140,691,-31.35,-0.50,2.91,0.33,0.98,589.87
141,672,-38.56,0.25,3.88,0.27,0.75,594.32
142,650,-42.33,-1.53,2.63,0.28,0.84,598.94
143,632,-21.90,-0.53,2.59,0.26,0.94,603.94
144,627,-26.04,0.52,3.87,0.36,0.76,608.78
145,665,-30.00,-1.35,2.63,0.23,0.94,613.96
146,659,-29.15,-0.38,4.90,0.37,0.92,618.74
147,644,-31.95,-1.14,2.65,0.27,0.84,623.34
148,644,-36.38,-0.83,2.39,0.31,1.06,628.51
149,636,-45.60,-0.97,2.60,0.29,0.76,633.01
150,667,-40.56,1.11,5.04,0.26,0.86,637.84
151,640,-41.90,-0.11,3.48,0.26,0.79,642.27
152,634,-42.72,-1.42,2.42,0.24,1.08,647.65
153,626,-23.46,-0.41,2.71,0.36,1.03,652.66
154,620,-36.18,-0.78,3.82,0.33,0.81,657.21
155,687,-24.15,-0.35,2.70,0.31,0.99,662.59
156,681,-31.04,-1.08,2.31,0.33,0.91,667.39
157,674,-22.41,-0.84,2.35,0.34,1.05,672.24
158,672,-22.36,-1.41,1.66,0.28,0.99,677.60
159,671,-36.74,-0.88,1.62,0.40,0.75,682.30
160,713,-30.79,-1.45,2.30,0.33,0.83,687.22
161,694,-33.78,-1.47,1.63,0.27,0.91,692.25
162,680,-32.08,0.09,6.27,0.36,0.71,696.73
163,674,-26.35,-1.14,2.76,0.34,1.02,701.93
164,666,-34.63,-0.52,3.29,0.37,0.92,706.91
165,716,-22.57,-1.57,2.00,0.27,1.03,712.17
166,702,-25.62,-1.45,1.94,0.21,1.08,718.02
167,689,-35.00,-0.86,2.68,0.31,0.72,722.43
168,673,-40.21,-0.06,5.13,0.47,0.73,727.51
169,656,-29.91,-2.07,1.92,0.42,1.08,732.58
170,703,-30.69,-1.62,1.91,0.24,0.86,737.31
171,691,-23.99,0.54,4.68,0.32,0.83,742.08
172,679,-43.50,2.09,6.27,0.26,0.63,746.17
173,671,-24.59,-0.58,3.70,0.31,1.08,751.23
174,665,-40.83,0.31,4.57,0.36,0.80,755.79
175,703,-37.21,-0.99,3.09,0.30,1.03,760.72
176,693,-22.74,-1.68,2.46,0.28,1.08,766.08
177,678,-22.69,-1.98,2.04,0.23,1.07,771.37
178,671,-31.99,-0.20,5.01,0.30,0.80,775.89
179,658,-38.64,-1.81,2.49,0.33,1.00,780.94
180,716,-42.02,-1.57,2.09,0.29,0.98,786.05
181,702,-22.65,-1.57,1.18,0.21,0.96,790.94
182,690,-36.87,-2.04,4.82,0.30,0.93,796.10
183,672,-22.78,-1.73,1.95,0.28,0.89,800.92
184,663,-44.78,-1.35,4.78,0.35,0.94,805.84
185,707,-36.44,-1.57,3.63,0.33,0.87,810.65
186,694,-31.05,-1.45,2.31,0.36,0.81,815.73
187,683,-44.86,-1.53,1.74,0.29,0.81,820.16
188,681,-29.58,-1.94,2.30,0.30,1.08,825.41
189,675,-37.07,-1.24,3.46,0.44,0.83,830.00
190,722,-37.24,-2.02,2.36,0.32,0.88,835.33
191,702,-22.78,-2.13,1.57,0.31,0.92,840.46
192,691,-40.50,-1.69,2.35,0.44,0.75,845.47
193,671,-25.28,-2.51,1.49,0.31,0.96,850.23
194,660,-42.66,-2.16,1.48,0.32,0.81,855.00
195,712,-32.52,-1.48,7.14,0.36,0.86,859.88
196,699,-44.63,1.34,7.24,0.39,0.67,864.36
197,687,-42.23,-0.98,5.98,0.40,0.76,869.31
198,685,-38.87,-1.06,4.38,0.31,0.81,873.98
199,673,-37.13,0.01,5.30,0.30,0.78,878.37
200,702,-40.82,-0.58,4.30,0.43,0.64,882.66
201,687,-39.78,-1.14,4.19,0.42,0.78,887.42
202,666,-42.15,-0.99,3.99,0.30,0.65,891.71
203,653,-36.19,-0.85,3.95,0.34,0.67,895.95
204,642,-29.84,-1.65,2.92,0.32,0.76,900.51
205,692,-39.05,-0.96,3.81,0.29,0.74,904.90
206,681,-44.89,-1.39,3.62,0.31,0.64,909.19
207,676,-38.68,-2.14,3.42,0.25,0.74,913.72
208,671,-37.38,-1.70,3.26,0.38,0.75,918.21
209,665,-32.29,1.01,7.08,0.31,0.65,922.59
210,717,-29.69,-1.32,4.60,0.34,0.82,927.29
211,709,-22.92,-1.21,3.70,0.43,0.74,931.91
212,699,-37.54,-1.55,3.52,0.27,0.80,936.41
213,680,-42.20,-2.64,3.35,0.35,0.81,940.99
214,670,-31.72,-0.75,4.89,0.43,0.76,945.72
215,727,-24.84,-0.66,4.89,0.29,0.78,950.36
216,716,-32.17,-1.46,4.85,0.38,0.85,955.24
217,708,-36.02,-1.29,4.27,0.36,0.69,959.73
218,692,-38.05,-0.99,4.85,0.52,0.81,964.45
219,674,-35.05,-0.85,4.07,0.41,0.66,968.74
220,734,-32.41,-1.54,3.54,0.29,0.81,973.54
221,721,-35.11,-1.44,3.47,0.32,0.86,978.43
222,712,-38.62,-0.90,3.39,0.38,0.72,982.74
223,702,-43.33,-2.08,3.31,0.49,0.67,987.21
224,688,-36.77,-0.92,6.98,0.35,0.60,991.58
225,753,-31.79,0.62,7.30,0.48,0.66,995.78
226,742,-22.94,-0.49,5.97,0.41,0.69,1000.27
227,733,-31.41,-0.49,5.48,0.33,0.67,1004.74
228,725,-29.29,-1.37,4.45,0.43,0.91,1009.55
229,714,-34.27,-0.06,4.68,0.38,0.72,1014.20
230,763,-30.40,-0.43,5.39,0.45,0.88,1019.41
231,761,-23.14,-0.99,4.05,0.40,0.84,1024.75
232,749,-36.47,-0.24,4.83,0.34,0.82,1029.60
233,730,-23.68,0.73,6.96,0.41,0.80,1034.42
