Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1020,0.01,0.03,0.10,0.02,0.06,0.10,0.13,0.22,0.05,0.40
1,1067,0.01,0.04,0.12,0.02,0.07,0.11,0.42,0.20,0.07,1.09
2,1077,0.01,0.05,0.13,0.02,0.08,0.12,0.45,0.20,0.08,1.82
3,1085,0.01,0.06,0.15,0.02,0.10,0.15,0.48,0.21,0.08,2.59
4,1084,0.01,0.06,0.19,0.02,0.10,0.20,0.52,0.22,0.08,3.41
5,1085,0.01,0.07,0.21,0.05,0.11,0.21,0.45,0.25,0.09,4.20
6,1100,0.01,0.08,0.22,0.06,0.13,0.23,0.63,0.26,0.09,5.19
7,1106,0.01,0.09,0.29,0.03,0.14,0.28,0.53,0.30,0.09,6.11
8,1103,0.01,0.10,0.30,0.02,0.15,0.28,0.60,0.29,0.10,7.09
9,1104,0.02,0.11,0.30,0.01,0.16,0.28,0.59,0.30,0.09,8.08
10,1106,0.00,0.11,0.30,0.01,0.18,0.29,0.63,0.28,0.09,9.09
11,1101,0.01,0.13,0.31,0.01,0.19,0.29,0.59,0.30,0.09,10.06
12,1100,0.01,0.13,0.29,0.01,0.19,0.31,0.55,0.30,0.10,11.01
13,1109,0.01,0.14,0.30,0.01,0.20,0.31,0.50,0.31,0.10,11.93
14,1113,0.01,0.14,0.29,0.01,0.20,0.30,0.52,0.31,0.10,12.86
15,1108,0.01,0.14,0.31,0.01,0.20,0.34,0.54,0.31,0.10,13.81
16,1111,0.00,0.14,0.33,0.01,0.21,0.33,0.58,0.34,0.10,14.82
17,1112,0.01,0.15,0.31,0.02,0.22,0.34,0.52,0.34,0.11,15.79
18,1102,0.01,0.16,0.32,0.02,0.22,0.32,0.58,0.35,0.10,16.83
19,1106,0.01,0.17,0.32,0.02,0.23,0.36,0.53,0.37,0.10,17.83
20,1116,0.01,0.17,0.34,0.02,0.23,0.36,0.49,0.38,0.11,18.81
21,1116,0.01,0.17,0.32,0.02,0.25,0.38,0.56,0.38,0.11,19.86
22,1101,0.01,0.18,0.35,0.02,0.26,0.39,0.58,0.38,0.10,20.92
23,1103,0.00,0.18,0.36,0.03,0.25,0.38,0.56,0.39,0.11,21.99
24,1107,0.01,0.19,0.36,0.02,0.27,0.39,0.57,0.42,0.12,23.10
25,1113,0.01,0.20,0.37,0.02,0.28,0.43,0.51,0.42,0.12,24.14
26,1104,0.01,0.21,0.38,0.02,0.26,0.38,0.49,0.42,0.11,25.16
27,1108,0.01,0.21,0.37,0.02,0.28,0.41,0.60,0.43,0.12,26.30
28,1116,0.01,0.20,0.37,0.02,0.29,0.41,0.56,0.44,0.13,27.42
29,1120,0.01,0.21,0.38,0.02,0.28,0.41,0.55,0.44,0.13,28.55
30,1112,0.01,0.22,0.37,0.02,0.29,0.41,0.61,0.47,0.13,29.77
