Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.03,0.09,0.09,0.20,0.30
1,427,0.00,0.04,0.09,0.23,0.15,1.38
2,443,0.01,0.04,0.13,0.22,0.22,2.92
3,446,0.01,0.05,0.12,0.33,0.09,4.40
4,443,0.01,0.05,0.17,0.17,0.20,5.99
5,459,0.01,0.06,0.17,0.35,0.21,7.84
6,453,0.01,0.07,0.17,0.23,0.11,9.32
7,456,0.01,0.08,0.22,0.39,0.17,11.24
8,451,0.01,0.09,0.25,0.28,0.13,12.97
9,456,0.01,0.09,0.28,0.37,0.28,14.92
10,466,0.01,0.10,0.24,0.17,0.19,16.52
11,454,0.01,0.11,0.25,0.31,0.18,18.37
12,452,0.00,0.12,0.28,0.21,0.22,20.19
13,456,0.01,0.12,0.27,0.21,0.22,22.17
14,449,0.01,0.11,0.26,0.37,0.34,24.13
15,471,0.01,0.13,0.33,0.25,0.15,25.95
16,475,0.00,0.14,0.33,0.41,0.15,28.01
17,474,0.01,0.14,0.32,0.19,0.23,29.86
18,471,0.01,0.14,0.33,0.42,0.14,31.99
19,473,0.01,0.14,0.34,0.31,0.16,33.92
20,485,0.01,0.14,0.33,0.34,0.34,35.89
21,471,0.01,0.15,0.33,0.29,0.16,37.83
22,472,0.01,0.15,0.35,0.45,0.14,39.90
23,478,0.01,0.14,0.32,0.33,0.20,41.77
24,473,0.02,0.16,0.36,0.26,0.15,43.68
25,498,0.01,0.16,0.35,0.32,0.19,45.64
26,491,0.01,0.16,0.36,0.23,0.27,47.84
27,487,0.01,0.18,0.37,0.32,0.19,50.04
28,484,0.01,0.19,0.37,0.52,0.17,52.19
29,482,0.01,0.18,0.37,0.30,0.40,54.56
30,517,0.01,0.19,0.39,0.29,0.21,56.47
31,514,0.01,0.18,0.42,0.25,0.16,58.79
32,511,0.01,0.18,0.41,0.51,0.15,61.00
33,510,0.01,0.19,0.40,0.59,0.19,63.53
34,505,0.01,0.19,0.41,0.30,0.34,65.94
35,558,0.01,0.19,0.40,0.34,0.19,68.08
36,551,0.01,0.19,0.40,0.27,0.15,70.55
37,537,0.01,0.20,0.44,0.33,0.41,73.14
38,525,0.01,0.20,0.42,0.37,0.41,75.76
39,521,0.02,0.19,0.41,0.24,0.35,78.23
40,584,0.01,0.18,0.42,0.33,0.19,80.46
41,575,0.01,0.18,0.41,0.32,0.23,83.04
42,568,0.01,0.21,0.44,0.28,0.25,85.64
43,560,0.01,0.21,0.44,0.32,0.19,88.15
44,558,0.01,0.18,0.43,0.35,0.17,90.71
45,616,0.01,0.19,0.45,0.33,0.22,93.12
46,605,0.01,0.19,0.47,0.42,0.38,95.84
47,596,0.01,0.20,0.46,0.29,0.25,98.10
48,584,0.01,0.18,0.45,0.34,0.23,100.44
49,573,0.01,0.19,0.46,0.36,0.22,103.04
50,632,0.01,0.20,0.46,0.40,0.17,105.50
51,626,0.01,0.19,0.46,0.47,0.18,108.14
52,619,0.01,0.20,0.46,0.44,0.16,110.79
53,612,0.01,0.19,0.46,0.35,0.19,113.31
54,607,0.01,0.19,0.46,0.40,0.15,115.82
55,658,0.01,0.21,0.46,0.28,0.17,118.18
56,645,0.01,0.18,0.47,0.40,0.15,120.58
57,630,0.02,0.20,0.46,0.41,0.15,123.06
58,619,0.01,0.18,0.46,0.53,0.14,125.43
59,607,0.01,0.19,0.46,0.47,0.15,127.98
60,687,0.01,0.20,0.46,0.41,0.32,130.58
61,682,0.01,0.22,0.46,0.40,0.15,133.11
62,674,0.01,0.18,0.46,0.58,0.14,135.61
63,664,0.01,0.21,0.47,0.51,0.24,138.32
64,643,0.01,0.17,0.46,0.50,0.37,141.21
65,718,0.01,0.19,0.46,0.44,0.34,143.90
66,705,0.01,0.18,0.46,0.64,0.15,146.71
67,682,0.01,0.19,0.48,0.58,0.15,149.38
68,665,0.01,0.17,0.47,0.51,0.14,151.94
69,628,0.01,0.15,0.46,0.41,0.14,154.57
70,663,0.01,0.14,0.46,0.33,0.13,156.91
71,642,0.01,0.17,0.48,0.53,0.24,159.56
72,617,0.00,0.17,0.48,0.65,0.13,162.43
73,596,0.01,0.19,0.48,0.41,0.14,164.88
74,588,0.01,0.19,0.48,0.39,0.15,167.55
75,658,0.01,0.20,0.47,0.32,0.16,170.10
76,642,0.01,0.20,0.47,0.38,0.20,172.93
77,635,0.01,0.20,0.47,0.40,0.33,175.98
78,621,0.01,0.20,0.47,0.35,0.32,178.42
79,611,0.01,0.20,0.47,0.52,0.25,181.14
80,664,0.01,0.21,0.47,0.58,0.17,183.76
81,649,0.01,0.21,0.47,0.48,0.32,186.56
82,637,0.01,0.20,0.47,0.35,0.31,189.18
83,627,0.01,0.21,0.47,0.60,0.23,191.84
84,616,0.01,0.20,0.47,0.55,0.26,194.60
85,655,0.01,0.20,0.47,0.41,0.30,197.12
86,638,0.01,0.21,0.47,0.49,0.15,199.74
87,610,0.01,0.19,0.47,0.31,0.13,202.24
88,595,0.01,0.20,0.48,0.32,0.14,204.72
89,593,0.01,0.23,0.47,0.51,0.28,207.43
90,653,0.01,0.24,0.47,0.40,0.16,209.83
91,653,0.01,0.23,0.47,0.32,0.27,212.53
92,638,0.01,0.23,0.48,0.38,0.23,215.18
93,622,0.01,0.22,0.47,0.32,0.31,217.59
94,611,0.01,0.20,0.48,0.41,0.23,220.10
95,658,0.01,0.19,0.47,0.33,0.21,222.50
96,646,0.01,0.23,0.47,0.40,0.18,225.46
97,638,0.01,0.22,0.47,0.51,0.28,228.32
98,624,0.01,0.22,0.50,0.44,0.14,230.92
99,618,0.01,0.20,0.49,0.53,0.21,233.62
100,704,0.01,0.23,0.48,0.50,0.31,236.27
101,687,0.01,0.21,0.48,0.55,0.29,239.21
102,674,0.01,0.22,0.49,0.38,0.20,241.85
103,665,0.01,0.20,0.48,0.44,0.19,244.67
104,659,0.01,0.22,0.47,0.42,0.17,247.34
105,716,0.01,0.22,0.48,0.44,0.23,250.05
106,695,0.01,0.19,0.48,0.40,0.32,252.85
107,670,0.01,0.18,0.47,0.53,0.36,255.39
108,652,0.01,0.19,0.47,0.57,0.14,258.19
109,636,0.00,0.20,0.48,0.36,0.20,260.85
110,697,0.01,0.20,0.47,0.37,0.24,263.50
111,688,0.02,0.22,0.47,0.40,0.22,266.41
112,673,0.01,0.20,0.47,0.61,0.15,269.33
113,652,0.01,0.22,0.47,0.59,0.14,272.05
114,639,0.01,0.22,0.51,0.40,0.30,274.49
115,698,0.01,0.21,0.50,0.42,0.17,276.83
116,690,0.01,0.19,0.48,0.41,0.18,279.71
117,674,0.01,0.21,0.48,0.57,0.33,282.54
118,668,0.01,0.22,0.48,0.58,0.16,285.44
119,654,0.01,0.20,0.48,0.41,0.34,288.33
120,712,0.01,0.19,0.48,0.36,0.33,290.81
121,697,0.01,0.21,0.48,0.48,0.30,293.53
122,685,0.01,0.20,0.48,0.54,0.23,296.37
123,671,0.01,0.22,0.48,0.35,0.15,298.98
124,647,0.01,0.18,0.48,0.42,0.18,301.88
125,714,0.01,0.19,0.48,0.30,0.24,304.66
126,694,0.01,0.21,0.48,0.43,0.33,307.53
127,676,0.01,0.19,0.49,0.50,0.14,310.32
128,661,0.00,0.19,0.48,0.43,0.15,312.74
129,634,0.01,0.19,0.48,0.37,0.20,315.59
130,708,0.01,0.19,0.48,0.38,0.25,318.31
131,697,0.01,0.21,0.48,0.55,0.31,321.32
132,676,0.01,0.21,0.48,0.36,0.25,324.09
133,656,0.01,0.20,0.48,0.41,0.20,326.81
134,629,0.01,0.19,0.48,0.39,0.28,329.52
135,701,0.01,0.18,0.48,0.44,0.26,332.40
136,691,0.01,0.21,0.48,0.59,0.16,335.43
137,682,0.01,0.23,0.48,0.43,0.23,338.31
138,666,0.01,0.23,0.48,0.53,0.39,341.32
139,652,0.01,0.20,0.48,0.40,0.17,343.92
140,719,0.01,0.21,0.48,0.37,0.22,346.64
141,699,0.01,0.21,0.48,0.58,0.14,349.45
142,683,0.01,0.22,0.49,0.50,0.29,352.46
143,672,0.01,0.21,0.53,0.38,0.17,355.17
144,654,0.01,0.22,0.51,0.45,0.17,358.01
145,720,0.01,0.20,0.50,0.32,0.28,360.80
146,700,0.01,0.19,0.50,0.53,0.28,363.83
147,684,0.01,0.20,0.50,0.37,0.14,366.68
148,667,0.01,0.20,0.50,0.41,0.16,369.43
149,646,0.01,0.19,0.50,0.41,0.16,372.16
150,732,0.01,0.21,0.50,0.35,0.31,374.95
151,712,0.02,0.21,0.51,0.56,0.14,377.89
152,675,0.01,0.16,0.50,0.37,0.20,380.77
153,650,0.01,0.20,0.50,0.36,0.24,383.81
154,640,0.01,0.21,0.51,0.34,0.20,386.85
155,706,0.01,0.20,0.50,0.49,0.27,389.56
156,681,0.01,0.21,0.50,0.50,0.15,392.58
157,668,0.01,0.21,0.50,0.39,0.20,395.42
158,655,0.01,0.20,0.50,0.47,0.34,398.56
159,644,0.01,0.22,0.50,0.45,0.31,401.30
160,713,0.01,0.22,0.50,0.46,0.31,404.21
161,700,0.01,0.22,0.50,0.43,0.16,407.02
162,685,0.01,0.24,0.50,0.53,0.32,410.12
163,672,0.01,0.22,0.50,0.32,0.17,412.64
164,653,0.01,0.19,0.50,0.37,0.24,415.57
165,713,0.01,0.22,0.51,0.35,0.24,418.29
166,676,0.01,0.19,0.50,0.34,0.24,421.07
167,648,0.01,0.19,0.49,0.39,0.20,424.15
168,636,0.01,0.21,0.49,0.44,0.19,426.72
169,626,0.01,0.22,0.51,0.48,0.15,429.70
170,681,0.01,0.21,0.51,0.28,0.33,432.70
171,669,0.01,0.20,0.50,0.48,0.16,435.74
172,654,0.01,0.21,0.49,0.38,0.28,438.56
173,632,0.01,0.20,0.49,0.41,0.23,441.47
174,614,0.01,0.22,0.49,0.35,0.15,444.16
175,677,0.01,0.23,0.50,0.42,0.18,446.71
176,659,0.01,0.22,0.50,0.47,0.36,449.89
177,648,0.01,0.24,0.50,0.34,0.17,452.42
178,631,0.01,0.20,0.49,0.41,0.17,455.40
179,613,0.01,0.24,0.52,0.50,0.24,458.19
180,674,0.01,0.22,0.50,0.41,0.16,460.92
181,648,0.01,0.21,0.50,0.32,0.26,463.68
182,633,0.01,0.24,0.50,0.52,0.40,466.85
183,621,0.02,0.23,0.50,0.39,0.18,469.74
184,602,0.01,0.25,0.53,0.39,0.17,472.41
185,687,0.01,0.20,0.50,0.42,0.30,475.50
186,674,0.01,0.20,0.49,0.41,0.38,478.33
187,659,0.01,0.21,0.49,0.33,0.33,481.01
188,638,0.01,0.22,0.49,0.40,0.21,483.74
189,618,0.01,0.21,0.49,0.37,0.17,486.52
190,693,0.01,0.22,0.51,0.41,0.15,489.15
191,676,0.01,0.23,0.50,0.46,0.39,492.15
192,660,0.02,0.22,0.50,0.34,0.26,494.81
193,645,0.01,0.21,0.49,0.33,0.30,497.75
194,627,0.01,0.20,0.49,0.40,0.35,500.32
195,708,0.01,0.23,0.49,0.54,0.16,503.01
196,693,0.01,0.22,0.51,0.43,0.32,505.97
197,673,0.01,0.21,0.50,0.39,0.33,508.93
198,652,0.01,0.21,0.49,0.44,0.34,511.88
199,641,0.01,0.21,0.49,0.58,0.15,514.77
200,713,0.01,0.20,0.49,0.37,0.19,517.46
201,677,0.01,0.21,0.49,0.47,0.15,520.46
202,659,0.01,0.24,0.52,0.47,0.29,523.36
203,640,0.01,0.23,0.53,0.47,0.16,526.21
204,616,0.01,0.21,0.52,0.53,0.28,529.07
205,717,0.01,0.19,0.51,0.53,0.16,531.96
206,697,0.01,0.22,0.51,0.43,0.39,535.11
207,673,0.00,0.22,0.52,0.39,0.28,538.36
208,651,0.01,0.20,0.51,0.35,0.35,541.22
209,642,0.01,0.23,0.50,0.32,0.25,544.12
210,714,0.01,0.21,0.51,0.49,0.33,547.06
211,702,0.01,0.23,0.51,0.42,0.18,549.96
212,684,0.02,0.23,0.53,0.37,0.22,553.01
213,664,0.01,0.20,0.51,0.48,0.16,556.06
214,644,0.01,0.23,0.51,0.49,0.44,559.29
215,740,0.01,0.21,0.51,0.56,0.16,562.05
216,717,0.01,0.21,0.51,0.42,0.21,565.12
217,698,0.01,0.23,0.52,0.69,0.19,568.15
218,679,0.01,0.21,0.50,0.37,0.19,570.90
219,657,0.02,0.21,0.50,0.51,0.17,573.68
220,745,0.01,0.19,0.50,0.37,0.31,576.63
221,718,0.01,0.19,0.50,0.37,0.24,579.70
222,699,0.01,0.20,0.51,0.39,0.20,582.74
223,689,0.01,0.20,0.51,0.53,0.27,585.94
224,672,0.01,0.22,0.51,0.40,0.36,588.81
225,793,0.01,0.23,0.52,0.37,0.26,591.77
226,773,0.01,0.23,0.55,0.61,0.43,595.27
227,760,0.01,0.21,0.54,0.57,0.26,598.56
228,744,0.01,0.21,0.52,0.48,0.45,601.92
229,727,0.01,0.19,0.52,0.42,0.31,604.80
230,854,0.01,0.24,0.53,0.52,0.17,607.95
231,831,0.01,0.19,0.52,0.44,0.16,611.08
232,816,0.01,0.24,0.55,0.56,0.33,614.74
233,801,0.01,0.21,0.53,0.62,0.37,618.04
234,786,0.01,0.20,0.52,0.62,0.21,621.30
235,905,0.01,0.24,0.52,0.71,0.21,624.63
236,884,0.01,0.19,0.52,0.49,0.20,627.87
237,866,0.01,0.21,0.52,0.52,0.32,631.58
238,836,0.00,0.20,0.58,0.59,0.29,634.90
239,803,0.01,0.18,0.54,0.42,0.33,638.33
240,877,0.00,0.19,0.54,0.42,0.25,641.46
241,854,0.01,0.21,0.54,0.65,0.31,644.91
242,813,0.01,0.19,0.54,0.48,0.35,648.46
243,786,0.01,0.18,0.54,0.58,0.20,651.56
244,770,0.01,0.22,0.54,0.51,0.27,654.80
245,859,0.01,0.20,0.54,0.46,0.16,657.82
246,829,0.01,0.20,0.54,0.44,0.25,661.00
247,789,0.01,0.17,0.54,0.54,0.31,664.43
248,771,0.01,0.22,0.54,0.55,0.37,667.85
249,757,0.01,0.20,0.54,0.54,0.15,670.72
250,846,0.01,0.23,0.54,0.49,0.15,673.78
251,832,0.01,0.21,0.54,0.49,0.19,677.05
