Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.03,0.09,0.03,0.07,1.00
1,441,0.00,0.04,0.14,0.14,0.09,2.45
2,438,0.01,0.05,0.14,0.17,0.19,3.97
3,443,0.00,0.06,0.16,0.47,0.09,5.61
4,441,0.00,0.06,0.17,0.29,0.11,7.25
5,452,0.00,0.07,0.18,0.22,0.09,8.97
6,452,0.02,0.08,0.21,0.30,0.15,10.67
7,454,0.01,0.09,0.23,0.37,0.10,12.55
8,460,0.01,0.09,0.25,0.23,0.11,14.25
9,457,0.01,0.10,0.24,0.40,0.13,16.15
10,463,0.01,0.10,0.24,0.17,0.22,17.85
11,465,0.01,0.11,0.26,0.24,0.12,19.72
12,468,0.01,0.12,0.26,0.40,0.12,21.73
13,458,0.01,0.13,0.26,0.17,0.12,23.41
14,462,0.02,0.11,0.29,0.45,0.12,25.53
15,472,0.01,0.13,0.32,0.17,0.19,27.42
16,468,0.01,0.15,0.32,0.46,0.15,29.42
17,467,0.01,0.16,0.33,0.19,0.26,31.40
18,463,0.02,0.18,0.38,0.31,0.14,33.43
19,464,0.01,0.17,0.35,0.22,0.18,35.19
20,485,0.01,0.17,0.34,0.32,0.15,37.36
21,479,0.01,0.16,0.33,0.31,0.21,39.29
22,472,0.01,0.17,0.35,0.13,0.14,41.21
23,474,0.02,0.17,0.36,0.22,0.32,43.25
24,469,0.01,0.18,0.38,0.17,0.15,45.10
25,488,0.01,0.17,0.36,0.33,0.35,47.31
26,482,0.02,0.17,0.36,0.20,0.30,49.48
27,478,0.02,0.19,0.39,0.17,0.23,51.46
28,480,0.01,0.19,0.39,0.21,0.25,53.83
29,478,0.01,0.19,0.38,0.33,0.22,55.94
30,518,0.01,0.21,0.40,0.25,0.33,58.31
31,505,0.02,0.20,0.40,0.28,0.19,60.30
32,503,0.02,0.21,0.41,0.19,0.28,62.72
33,500,0.01,0.20,0.39,0.20,0.25,65.27
34,493,0.01,0.21,0.42,0.43,0.15,67.51
35,543,0.01,0.20,0.42,0.29,0.32,70.09
36,538,0.01,0.20,0.44,0.29,0.22,72.36
37,523,0.01,0.18,0.45,0.28,0.20,74.95
38,513,0.01,0.19,0.43,0.26,0.27,77.60
39,511,0.02,0.20,0.42,0.39,0.15,79.90
40,565,0.01,0.21,0.43,0.47,0.15,82.45
41,566,0.01,0.21,0.43,0.37,0.37,85.08
42,551,0.01,0.22,0.45,0.41,0.32,87.60
43,532,0.01,0.21,0.45,0.51,0.17,90.16
44,516,0.01,0.18,0.45,0.38,0.14,92.53
