Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.06,0.26,0.54
1,440,-43.71,-10.06,-6.37,0.36,0.18,2.18
2,451,-33.51,-8.26,-5.92,0.38,0.19,4.45
3,454,-42.50,-9.17,-5.51,0.36,0.31,6.94
4,457,-34.72,-8.15,-5.75,0.41,0.30,9.46
5,462,-40.02,-8.27,-5.55,0.40,0.21,12.06
6,459,-35.23,-7.65,-0.75,0.38,0.29,14.65
7,463,-52.24,-7.74,-3.28,0.42,0.26,17.47
8,463,-34.47,-7.33,-4.29,0.31,0.38,20.36
9,459,-27.02,-7.63,-4.91,0.34,0.37,23.17
10,466,-39.40,-6.87,-4.34,0.36,0.36,26.16
11,470,-30.00,-7.76,-5.06,0.43,0.41,29.23
12,469,-28.95,-7.13,-5.20,0.46,0.26,32.36
13,466,-22.56,-7.05,-5.06,0.44,0.26,35.57
14,470,-38.62,-7.98,-4.32,0.44,0.30,38.63
15,464,-32.45,-7.39,-4.18,0.32,0.31,41.44
16,462,-21.70,-6.77,-4.25,0.37,0.43,44.41
17,470,-28.93,-6.56,-3.74,0.51,0.29,47.61
18,468,-30.62,-7.16,-3.66,0.56,0.30,51.29
19,472,-43.46,-7.00,-3.10,0.37,0.43,54.76
20,463,-35.26,-7.06,-3.53,0.40,0.34,57.88
21,460,-31.22,-6.84,-4.11,0.27,0.45,60.96
22,472,-28.30,-6.83,-4.18,0.51,0.36,64.22
23,462,-23.19,-6.65,-3.93,0.46,0.37,67.61
24,472,-22.36,-6.80,-4.17,0.32,0.44,70.89
25,468,-39.32,-6.79,-4.20,0.52,0.38,74.22
26,474,-25.35,-6.50,-4.23,0.43,0.40,77.68
27,482,-21.81,-6.24,-4.22,0.33,0.48,81.09
28,478,-38.89,-7.09,-2.99,0.40,0.41,84.46
29,482,-24.48,-6.57,-4.22,0.47,0.37,87.92
30,482,-24.02,-5.96,-3.73,0.28,0.47,91.41
31,476,-29.34,-6.10,-4.38,0.49,0.36,94.93
32,481,-33.61,-6.19,-3.14,0.34,0.48,98.58
33,484,-22.87,-6.02,-3.95,0.54,0.42,102.23
34,484,-35.97,-6.09,-3.79,0.25,0.57,105.80
35,486,-22.03,-5.49,-2.06,0.56,0.59,109.73
36,479,-37.00,-6.01,-3.75,0.20,0.52,113.14
37,481,-30.34,-6.09,-3.77,0.55,0.59,116.99
38,481,-29.72,-5.61,-3.82,0.38,0.55,120.79
39,478,-23.56,-5.90,-2.79,0.31,0.53,124.40
40,479,-25.13,-5.37,-2.97,0.50,0.55,128.48
41,481,-23.04,-5.23,-3.10,0.36,0.66,132.33
42,484,-44.01,-5.50,-0.97,0.30,0.66,136.44
43,489,-29.53,-5.86,-2.47,0.31,0.64,140.44
44,484,-31.89,-5.78,-2.45,0.32,0.72,144.37
45,484,-41.16,-4.94,-1.88,0.22,0.72,148.26
46,478,-24.69,-5.55,-1.79,0.28,0.62,152.28
47,481,-28.76,-5.04,-2.91,0.29,0.78,156.17
48,484,-37.95,-5.65,-2.84,0.37,0.69,160.24
49,482,-34.64,-4.88,-2.11,0.35,0.65,164.30
50,512,-29.24,-5.21,0.83,0.30,0.77,168.32
51,506,-23.30,-5.03,-1.42,0.23,0.74,172.21
52,508,-32.55,-4.83,-1.02,0.34,0.68,176.46
53,501,-39.86,-4.99,-1.77,0.22,0.79,180.45
