Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.09,0.31,0.41
1,440,-43.71,-10.06,-6.37,0.25,0.29,2.08
2,451,-33.51,-8.26,-5.92,0.30,0.30,4.92
3,454,-42.50,-9.17,-5.51,0.31,0.28,8.01
4,457,-34.72,-8.15,-5.75,0.37,0.22,11.14
5,462,-40.02,-8.27,-5.55,0.27,0.27,14.32
6,459,-35.23,-7.65,-0.75,0.35,0.30,17.78
7,463,-52.24,-7.74,-3.28,0.36,0.35,21.08
8,463,-34.47,-7.33,-4.29,0.34,0.31,24.50
9,459,-27.02,-7.63,-4.91,0.34,0.33,27.87
10,466,-27.52,-6.55,2.35,0.51,0.22,31.63
11,475,-30.31,-7.64,-2.44,0.37,0.33,35.56
12,467,-18.00,-6.90,-2.43,0.36,0.31,39.56
13,466,-23.01,-7.14,-3.63,0.49,0.23,43.25
14,471,-41.80,-7.84,-4.00,0.49,0.26,47.27
15,471,-26.96,-7.23,-4.23,0.36,0.33,50.92
16,464,-28.98,-6.90,-3.43,0.43,0.34,54.76
17,472,-31.15,-6.67,-1.08,0.35,0.35,58.68
18,470,-37.82,-7.30,-3.07,0.33,0.41,62.44
19,479,-43.53,-7.18,-2.89,0.53,0.35,66.86
20,475,-27.51,-7.03,-3.79,0.32,0.39,70.73
21,471,-27.58,-6.88,-3.99,0.41,0.28,74.79
22,471,-27.48,-6.92,-4.33,0.52,0.37,79.10
23,461,-36.78,-6.97,-4.51,0.48,0.31,83.42
24,470,-28.25,-7.13,-4.70,0.34,0.35,87.35
25,478,-23.53,-6.74,-1.79,0.34,0.39,91.82
26,484,-33.72,-6.72,-3.35,0.37,0.46,96.39
27,486,-40.38,-6.48,-2.98,0.46,0.41,100.81
28,488,-23.49,-6.94,-2.44,0.37,0.37,105.28
29,490,-22.13,-6.40,-0.89,0.47,0.38,109.60
30,515,-36.98,-6.17,-2.86,0.38,0.51,114.31
31,512,-32.33,-6.34,-3.15,0.49,0.42,119.16
32,508,-34.88,-5.73,1.93,0.45,0.40,123.75
33,502,-22.30,-5.42,1.81,0.30,0.56,128.76
34,509,-40.84,-5.48,0.42,0.37,0.49,133.49
35,522,-31.26,-5.01,0.24,0.45,0.44,138.52
36,518,-36.82,-5.01,0.11,0.29,0.60,143.54
37,517,-41.30,-4.42,0.90,0.56,0.42,148.67
38,507,-22.91,-5.02,-0.24,0.42,0.50,153.40
39,502,-33.49,-3.16,2.30,0.45,0.49,158.32
40,519,-42.40,-2.16,2.34,0.39,0.46,163.12
41,506,-25.10,-4.18,-0.14,0.36,0.54,168.00
42,508,-40.06,-4.70,1.74,0.30,0.60,172.99
43,514,-41.76,-4.50,0.77,0.32,0.61,178.18
44,508,-23.71,-3.73,0.68,0.46,0.55,183.25
45,516,-34.99,-4.97,1.20,0.37,0.52,188.10
46,516,-34.26,-4.29,0.01,0.43,0.53,193.29
47,511,-27.63,-3.51,-0.09,0.35,0.53,198.45
48,510,-27.18,-4.55,-0.29,0.40,0.55,203.60
49,510,-22.82,-3.27,2.18,0.50,0.55,209.12
50,523,-23.01,-2.37,1.98,0.39,0.54,214.60
51,506,-32.32,-4.92,0.42,0.47,0.67,220.09
52,502,-22.82,-3.00,1.12,0.52,0.51,225.83
53,506,-23.00,-3.92,0.28,0.46,0.53,231.45
54,507,-29.74,-3.51,1.30,0.36,0.68,236.90
55,515,-39.94,-4.54,-0.21,0.35,0.69,242.36
56,508,-35.99,-4.81,-0.62,0.34,0.64,248.19
57,508,-42.29,-4.08,-0.39,0.46,0.60,253.94
58,518,-30.81,-4.13,-0.55,0.45,0.58,260.00
59,513,-32.50,-3.65,-0.62,0.39,0.58,265.70
