Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.02,0.09,0.02,0.09,0.37
1,436,0.01,0.04,0.11,0.22,0.19,1.10
2,438,0.01,0.04,0.12,0.20,0.10,1.75
3,440,0.01,0.05,0.11,0.29,0.09,2.61
4,442,0.01,0.05,0.13,0.16,0.15,3.30
5,452,0.01,0.06,0.14,0.21,0.10,3.97
6,454,0.01,0.06,0.15,0.19,0.09,4.73
7,451,0.01,0.07,0.19,0.32,0.27,5.67
8,455,0.01,0.07,0.20,0.31,0.10,6.34
9,460,0.01,0.08,0.24,0.16,0.22,7.16
10,455,0.01,0.09,0.24,0.24,0.11,7.99
11,459,0.01,0.10,0.24,0.43,0.14,8.99
12,462,0.01,0.11,0.24,0.40,0.12,9.91
13,455,0.01,0.10,0.24,0.12,0.16,10.58
14,456,0.01,0.12,0.26,0.20,0.14,11.40
15,456,0.02,0.12,0.27,0.19,0.13,12.34
16,460,0.01,0.13,0.30,0.18,0.31,13.34
17,460,0.01,0.13,0.29,0.27,0.33,14.39
18,459,0.01,0.14,0.27,0.40,0.33,15.55
19,461,0.02,0.14,0.32,0.29,0.23,16.49
20,465,0.01,0.15,0.32,0.32,0.26,17.54
21,463,0.01,0.16,0.31,0.37,0.32,18.69
22,468,0.01,0.15,0.30,0.27,0.24,19.68
23,469,0.01,0.17,0.33,0.22,0.33,20.71
24,469,0.02,0.17,0.34,0.18,0.32,21.63
25,478,0.01,0.18,0.34,0.32,0.15,22.59
26,475,0.01,0.16,0.33,0.32,0.32,23.80
27,478,0.02,0.16,0.32,0.23,0.33,24.82
28,471,0.02,0.18,0.34,0.33,0.15,25.80
29,471,0.01,0.17,0.34,0.23,0.20,26.76
30,483,0.01,0.18,0.34,0.31,0.23,27.86
31,478,0.01,0.19,0.35,0.29,0.19,28.95
32,475,0.02,0.18,0.34,0.28,0.24,30.00
33,474,0.02,0.18,0.35,0.21,0.19,31.05
34,477,0.02,0.20,0.37,0.22,0.22,32.19
35,486,0.02,0.20,0.38,0.24,0.18,33.21
36,489,0.02,0.22,0.39,0.26,0.24,34.31
37,484,0.02,0.21,0.37,0.31,0.33,35.62
38,485,0.02,0.20,0.41,0.19,0.27,36.57
39,486,0.02,0.21,0.42,0.29,0.17,37.54
40,496,0.01,0.22,0.40,0.21,0.24,38.70
41,505,0.01,0.21,0.39,0.40,0.18,39.70
42,498,0.02,0.22,0.39,0.44,0.17,40.73
43,490,0.01,0.21,0.40,0.43,0.17,41.91
44,479,0.01,0.21,0.40,0.37,0.17,42.92
45,504,0.01,0.23,0.40,0.40,0.17,44.04
46,497,0.01,0.22,0.39,0.48,0.19,45.29
47,492,0.01,0.20,0.40,0.40,0.17,46.37
48,494,0.01,0.21,0.40,0.36,0.35,47.62
49,496,0.01,0.23,0.42,0.45,0.31,48.90
50,502,0.01,0.21,0.42,0.25,0.36,50.11
51,498,0.01,0.20,0.41,0.38,0.28,51.34
52,493,0.01,0.20,0.41,0.48,0.17,52.61
53,489,0.02,0.22,0.41,0.33,0.17,53.60
54,489,0.01,0.24,0.41,0.38,0.18,54.77
55,521,0.01,0.23,0.41,0.41,0.19,56.01
56,514,0.01,0.22,0.41,0.26,0.24,57.13
57,510,0.02,0.22,0.41,0.39,0.17,58.20
58,506,0.01,0.22,0.43,0.35,0.18,59.46
59,505,0.02,0.23,0.44,0.24,0.33,60.81
60,529,0.01,0.21,0.44,0.20,0.28,62.03
61,519,0.02,0.21,0.43,0.35,0.19,63.40
62,524,0.01,0.21,0.45,0.30,0.26,64.63
63,527,0.02,0.21,0.42,0.34,0.39,66.14
64,522,0.01,0.22,0.44,0.26,0.32,67.31
65,558,0.01,0.22,0.43,0.39,0.37,68.61
66,555,0.01,0.20,0.42,0.50,0.20,69.93
67,555,0.01,0.21,0.44,0.42,0.19,71.08
68,550,0.01,0.21,0.44,0.33,0.25,72.44
69,550,0.02,0.19,0.43,0.33,0.23,73.88
70,577,0.01,0.20,0.43,0.32,0.42,75.38
71,573,0.02,0.21,0.44,0.31,0.44,76.70
72,567,0.01,0.23,0.47,0.42,0.26,78.00
73,564,0.01,0.22,0.45,0.53,0.24,79.38
74,563,0.01,0.24,0.47,0.50,0.21,80.72
75,589,0.01,0.23,0.44,0.27,0.24,81.88
76,588,0.02,0.22,0.45,0.32,0.25,83.37
77,585,0.01,0.21,0.45,0.37,0.24,84.79
78,583,0.02,0.21,0.44,0.39,0.43,86.27
79,577,0.01,0.20,0.44,0.46,0.39,87.69
80,606,0.01,0.24,0.46,0.46,0.23,89.01
81,600,0.01,0.23,0.45,0.43,0.21,90.36
82,599,0.01,0.21,0.44,0.45,0.20,91.64
