Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.00,0.03,0.09,0.03,0.28,0.32
1,429,0.00,0.04,0.12,0.39,0.19,1.19
2,440,0.01,0.04,0.12,0.22,0.08,1.70
3,438,0.01,0.05,0.14,0.22,0.08,2.55
4,440,0.01,0.06,0.14,0.13,0.08,3.15
5,442,0.01,0.06,0.20,0.35,0.10,4.13
6,447,0.01,0.07,0.17,0.21,0.17,4.82
7,449,0.01,0.07,0.18,0.18,0.18,5.75
8,444,0.01,0.08,0.20,0.45,0.13,6.74
9,451,0.01,0.10,0.25,0.20,0.17,7.40
10,458,0.01,0.10,0.24,0.14,0.19,8.33
11,452,0.01,0.12,0.26,0.28,0.26,9.19
12,452,0.01,0.12,0.30,0.19,0.19,10.09
13,446,0.01,0.14,0.31,0.36,0.14,11.04
14,445,0.02,0.13,0.30,0.24,0.29,11.96
15,454,0.01,0.14,0.29,0.13,0.18,12.81
16,452,0.01,0.16,0.32,0.29,0.16,13.76
17,460,0.01,0.14,0.29,0.21,0.31,14.67
18,459,0.01,0.15,0.30,0.15,0.13,15.50
19,462,0.01,0.15,0.30,0.30,0.32,16.48
20,466,0.02,0.15,0.34,0.20,0.25,17.24
21,466,0.02,0.15,0.34,0.13,0.12,18.17
22,457,0.02,0.16,0.34,0.37,0.29,19.26
23,461,0.02,0.15,0.33,0.21,0.26,20.12
24,462,0.01,0.15,0.33,0.13,0.20,21.06
25,465,0.02,0.16,0.34,0.39,0.12,22.13
26,464,0.02,0.16,0.33,0.40,0.37,23.30
27,469,0.01,0.16,0.33,0.24,0.14,24.10
28,465,0.02,0.16,0.34,0.38,0.13,25.15
29,467,0.01,0.17,0.35,0.20,0.32,26.16
30,483,0.01,0.18,0.35,0.25,0.24,27.25
31,477,0.02,0.20,0.42,0.40,0.14,28.33
32,477,0.01,0.16,0.39,0.36,0.40,29.51
33,480,0.01,0.18,0.38,0.23,0.17,30.30
34,478,0.01,0.19,0.41,0.15,0.25,31.48
35,476,0.01,0.18,0.38,0.45,0.26,32.72
36,470,0.02,0.18,0.38,0.22,0.15,33.42
37,469,0.01,0.17,0.38,0.17,0.24,34.63
38,469,0.02,0.18,0.39,0.43,0.19,35.81
39,470,0.02,0.20,0.41,0.38,0.41,37.03
40,481,0.02,0.19,0.39,0.31,0.38,38.12
41,482,0.01,0.18,0.39,0.26,0.16,39.08
42,469,0.01,0.20,0.40,0.38,0.17,40.17
43,474,0.01,0.19,0.39,0.40,0.41,41.45
44,473,0.01,0.20,0.42,0.20,0.39,42.47
45,477,0.02,0.19,0.40,0.24,0.25,43.51
46,479,0.01,0.21,0.40,0.28,0.17,44.74
47,480,0.01,0.22,0.42,0.44,0.39,45.99
48,471,0.01,0.20,0.39,0.28,0.37,46.99
49,467,0.01,0.19,0.38,0.20,0.28,48.17
50,475,0.01,0.21,0.45,0.42,0.17,49.34
51,474,0.01,0.20,0.42,0.39,0.46,50.63
52,475,0.01,0.20,0.41,0.24,0.23,51.47
53,471,0.01,0.21,0.42,0.18,0.27,52.67
54,469,0.01,0.20,0.40,0.45,0.17,53.84
55,479,0.01,0.23,0.41,0.40,0.43,55.20
56,476,0.01,0.23,0.42,0.24,0.49,56.39
57,468,0.02,0.22,0.42,0.25,0.22,57.31
58,469,0.01,0.20,0.40,0.21,0.29,58.54
59,474,0.01,0.22,0.43,0.32,0.29,59.65
60,487,0.02,0.22,0.41,0.33,0.48,60.88
61,480,0.01,0.22,0.42,0.30,0.21,61.79
62,479,0.01,0.23,0.42,0.17,0.22,62.95
63,476,0.01,0.25,0.45,0.42,0.36,64.14
64,471,0.01,0.23,0.43,0.31,0.50,65.37
65,480,0.01,0.23,0.46,0.21,0.46,66.42
66,478,0.01,0.23,0.43,0.20,0.29,67.43
67,475,0.01,0.24,0.46,0.27,0.19,68.65
68,473,0.01,0.24,0.44,0.33,0.59,69.98
69,471,0.01,0.22,0.43,0.17,0.32,70.83
70,483,0.01,0.23,0.44,0.16,0.30,72.00
71,480,0.01,0.22,0.42,0.33,0.32,73.19
72,481,0.01,0.25,0.49,0.30,0.47,74.43
73,475,0.02,0.23,0.43,0.22,0.29,75.33
74,471,0.01,0.25,0.46,0.18,0.22,76.46
75,474,0.02,0.23,0.44,0.23,0.48,77.50
76,471,0.02,0.22,0.44,0.23,0.24,78.33
77,471,0.01,0.21,0.44,0.25,0.18,79.45
78,473,0.01,0.22,0.44,0.39,0.45,80.76
79,467,0.02,0.24,0.43,0.26,0.42,81.78
80,478,0.01,0.25,0.43,0.30,0.21,82.81
81,475,0.01,0.23,0.43,0.21,0.21,83.95
82,469,0.01,0.23,0.43,0.45,0.30,85.17
83,471,0.01,0.25,0.44,0.32,0.46,86.38
84,472,0.01,0.24,0.44,0.23,0.27,87.30
85,476,0.02,0.25,0.44,0.16,0.25,88.45
86,474,0.02,0.23,0.43,0.43,0.19,89.70
87,475,0.01,0.22,0.43,0.39,0.46,91.00
88,476,0.01,0.25,0.45,0.29,0.55,92.32
89,469,0.02,0.21,0.44,0.27,0.21,93.24
90,482,0.01,0.21,0.44,0.18,0.29,94.55
91,478,0.01,0.20,0.43,0.17,0.21,95.80
92,479,0.02,0.24,0.45,0.39,0.26,97.04
93,474,0.01,0.22,0.44,0.36,0.49,98.34
