Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.03,0.10,0.02,0.07,0.43
1,428,0.01,0.04,0.11,0.13,0.08,1.40
2,439,0.01,0.05,0.13,0.14,0.09,2.54
3,439,0.01,0.05,0.16,0.13,0.09,3.78
4,450,0.01,0.06,0.18,0.16,0.09,4.98
5,448,0.01,0.07,0.21,0.11,0.09,6.14
6,458,0.01,0.07,0.18,0.15,0.10,7.37
7,448,0.01,0.09,0.21,0.15,0.11,8.68
8,444,0.01,0.10,0.23,0.15,0.11,9.94
9,451,0.01,0.10,0.25,0.14,0.11,11.19
10,455,0.01,0.12,0.26,0.15,0.12,12.55
11,455,0.01,0.11,0.26,0.19,0.12,13.99
12,454,0.01,0.12,0.27,0.13,0.12,15.46
13,450,0.01,0.11,0.26,0.17,0.12,16.97
14,452,0.01,0.12,0.26,0.12,0.11,18.47
15,458,0.02,0.13,0.28,0.14,0.12,19.97
16,459,0.01,0.13,0.28,0.15,0.12,21.45
17,464,0.01,0.14,0.29,0.17,0.12,23.03
18,456,0.02,0.16,0.30,0.14,0.13,24.48
19,453,0.01,0.16,0.30,0.14,0.13,26.12
20,463,0.02,0.17,0.31,0.16,0.14,27.73
21,465,0.01,0.16,0.30,0.11,0.15,29.27
22,458,0.01,0.18,0.31,0.17,0.14,30.85
23,454,0.01,0.16,0.30,0.15,0.14,32.37
24,455,0.01,0.16,0.31,0.17,0.14,33.95
25,463,0.02,0.18,0.35,0.17,0.14,35.58
26,460,0.02,0.18,0.34,0.15,0.14,37.18
27,457,0.02,0.18,0.36,0.16,0.14,38.80
28,453,0.02,0.20,0.36,0.15,0.16,40.37
29,451,0.01,0.20,0.35,0.14,0.17,41.95
30,464,0.01,0.21,0.40,0.17,0.17,43.59
31,459,0.02,0.23,0.39,0.14,0.18,45.30
32,460,0.01,0.21,0.39,0.13,0.16,46.93
33,467,0.01,0.22,0.38,0.14,0.18,48.59
34,468,0.02,0.21,0.38,0.15,0.17,50.23
35,478,0.01,0.20,0.38,0.18,0.16,51.96
36,481,0.02,0.20,0.38,0.14,0.16,53.70
37,476,0.01,0.21,0.40,0.17,0.16,55.49
38,481,0.01,0.20,0.38,0.17,0.17,57.20
39,482,0.02,0.22,0.43,0.18,0.17,58.94
40,491,0.01,0.21,0.38,0.24,0.18,60.88
41,495,0.01,0.21,0.40,0.17,0.17,62.69
42,491,0.01,0.21,0.40,0.17,0.17,64.55
43,485,0.01,0.21,0.42,0.17,0.16,66.40
44,483,0.00,0.20,0.39,0.22,0.17,68.22
45,496,0.01,0.22,0.39,0.24,0.17,70.15
46,494,0.02,0.21,0.41,0.19,0.17,72.05
47,492,0.01,0.21,0.43,0.19,0.17,73.93
48,486,0.01,0.20,0.39,0.20,0.17,75.79
49,482,0.02,0.19,0.41,0.17,0.16,77.59
50,491,0.01,0.19,0.39,0.19,0.16,79.46
51,482,0.02,0.20,0.40,0.18,0.16,81.45
52,480,0.01,0.19,0.41,0.18,0.15,83.39
53,479,0.01,0.21,0.41,0.22,0.17,85.36
54,475,0.02,0.21,0.42,0.20,0.16,87.30
55,485,0.01,0.19,0.41,0.21,0.16,89.25
56,477,0.01,0.18,0.42,0.19,0.15,91.15
57,471,0.01,0.19,0.44,0.16,0.15,93.03
58,468,0.02,0.20,0.43,0.22,0.17,94.92
59,465,0.01,0.20,0.44,0.15,0.16,96.78
60,477,0.02,0.20,0.44,0.19,0.16,98.73
61,472,0.01,0.21,0.43,0.19,0.17,100.72
62,473,0.01,0.23,0.43,0.19,0.18,102.69
63,478,0.01,0.21,0.42,0.18,0.17,104.59
64,472,0.01,0.22,0.42,0.16,0.17,106.57
65,484,0.01,0.21,0.43,0.20,0.17,108.52
66,483,0.02,0.19,0.43,0.19,0.17,110.53
67,479,0.02,0.21,0.43,0.22,0.17,112.55
68,478,0.01,0.20,0.44,0.18,0.17,114.47
69,475,0.01,0.23,0.43,0.19,0.19,116.35
70,499,0.01,0.21,0.43,0.17,0.17,118.25
71,495,0.01,0.23,0.43,0.21,0.18,120.23
72,488,0.01,0.21,0.43,0.17,0.18,122.19
73,488,0.01,0.22,0.43,0.19,0.19,124.13
74,486,0.01,0.24,0.43,0.19,0.20,126.16
75,500,0.01,0.23,0.45,0.14,0.19,128.12
76,497,0.02,0.24,0.43,0.18,0.20,130.14
77,498,0.01,0.22,0.43,0.18,0.20,132.16
78,489,0.01,0.23,0.44,0.22,0.19,134.28
79,492,0.01,0.24,0.45,0.18,0.21,136.28
80,507,0.01,0.25,0.43,0.20,0.22,138.41
81,501,0.01,0.25,0.44,0.20,0.21,140.51
82,503,0.01,0.24,0.44,0.22,0.20,142.61
83,498,0.01,0.25,0.44,0.20,0.20,144.76
84,502,0.01,0.24,0.43,0.22,0.20,146.81
85,539,0.01,0.25,0.44,0.21,0.21,149.03
86,532,0.01,0.23,0.44,0.23,0.21,151.23
87,525,0.01,0.23,0.45,0.24,0.19,153.33
88,520,0.02,0.25,0.44,0.23,0.21,155.46
89,519,0.02,0.23,0.45,0.22,0.21,157.55
90,531,0.02,0.22,0.44,0.28,0.21,159.72
91,520,0.01,0.23,0.45,0.23,0.19,161.91
92,516,0.01,0.23,0.45,0.23,0.20,164.06
93,509,0.01,0.22,0.44,0.21,0.20,166.07
94,508,0.02,0.23,0.44,0.17,0.21,168.15
95,521,0.01,0.23,0.44,0.25,0.20,170.38
96,509,0.01,0.23,0.48,0.19,0.18,172.52
97,505,0.01,0.21,0.45,0.23,0.20,174.67
98,506,0.01,0.25,0.48,0.17,0.21,176.79
99,501,0.01,0.24,0.47,0.22,0.21,178.99
100,515,0.01,0.23,0.46,0.20,0.20,181.19
101,513,0.01,0.24,0.46,0.22,0.21,183.46
102,516,0.01,0.27,0.52,0.23,0.21,185.68
103,513,0.02,0.27,0.49,0.25,0.24,187.96
104,505,0.01,0.27,0.50,0.21,0.23,190.07
105,517,0.01,0.25,0.49,0.22,0.23,192.29
