Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.03,0.16,0.20
1,440,-43.71,-10.06,-6.37,0.22,0.17,0.79
2,451,-33.51,-8.26,-5.92,0.24,0.18,1.64
3,454,-42.50,-9.17,-5.51,0.24,0.20,2.55
4,457,-34.72,-8.15,-5.75,0.27,0.20,3.51
5,460,-26.57,-7.84,-4.48,0.36,0.21,4.58
6,460,-29.04,-7.71,-2.88,0.23,0.21,5.62
7,455,-35.79,-7.71,-2.62,0.28,0.21,6.68
8,460,-27.33,-7.55,-4.04,0.22,0.22,7.67
9,466,-20.60,-7.59,-5.01,0.25,0.22,8.67
10,473,-27.22,-6.72,-4.23,0.41,0.26,9.95
11,479,-29.43,-7.68,-4.59,0.40,0.24,11.24
12,474,-20.30,-6.87,-5.07,0.26,0.24,12.40
13,468,-39.50,-7.34,-4.73,0.29,0.25,13.43
14,473,-43.70,-7.87,-5.14,0.30,0.25,14.55
15,477,-26.02,-7.28,-4.81,0.34,0.26,15.75
16,473,-36.37,-6.88,-2.40,0.40,0.27,16.95
17,481,-29.77,-6.56,-2.71,0.41,0.28,18.14
18,482,-31.11,-6.98,-4.47,0.42,0.28,19.43
19,479,-39.77,-7.12,-3.40,0.28,0.27,20.58
20,487,-37.06,-6.82,-4.49,0.37,0.29,21.91
21,483,-33.14,-6.74,-4.57,0.30,0.28,23.16
22,483,-23.11,-6.74,-4.90,0.30,0.30,24.35
23,479,-46.70,-7.13,-4.54,0.28,0.34,25.61
24,475,-21.46,-6.90,-4.72,0.31,0.29,26.93
25,483,-32.47,-6.86,-4.73,0.34,0.33,28.28
26,482,-22.29,-6.61,-4.71,0.30,0.34,29.54
27,485,-36.69,-6.70,-4.07,0.41,0.33,31.03
28,482,-28.34,-7.13,-4.62,0.26,0.34,32.26
29,485,-25.64,-6.68,-4.11,0.33,0.34,33.56
30,489,-25.40,-6.27,-3.71,0.27,0.34,34.82
31,485,-24.75,-6.39,-3.84,0.30,0.33,36.11
32,482,-36.44,-6.57,-2.19,0.28,0.35,37.46
33,479,-29.32,-6.30,-3.89,0.30,0.36,38.91
34,486,-29.15,-6.36,-3.97,0.32,0.35,40.35
35,493,-35.37,-6.36,-3.95,0.31,0.37,41.87
36,484,-36.68,-6.72,-3.98,0.25,0.38,43.28
37,493,-35.19,-6.43,-4.04,0.37,0.38,44.89
38,491,-24.56,-5.92,-3.58,0.33,0.38,46.38
39,495,-28.99,-6.38,-3.67,0.22,0.40,47.89
40,491,-36.50,-5.91,-3.60,0.34,0.40,49.55
41,492,-35.52,-5.90,-3.71,0.35,0.41,51.14
42,491,-42.36,-5.63,-1.41,0.32,0.41,52.74
43,490,-35.17,-6.06,-1.63,0.27,0.41,54.22
44,483,-40.03,-5.90,-3.71,0.28,0.42,55.74
45,486,-26.17,-5.23,-3.62,0.27,0.42,57.24
46,495,-27.03,-5.95,-3.67,0.37,0.40,58.87
47,489,-33.27,-5.14,-3.70,0.31,0.41,60.45
48,493,-34.18,-5.74,-3.73,0.32,0.42,61.99
49,490,-33.40,-5.25,-0.90,0.27,0.42,63.49
50,507,-28.54,-5.36,-0.66,0.36,0.45,65.12
51,498,-26.32,-5.33,-1.21,0.29,0.43,66.66
52,493,-33.37,-5.40,-1.12,0.24,0.43,68.15
53,494,-23.00,-5.21,-1.63,0.34,0.43,69.78
54,492,-26.83,-5.11,-2.31,0.28,0.44,71.30
55,496,-29.66,-5.74,-2.98,0.35,0.45,72.97
56,504,-23.22,-4.99,-2.65,0.31,0.47,74.56
57,502,-32.54,-5.03,-2.88,0.36,0.48,76.30
58,496,-35.84,-5.18,-3.16,0.36,0.48,78.06
59,499,-21.94,-4.96,-3.40,0.27,0.48,79.57
60,509,-33.92,-5.12,-3.54,0.36,0.50,81.25
61,508,-39.28,-4.86,-3.59,0.33,0.49,82.82
62,502,-35.92,-5.19,-3.54,0.25,0.51,84.45
63,496,-27.41,-4.52,-3.14,0.37,0.54,86.32
64,494,-21.69,-4.78,-3.03,0.34,0.54,88.18
65,488,-22.45,-4.55,-2.82,0.25,0.52,89.80
66,496,-37.33,-5.24,-3.28,0.37,0.51,91.47
67,492,-31.83,-4.82,5.42,0.34,0.51,93.13
68,495,-35.32,-4.92,1.43,0.32,0.52,94.71
69,490,-21.42,-4.58,-0.79,0.29,0.54,96.35
70,501,-29.24,-4.61,0.07,0.28,0.55,98.14
71,505,-25.60,-4.53,-0.14,0.34,0.55,99.74
72,503,-34.67,-4.85,-2.81,0.33,0.57,101.35
73,490,-23.60,-4.44,-0.34,0.23,0.57,102.87
74,489,-23.95,-4.68,-2.72,0.15,0.57,104.32
75,497,-30.91,-4.49,-1.14,0.26,0.63,105.98
76,499,-22.40,-4.26,0.79,0.50,0.78,108.24
77,504,-38.93,-4.32,0.94,0.47,0.71,110.39
78,500,-22.24,-4.54,-0.88,0.53,0.60,112.21
79,497,-21.92,-4.32,-1.25,0.40,0.61,113.99
80,498,-32.46,-4.56,-1.53,0.32,0.60,115.67
81,498,-33.21,-4.95,-1.83,0.35,0.58,117.36
82,500,-21.56,-4.42,-2.09,0.35,0.58,119.15
83,499,-31.50,-4.39,-2.88,0.30,0.76,121.44
84,503,-31.42,-4.80,-3.01,0.27,0.62,123.20
85,516,-42.66,-4.29,-2.85,0.33,0.59,124.85
86,514,-23.21,-4.25,-2.87,0.27,0.59,126.39
87,513,-22.33,-4.77,-2.11,0.34,0.60,128.14
88,506,-26.15,-4.21,-1.87,0.25,0.61,129.74
89,502,-22.38,-4.14,-2.03,0.25,0.60,131.21
90,515,-36.87,-4.51,0.37,0.30,0.62,132.88
91,510,-27.42,-4.63,-2.12,0.31,0.59,134.47
92,507,-36.83,-4.42,-2.47,0.33,0.61,136.22
93,512,-22.68,-4.28,-2.63,0.31,0.63,137.84
94,514,-22.57,-4.25,-2.73,0.35,0.64,139.63
95,520,-34.03,-4.40,-2.37,0.31,0.63,141.43
96,518,-22.49,-4.49,-2.46,0.41,0.62,143.23
97,517,-25.88,-4.33,-2.55,0.29,0.63,144.97
98,511,-27.28,-4.26,-2.64,0.25,0.62,146.67
99,509,-22.02,-4.16,-0.10,0.28,0.66,148.43
100,515,-35.61,-4.53,0.43,0.30,0.63,150.15
101,514,-21.95,-4.40,-0.32,0.30,0.63,151.77
102,520,-36.58,-4.45,-0.64,0.33,0.62,153.49
103,517,-21.86,-4.36,-1.31,0.29,0.63,155.11
104,519,-32.43,-4.27,-2.58,0.30,0.64,156.82
105,519,-21.65,-3.82,-0.86,0.30,0.64,158.54
106,517,-28.84,-4.06,1.64,0.26,0.63,160.14
107,511,-21.71,-4.43,-0.46,0.29,0.65,161.73
108,521,-21.63,-4.25,-0.35,0.27,0.65,163.50
109,524,-22.11,-4.23,-1.23,0.25,0.65,165.14
110,533,-30.78,-4.27,-0.67,0.33,0.67,166.91
111,525,-35.94,-4.51,-0.80,0.35,0.68,168.69
112,523,-29.53,-4.45,-0.94,0.32,0.71,170.46
113,524,-22.60,-4.32,-1.61,0.31,0.75,172.31
114,522,-22.67,-4.16,-0.60,0.24,0.81,174.13
115,530,-37.60,-4.51,-0.66,0.41,0.82,176.15
116,529,-39.48,-4.54,-0.97,0.39,0.85,178.21
117,518,-21.31,-3.98,-1.14,0.25,0.85,180.14
118,520,-34.33,-3.78,-0.99,0.32,0.86,182.05
119,518,-41.58,-3.97,-0.86,0.31,0.86,183.97
120,525,-21.19,-4.15,-0.95,0.31,0.83,185.85
121,525,-21.14,-4.00,-0.86,0.30,0.87,187.86
122,526,-21.06,-3.56,-0.73,0.30,0.91,189.82
123,523,-30.26,-4.09,-0.84,0.31,0.89,191.80
124,528,-21.20,-3.52,1.03,0.35,0.91,193.86
125,529,-38.15,-4.17,0.50,0.42,0.90,195.94
126,534,-26.85,-4.15,-0.07,0.33,0.93,197.96
127,525,-21.19,-4.20,-0.66,0.29,0.86,199.86
128,519,-21.21,-4.35,-0.64,0.40,0.89,202.01
129,516,-21.09,-3.93,-0.66,0.30,0.92,204.06
130,517,-30.88,-4.37,-0.69,0.25,0.90,205.99
131,517,-42.27,-4.82,-0.59,0.38,0.91,208.05
132,518,-33.41,-4.10,-0.58,0.28,0.92,210.03
133,519,-36.28,-3.99,4.32,0.26,0.88,211.90
134,516,-24.17,-3.85,3.57,0.37,0.91,213.93
135,532,-33.72,-3.72,2.85,0.26,0.93,215.91
136,522,-40.15,-3.65,4.48,0.31,0.93,217.98
137,522,-35.16,-4.31,3.29,0.48,0.91,220.10
138,523,-34.35,-3.96,2.58,0.32,0.93,222.17
139,519,-33.87,-3.94,1.59,0.24,0.90,224.10
140,526,-39.69,-4.41,1.52,0.28,0.85,225.99
141,521,-42.98,-4.23,2.88,0.27,0.84,227.97
142,518,-26.05,-3.84,1.39,0.38,0.82,229.87
143,520,-26.45,-3.82,1.27,0.29,0.80,231.71
144,528,-36.84,-3.34,2.65,0.31,0.75,233.61
145,530,-38.87,-1.97,3.78,0.31,0.69,235.40
146,528,-34.77,-3.83,3.73,0.38,0.65,237.17
147,521,-29.57,-3.09,1.76,0.31,0.60,238.90
148,518,-31.60,-2.92,1.68,0.25,0.62,240.56
149,519,-37.96,-4.21,1.12,0.29,0.64,242.25
150,531,-36.54,-2.80,2.18,0.28,0.58,243.85
151,529,-38.73,-2.55,1.61,0.37,0.62,245.59
152,531,-34.16,-2.62,1.54,0.31,0.60,247.32
153,535,-39.33,-0.39,3.50,0.33,0.54,248.94
154,527,-28.45,-0.49,3.64,0.21,0.59,250.49
155,535,-36.15,-0.02,2.62,0.30,0.55,252.12
156,527,-39.85,-1.94,1.97,0.31,0.65,253.87
157,521,-31.10,-2.19,1.65,0.20,0.59,255.45
158,521,-22.31,-4.23,0.64,0.21,0.66,257.06
159,523,-37.03,-2.83,0.65,0.19,0.60,258.74
