Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.07,0.29,1.13
1,440,-43.71,-10.06,-6.37,0.26,0.25,3.37
2,451,-33.51,-8.26,-5.92,0.30,0.24,5.71
3,454,-42.50,-9.17,-5.51,0.27,0.34,8.13
4,457,-34.72,-8.15,-5.75,0.36,0.32,10.91
5,460,-26.57,-7.84,-4.48,0.43,0.23,13.85
6,460,-29.04,-7.71,-2.88,0.33,0.27,16.37
7,455,-35.79,-7.71,-2.62,0.37,0.27,18.98
8,460,-27.33,-7.55,-4.04,0.31,0.32,21.69
9,466,-20.60,-7.59,-5.01,0.35,0.31,24.49
10,473,-27.22,-6.72,-4.23,0.53,0.38,27.77
11,479,-29.43,-7.68,-4.59,0.40,0.35,30.90
12,474,-20.30,-6.87,-5.07,0.37,0.29,33.73
13,468,-39.50,-7.34,-4.73,0.47,0.30,36.89
14,473,-43.70,-7.87,-5.14,0.39,0.33,39.79
15,475,-25.56,-7.21,-5.11,0.47,0.28,42.97
16,472,-30.97,-6.89,-4.43,0.37,0.37,45.91
17,471,-24.65,-6.28,-0.81,0.41,0.37,49.18
18,473,-37.68,-7.09,-4.72,0.38,0.47,52.39
19,476,-29.02,-7.10,-3.05,0.36,0.37,55.40
20,479,-26.05,-6.75,-4.53,0.50,0.36,58.78
21,476,-22.40,-6.60,-4.80,0.40,0.47,62.28
22,482,-27.43,-6.74,-4.90,0.54,0.36,65.83
23,475,-22.48,-6.58,-4.74,0.41,0.42,69.23
24,482,-37.72,-6.98,-4.90,0.41,0.41,72.46
25,480,-31.45,-6.85,-4.74,0.44,0.41,75.88
26,487,-23.32,-6.35,-4.85,0.39,0.35,79.06
27,492,-36.76,-6.49,-4.77,0.54,0.45,82.87
28,490,-27.20,-6.86,-4.62,0.43,0.54,86.40
29,489,-38.42,-6.66,-4.01,0.46,0.45,89.93
30,497,-21.16,-6.02,-4.18,0.39,0.48,93.59
31,497,-15.17,-6.11,-4.25,0.49,0.43,97.34
32,499,-28.42,-6.26,-3.67,0.36,0.45,100.98
33,493,-29.85,-6.13,-4.05,0.36,0.49,104.51
34,498,-26.94,-6.12,-3.99,0.61,0.49,108.95
35,508,-28.67,-5.98,-3.29,0.46,0.60,113.03
36,506,-31.62,-6.02,-3.09,0.44,0.55,117.06
