Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.03,0.17,0.20
1,440,-43.71,-10.06,-6.37,0.22,0.26,1.51
2,451,-33.51,-8.26,-5.92,0.26,0.29,3.63
3,454,-42.50,-9.17,-5.51,0.39,0.21,5.86
4,457,-34.72,-8.15,-5.75,0.28,0.20,8.07
5,462,-40.02,-8.27,-5.55,0.25,0.21,10.59
6,459,-35.23,-7.65,-0.75,0.30,0.36,13.00
7,463,-52.24,-7.74,-3.28,0.43,0.22,15.33
8,463,-34.47,-7.33,-4.29,0.37,0.35,18.10
9,459,-27.02,-7.63,-4.91,0.37,0.25,20.57
10,466,-39.40,-6.87,-4.34,0.30,0.26,23.30
11,470,-30.00,-7.76,-5.06,0.38,0.31,26.08
12,469,-28.95,-7.13,-5.20,0.41,0.32,29.16
13,466,-22.56,-7.05,-5.06,0.33,0.35,32.01
14,470,-38.62,-7.98,-4.32,0.38,0.25,34.61
15,464,-32.45,-7.39,-4.18,0.29,0.25,37.31
16,464,-28.95,-7.06,-3.63,0.48,0.33,39.98
17,467,-38.20,-6.74,-3.91,0.45,0.27,42.96
18,466,-37.28,-7.08,-4.32,0.36,0.44,46.30
19,473,-34.23,-6.93,-1.93,0.53,0.28,49.35
20,475,-27.07,-6.74,-3.33,0.47,0.29,52.57
21,469,-34.08,-6.84,-3.78,0.47,0.28,55.53
22,474,-23.02,-6.63,-3.75,0.38,0.29,58.46
23,469,-35.23,-6.66,-3.82,0.28,0.43,61.75
24,473,-22.36,-6.80,-3.86,0.51,0.30,64.98
25,468,-37.27,-6.88,-3.80,0.36,0.39,68.27
26,471,-21.71,-6.30,-3.73,0.41,0.45,71.55
27,481,-21.81,-6.18,-3.53,0.42,0.32,74.76
28,480,-28.05,-6.83,-3.78,0.45,0.47,78.26
29,476,-30.03,-6.38,-3.77,0.32,0.38,81.62
30,493,-27.62,-5.93,-3.31,0.60,0.40,85.17
31,494,-29.60,-6.00,-3.09,0.47,0.45,88.80
32,495,-33.77,-6.22,-2.66,0.38,0.51,92.13
33,487,-26.30,-5.96,-2.90,0.44,0.42,95.64
34,491,-33.76,-5.76,-3.02,0.47,0.45,99.23
35,524,-27.82,-5.51,-1.21,0.38,0.43,102.73
36,523,-30.94,-5.68,-2.31,0.37,0.42,106.12
37,520,-43.67,-5.65,-1.65,0.39,0.42,109.44
38,521,-29.60,-5.21,-1.01,0.26,0.44,112.93
39,527,-23.40,-5.60,-0.93,0.43,0.39,116.33
40,533,-23.50,-4.98,0.93,0.33,0.46,120.05
41,533,-27.40,-5.08,-0.69,0.39,0.50,123.70
42,528,-40.71,-5.12,-0.24,0.42,0.40,127.31
43,531,-36.73,-5.53,-1.18,0.41,0.54,131.13
44,526,-23.25,-5.27,-1.39,0.34,0.51,134.96
45,538,-33.47,-4.75,-1.46,0.47,0.50,138.89
46,538,-26.91,-5.46,-1.68,0.32,0.46,142.30
