Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.03,1.63,1.66
1,180,-45.59,-10.82,-6.86,0.49,1.69,5.34
2,177,-45.73,-8.78,-6.50,0.32,1.06,8.59
3,183,-45.94,-9.70,-4.69,0.54,1.30,11.87
4,182,-29.04,-8.65,-5.28,0.36,1.05,15.16
5,181,-34.16,-8.51,-5.04,0.29,1.20,18.18
6,190,-41.47,-8.52,-5.28,0.52,1.65,22.15
7,191,-34.21,-8.60,-5.28,0.40,1.60,26.18
8,192,-29.92,-7.61,-5.28,0.44,1.37,30.00
9,184,-27.35,-7.68,-5.28,0.28,1.15,33.13
10,186,-35.50,-7.02,3.17,0.46,1.08,36.31
11,189,-29.11,-8.10,-2.31,0.36,1.55,39.88
12,188,-42.95,-7.45,-2.31,0.26,1.30,43.52
13,187,-42.44,-7.66,-2.31,0.46,1.25,46.94
14,191,-39.36,-8.40,-2.31,0.45,1.18,50.30
15,188,-32.75,-7.65,-2.31,0.22,1.23,53.50
16,191,-43.54,-7.94,-1.16,0.43,1.33,56.88
17,191,-37.60,-7.31,1.12,0.37,1.46,60.20
18,191,-34.44,-7.10,1.12,0.38,1.41,63.89
19,190,-41.90,-7.97,1.12,0.45,1.35,67.55
20,195,-32.25,-7.77,1.12,0.48,1.28,71.13
21,191,-36.64,-7.64,1.12,0.40,1.26,74.59
22,192,-42.14,-7.18,-2.31,0.31,1.34,78.28
23,193,-44.93,-7.78,1.12,0.31,1.20,81.48
24,195,-26.42,-6.98,1.12,0.39,1.53,85.32
25,197,-38.68,-7.48,1.12,0.34,1.33,88.70
26,198,-30.28,-6.74,1.12,0.52,1.50,92.33
27,194,-67.50,-7.39,1.12,0.20,1.48,95.91
28,195,-26.76,-7.41,1.12,0.41,1.41,99.67
29,197,-44.04,-6.85,1.12,0.31,1.58,103.43
30,198,-27.73,-6.21,1.12,0.28,1.65,107.37
31,201,-29.86,-6.62,1.12,0.48,1.64,111.37
32,201,-38.98,-7.32,1.12,0.31,1.50,114.90
33,200,-51.69,-7.75,1.12,0.37,1.64,118.65
34,197,-37.50,-6.89,1.12,0.30,1.85,122.53
35,197,-56.82,-7.70,1.12,0.29,1.68,126.48
36,205,-45.89,-7.37,1.12,0.54,2.06,130.86
37,200,-42.45,-7.51,1.12,0.46,2.02,135.33
38,200,-42.25,-6.85,1.12,0.40,2.31,140.15
39,197,-39.59,-6.41,1.12,0.54,2.23,145.16
40,203,-45.10,-7.61,2.08,0.80,2.40,150.42
41,203,-38.57,-7.43,1.12,0.35,2.51,155.59
42,200,-43.77,-6.73,2.99,0.38,2.29,160.55
43,204,-36.03,-6.57,1.12,0.70,2.39,165.91
44,206,-42.57,-7.13,1.12,0.44,2.28,170.74
45,202,-38.00,-5.69,1.12,0.60,2.02,175.37
46,205,-44.22,-6.86,1.12,0.51,2.49,180.36
47,205,-35.40,-5.73,1.12,0.48,2.06,185.21
48,209,-33.25,-6.43,1.12,0.42,2.26,189.85
49,212,-38.57,-6.34,1.12,0.42,2.30,194.68
50,208,-42.55,-6.19,1.12,0.27,2.44,199.40
51,201,-44.42,-6.51,1.12,0.26,2.51,204.70
52,204,-37.43,-5.80,1.12,0.31,2.46,209.81
53,207,-33.48,-5.74,-0.22,0.56,3.10,215.75
54,201,-45.89,-5.55,1.12,0.39,2.64,221.39
55,202,-43.17,-6.48,-0.22,0.44,2.80,227.43
56,202,-34.23,-4.23,0.51,0.30,2.62,232.68
57,201,-36.58,-5.19,-0.22,0.53,2.81,238.78
58,202,-38.44,-5.97,-0.22,0.51,2.38,245.11
59,201,-37.08,-5.35,-0.22,0.44,2.29,250.51
60,202,-37.71,-5.29,-0.22,0.41,2.15,255.58
61,203,-37.34,-5.77,-0.22,0.42,2.04,260.49
62,207,-37.82,-5.94,1.12,0.21,2.60,266.16
63,202,-43.95,-5.09,1.90,0.42,2.23,271.58
64,202,-23.09,-4.51,1.90,0.39,2.80,277.53
65,203,-40.03,-5.24,1.12,0.39,2.73,283.87
66,203,-36.05,-6.13,1.12,0.37,2.28,289.43
67,203,-44.93,-4.12,9.42,0.42,1.98,294.61
68,217,-32.84,-3.74,5.98,0.45,2.58,300.18
69,212,-35.79,-4.56,5.98,0.44,2.31,305.46
70,219,-43.51,-5.17,5.98,0.44,1.77,310.24
71,217,-34.17,-3.88,5.98,0.48,2.58,315.79
72,223,-37.46,-5.19,5.98,0.55,2.16,321.29
73,223,-39.94,-3.37,5.98,0.57,1.97,326.32
74,227,-37.10,-3.84,5.98,0.12,2.23,330.99
75,229,-21.22,-3.61,5.98,0.50,2.51,336.51
76,237,-44.07,-1.71,7.12,0.61,1.86,341.47
77,227,-45.63,-3.94,5.98,0.43,2.71,347.18
78,233,-44.44,-4.48,5.98,0.49,2.17,353.08
79,229,-43.37,-3.89,5.98,0.29,1.80,358.32
