Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.01,0.03,0.08,0.02,0.14,0.31
1,441,0.01,0.04,0.11,0.18,0.10,1.31
2,438,0.01,0.04,0.13,0.35,0.09,2.84
3,440,0.01,0.05,0.13,0.29,0.22,4.34
4,442,0.01,0.06,0.15,0.32,0.16,5.99
5,448,0.01,0.07,0.20,0.18,0.23,7.48
6,444,0.01,0.07,0.18,0.17,0.13,8.96
7,441,0.01,0.09,0.23,0.14,0.14,10.63
8,435,0.01,0.10,0.23,0.20,0.18,12.37
9,441,0.01,0.10,0.22,0.19,0.17,14.10
10,452,0.01,0.11,0.23,0.17,0.17,15.77
11,447,0.01,0.12,0.25,0.20,0.19,17.45
12,445,0.01,0.12,0.28,0.20,0.20,19.14
13,447,0.01,0.13,0.28,0.27,0.31,21.07
14,449,0.02,0.12,0.26,0.29,0.30,22.85
15,450,0.02,0.13,0.26,0.24,0.27,24.56
16,452,0.01,0.15,0.37,0.33,0.12,26.23
17,447,0.01,0.14,0.34,0.13,0.21,28.04
18,444,0.01,0.14,0.36,0.13,0.21,29.88
19,453,0.01,0.15,0.35,0.21,0.18,31.69
20,459,0.01,0.16,0.36,0.13,0.18,33.43
21,462,0.01,0.16,0.36,0.21,0.17,35.27
22,455,0.01,0.16,0.36,0.23,0.16,37.05
23,455,0.02,0.16,0.37,0.18,0.19,38.87
24,452,0.01,0.16,0.36,0.14,0.19,40.61
25,473,0.01,0.17,0.36,0.24,0.21,42.62
26,476,0.01,0.16,0.36,0.31,0.31,44.63
27,465,0.02,0.16,0.38,0.23,0.18,46.51
28,462,0.01,0.17,0.37,0.21,0.20,48.38
29,464,0.01,0.18,0.38,0.20,0.31,50.27
30,477,0.01,0.18,0.44,0.37,0.20,52.22
31,472,0.01,0.18,0.43,0.32,0.14,54.05
32,467,0.02,0.18,0.42,0.22,0.21,55.96
33,465,0.02,0.17,0.42,0.20,0.16,57.88
34,468,0.01,0.18,0.42,0.38,0.27,60.10
35,476,0.01,0.19,0.42,0.38,0.17,61.96
36,467,0.02,0.20,0.42,0.25,0.16,63.91
37,466,0.01,0.19,0.43,0.20,0.19,65.89
38,464,0.01,0.21,0.43,0.25,0.35,68.06
39,465,0.02,0.22,0.45,0.30,0.27,70.03
40,471,0.01,0.23,0.46,0.30,0.18,72.03
41,466,0.02,0.21,0.45,0.23,0.38,74.28
42,472,0.01,0.25,0.46,0.29,0.23,76.42
43,464,0.02,0.26,0.48,0.19,0.25,78.43
44,465,0.01,0.25,0.48,0.16,0.34,80.41
45,466,0.02,0.25,0.49,0.20,0.38,82.41
46,472,0.00,0.25,0.47,0.25,0.37,84.42
47,469,0.01,0.28,0.49,0.16,0.27,86.65
48,467,0.01,0.24,0.47,0.18,0.23,88.66
49,462,0.01,0.27,0.48,0.18,0.42,90.87
50,474,0.02,0.24,0.47,0.33,0.19,92.91
51,474,0.01,0.24,0.46,0.15,0.25,94.85
52,471,0.01,0.28,0.46,0.20,0.42,96.98
53,477,0.02,0.28,0.47,0.22,0.24,99.11
54,473,0.01,0.29,0.46,0.24,0.43,101.37
55,497,0.02,0.27,0.47,0.15,0.26,103.51
56,498,0.02,0.28,0.46,0.40,0.29,105.98
57,496,0.02,0.28,0.46,0.24,0.30,108.25
58,490,0.02,0.25,0.46,0.21,0.28,110.50
59,488,0.01,0.25,0.46,0.44,0.19,112.90
60,513,0.01,0.23,0.47,0.36,0.18,114.85
61,513,0.01,0.27,0.52,0.32,0.24,117.28
62,506,0.01,0.23,0.48,0.31,0.37,119.56
63,504,0.02,0.25,0.48,0.24,0.26,121.81
64,501,0.02,0.25,0.49,0.37,0.29,124.17
65,518,0.01,0.27,0.49,0.23,0.44,126.75
66,513,0.01,0.21,0.48,0.20,0.25,129.02
67,516,0.01,0.22,0.48,0.42,0.24,131.53
68,518,0.01,0.21,0.48,0.31,0.41,134.15
69,516,0.01,0.25,0.47,0.26,0.39,136.74
70,531,0.02,0.24,0.48,0.46,0.19,139.03
71,520,0.01,0.24,0.48,0.24,0.45,141.74
72,522,0.01,0.24,0.50,0.24,0.20,144.17
73,519,0.01,0.24,0.48,0.36,0.37,146.56
74,520,0.01,0.23,0.48,0.35,0.19,148.76
75,546,0.02,0.24,0.48,0.28,0.41,151.29
76,540,0.01,0.22,0.48,0.33,0.19,153.80
77,537,0.01,0.22,0.47,0.28,0.39,156.31
78,529,0.01,0.21,0.48,0.22,0.23,158.60
79,522,0.01,0.20,0.48,0.22,0.25,161.32
80,540,0.01,0.22,0.48,0.38,0.25,163.84
81,536,0.01,0.21,0.48,0.28,0.26,166.26
82,532,0.01,0.20,0.48,0.31,0.21,168.77
83,529,0.01,0.23,0.48,0.43,0.27,171.51
84,524,0.00,0.21,0.48,0.20,0.25,173.84
85,544,0.02,0.23,0.49,0.44,0.26,176.59
86,542,0.02,0.22,0.48,0.30,0.40,179.15
87,538,0.02,0.23,0.48,0.37,0.21,181.41
88,534,0.01,0.24,0.52,0.23,0.31,183.94
89,534,0.01,0.21,0.50,0.24,0.24,186.31
90,550,0.02,0.23,0.49,0.49,0.27,189.07
91,550,0.01,0.22,0.48,0.25,0.39,191.88
92,537,0.01,0.24,0.52,0.34,0.26,194.51
93,526,0.01,0.26,0.50,0.49,0.30,197.32
94,530,0.01,0.25,0.49,0.33,0.54,200.29
95,550,0.00,0.23,0.49,0.29,0.25,202.71
96,547,0.01,0.24,0.49,0.43,0.22,205.55
97,537,0.01,0.22,0.49,0.28,0.41,208.41
98,530,0.01,0.23,0.51,0.21,0.26,210.97
99,525,0.01,0.23,0.49,0.51,0.25,213.67
100,546,0.01,0.23,0.49,0.28,0.42,216.58
101,548,0.01,0.27,0.54,0.31,0.49,219.45
102,538,0.01,0.27,0.53,0.31,0.34,222.23
103,536,0.02,0.25,0.51,0.31,0.25,224.91
104,534,0.01,0.24,0.52,0.26,0.58,227.78
105,553,0.01,0.24,0.51,0.30,0.24,230.30
106,553,0.02,0.25,0.51,0.48,0.23,233.32
107,545,0.01,0.23,0.51,0.48,0.40,236.23
108,540,0.01,0.24,0.51,0.32,0.49,239.04
109,531,0.01,0.24,0.53,0.26,0.30,241.75
110,552,0.01,0.27,0.53,0.42,0.28,244.49
111,551,0.01,0.24,0.51,0.37,0.31,247.15
112,542,0.02,0.30,0.53,0.42,0.48,250.12
113,541,0.01,0.26,0.51,0.31,0.47,253.13
114,538,0.01,0.25,0.51,0.31,0.35,255.96
115,559,0.01,0.24,0.51,0.42,0.27,258.81
116,556,0.01,0.24,0.51,0.26,0.52,261.77
117,552,0.01,0.26,0.51,0.28,0.34,264.41
118,547,0.01,0.26,0.51,0.50,0.27,267.28
119,546,0.01,0.27,0.51,0.30,0.58,270.32
120,568,0.01,0.26,0.51,0.44,0.45,273.49
121,564,0.01,0.26,0.51,0.42,0.55,276.57
122,566,0.01,0.26,0.51,0.56,0.29,279.68
123,560,0.01,0.27,0.51,0.27,0.58,282.70
124,562,0.02,0.27,0.51,0.32,0.42,285.58
125,585,0.01,0.25,0.51,0.38,0.27,288.42
126,585,0.02,0.25,0.51,0.30,0.44,291.43
127,580,0.01,0.25,0.51,0.44,0.28,294.19
128,575,0.01,0.25,0.50,0.43,0.45,297.32
129,571,0.01,0.26,0.51,0.24,0.38,300.04
130,592,0.01,0.24,0.50,0.29,0.37,303.03
131,588,0.02,0.24,0.52,0.32,0.42,306.07
132,575,0.01,0.23,0.51,0.50,0.28,308.92
133,569,0.02,0.24,0.51,0.61,0.26,312.01
134,563,0.01,0.24,0.54,0.38,0.47,315.04
135,590,0.01,0.26,0.53,0.26,0.57,318.05
136,583,0.01,0.26,0.54,0.25,0.44,321.04
137,577,0.01,0.24,0.53,0.37,0.30,323.82
138,576,0.01,0.24,0.52,0.34,0.32,326.72
139,572,0.01,0.26,0.52,0.31,0.33,329.75
140,592,0.02,0.26,0.52,0.36,0.30,332.61
141,589,0.01,0.25,0.52,0.36,0.26,335.54
142,586,0.01,0.24,0.52,0.59,0.24,338.80
143,581,0.01,0.25,0.52,0.31,0.48,341.88
144,582,0.00,0.24,0.52,0.34,0.28,344.84
145,602,0.01,0.26,0.52,0.60,0.27,347.88
146,601,0.01,0.24,0.52,0.57,0.26,351.06
147,598,0.01,0.27,0.52,0.45,0.32,354.20
148,587,0.00,0.24,0.52,0.46,0.26,357.25
149,580,0.01,0.26,0.52,0.37,0.36,360.29
150,603,0.01,0.26,0.52,0.48,0.39,363.49
151,593,0.01,0.24,0.52,0.46,0.32,366.51
152,583,0.01,0.23,0.52,0.27,0.25,369.56
153,575,0.00,0.26,0.52,0.51,0.29,372.79
154,561,0.01,0.27,0.53,0.32,0.57,376.02
155,580,0.02,0.23,0.52,0.30,0.31,379.03
156,572,0.01,0.25,0.53,0.41,0.26,382.06
157,565,0.01,0.23,0.52,0.36,0.45,385.19
158,563,0.01,0.25,0.52,0.33,0.31,388.02
159,557,0.01,0.25,0.53,0.42,0.43,391.13
160,568,0.01,0.23,0.52,0.25,0.41,394.20
161,565,0.01,0.25,0.52,0.42,0.42,397.32
162,556,0.01,0.26,0.52,0.29,0.27,400.16
163,549,0.01,0.26,0.52,0.45,0.41,403.15
164,545,0.01,0.27,0.52,0.37,0.49,406.20
165,564,0.01,0.27,0.52,0.30,0.41,409.22
166,560,0.01,0.27,0.53,0.43,0.27,412.19
167,557,0.02,0.25,0.52,0.43,0.34,415.48
168,557,0.01,0.27,0.52,0.25,0.61,418.73
169,554,0.01,0.24,0.52,0.28,0.39,421.84
170,575,0.01,0.25,0.52,0.33,0.25,424.69
171,568,0.01,0.23,0.52,0.47,0.36,427.91
172,559,0.00,0.25,0.53,0.28,0.31,430.88
173,550,0.01,0.22,0.52,0.35,0.24,433.77
174,545,0.01,0.23,0.52,0.36,0.58,437.13
175,561,0.01,0.22,0.52,0.30,0.29,439.94
176,560,0.01,0.23,0.52,0.49,0.25,442.82
177,543,0.02,0.24,0.54,0.27,0.36,445.85
178,533,0.01,0.23,0.52,0.40,0.50,448.90
179,525,0.01,0.24,0.52,0.27,0.33,451.80
180,544,0.01,0.25,0.52,0.52,0.27,454.70
181,536,0.02,0.24,0.52,0.38,0.51,457.88
182,526,0.01,0.29,0.55,0.32,0.52,460.96
183,521,0.02,0.26,0.53,0.33,0.32,463.91
184,513,0.01,0.28,0.54,0.43,0.48,467.15
185,542,0.01,0.26,0.53,0.28,0.59,470.18
186,540,0.02,0.27,0.52,0.24,0.42,473.13
187,534,0.01,0.24,0.52,0.21,0.58,476.08
188,525,0.00,0.26,0.52,0.35,0.32,479.01
189,526,0.00,0.24,0.52,0.27,0.57,482.27
190,547,0.01,0.27,0.53,0.39,0.48,485.21
191,545,0.01,0.24,0.53,0.26,0.31,488.20
192,546,0.01,0.24,0.53,0.54,0.29,491.20
193,551,0.01,0.23,0.52,0.41,0.52,494.49
194,539,0.01,0.25,0.52,0.25,0.44,497.45
195,564,0.01,0.24,0.52,0.29,0.49,500.54
196,561,0.02,0.26,0.54,0.37,0.40,503.69
197,553,0.01,0.23,0.52,0.40,0.31,506.53
198,550,0.01,0.24,0.55,0.33,0.37,509.57
199,542,0.01,0.22,0.54,0.45,0.24,512.49
200,556,0.01,0.21,0.53,0.25,0.36,515.41
201,546,0.01,0.23,0.53,0.42,0.62,518.66
202,546,0.01,0.25,0.56,0.34,0.28,521.32
203,542,0.01,0.26,0.56,0.26,0.60,524.58
204,539,0.01,0.23,0.54,0.30,0.32,527.42
205,560,0.01,0.24,0.54,0.53,0.28,530.55
206,555,0.01,0.25,0.54,0.29,0.47,533.69
207,551,0.01,0.26,0.53,0.55,0.26,536.67
208,546,0.01,0.27,0.53,0.25,0.40,539.64
209,553,0.01,0.27,0.53,0.26,0.39,542.48
210,577,0.02,0.26,0.53,0.33,0.33,545.31
211,571,0.01,0.28,0.53,0.38,0.57,548.63
212,574,0.01,0.25,0.53,0.40,0.42,551.83
213,563,0.01,0.25,0.53,0.40,0.43,554.76
214,565,0.02,0.26,0.55,0.38,0.36,557.98
215,579,0.01,0.26,0.53,0.36,0.34,561.04
216,576,0.01,0.25,0.53,0.44,0.46,564.44
217,569,0.01,0.27,0.53,0.26,0.51,567.73
218,567,0.01,0.27,0.53,0.29,0.38,570.75
219,569,0.01,0.25,0.53,0.43,0.48,574.00
220,590,0.01,0.26,0.53,0.33,0.52,577.43
221,582,0.01,0.27,0.55,0.23,0.37,580.37
222,572,0.01,0.29,0.55,0.39,0.54,583.74
223,565,0.01,0.27,0.54,0.38,0.64,587.32
224,564,0.01,0.31,0.54,0.43,0.58,590.85
225,589,0.02,0.29,0.54,0.51,0.44,594.03
226,580,0.01,0.29,0.54,0.32,0.41,597.13
227,581,0.02,0.28,0.54,0.49,0.47,600.40
228,579,0.01,0.27,0.54,0.44,0.43,603.64
229,573,0.01,0.26,0.54,0.32,0.34,606.67
230,594,0.01,0.30,0.57,0.49,0.52,610.01
231,589,0.01,0.26,0.54,0.36,0.43,613.18
232,587,0.01,0.28,0.55,0.28,0.46,616.05
233,579,0.01,0.27,0.54,0.46,0.33,619.01
234,578,0.01,0.27,0.54,0.48,0.44,622.31
235,603,0.01,0.25,0.54,0.37,0.33,625.23
236,596,0.01,0.25,0.54,0.33,0.34,628.44
