Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1020,0.01,0.03,0.08,0.02,0.05,0.08,0.14,0.61,0.05,0.81
1,1066,0.01,0.04,0.12,0.01,0.06,0.13,0.80,0.38,0.06,2.06
2,1078,0.01,0.05,0.13,0.02,0.07,0.15,1.05,0.57,0.15,3.83
3,1073,0.01,0.05,0.15,0.01,0.08,0.16,1.05,0.25,0.07,5.20
4,1078,0.01,0.06,0.19,0.02,0.10,0.19,0.75,0.20,0.08,6.22
5,1086,0.00,0.07,0.25,0.02,0.11,0.23,0.83,0.52,0.08,7.66
6,1083,0.01,0.07,0.23,0.02,0.11,0.25,0.79,0.62,0.20,9.26
7,1086,0.01,0.08,0.23,0.02,0.12,0.21,1.19,0.22,0.08,10.76
8,1088,0.00,0.09,0.23,0.02,0.14,0.22,0.78,0.23,0.08,11.84
9,1101,0.01,0.10,0.23,0.02,0.15,0.24,0.86,0.49,0.10,13.29
10,1101,0.01,0.11,0.24,0.02,0.16,0.26,1.02,0.77,0.21,15.29
11,1103,0.01,0.12,0.26,0.02,0.16,0.28,0.97,0.28,0.09,16.64
12,1109,0.01,0.12,0.26,0.02,0.16,0.26,0.63,0.26,0.14,17.66
13,1104,0.01,0.13,0.31,0.02,0.19,0.29,0.76,0.70,0.23,19.35
14,1109,0.01,0.14,0.30,0.02,0.20,0.28,1.14,0.83,0.14,21.46
15,1096,0.01,0.15,0.28,0.02,0.19,0.28,0.53,0.46,0.09,22.53
16,1104,0.01,0.16,0.31,0.02,0.20,0.30,0.76,0.75,0.10,24.14
17,1108,0.01,0.16,0.30,0.02,0.22,0.33,1.06,0.91,0.21,26.32
18,1112,0.01,0.16,0.34,0.02,0.19,0.32,0.95,0.33,0.10,27.70
19,1113,0.01,0.17,0.33,0.02,0.22,0.32,0.61,0.51,0.21,29.03
20,1104,0.01,0.17,0.32,0.03,0.21,0.31,0.86,0.90,0.21,31.01
21,1100,0.01,0.17,0.31,0.02,0.22,0.33,1.17,0.41,0.10,32.68
22,1106,0.01,0.18,0.35,0.01,0.27,0.39,0.63,0.45,0.23,34.00
23,1109,0.01,0.20,0.36,0.02,0.26,0.35,1.02,1.01,0.22,36.25
24,1106,0.01,0.22,0.38,0.02,0.27,0.38,1.24,0.49,0.11,38.09
25,1118,0.01,0.21,0.37,0.01,0.26,0.39,0.67,0.60,0.25,39.61
26,1110,0.01,0.21,0.38,0.02,0.27,0.37,1.27,1.07,0.30,42.26
27,1113,0.01,0.23,0.40,0.02,0.27,0.37,0.74,0.61,0.11,43.72
28,1101,0.01,0.22,0.37,0.01,0.26,0.38,0.77,0.84,0.22,45.55
29,1106,0.01,0.21,0.37,0.01,0.27,0.37,1.08,1.01,0.24,47.88
30,1104,0.01,0.23,0.38,0.01,0.28,0.40,0.66,0.63,0.11,49.27
31,1108,0.01,0.23,0.39,0.01,0.27,0.37,0.76,0.99,0.11,51.13
32,1106,0.02,0.24,0.38,0.07,0.27,0.36,0.92,1.10,0.22,53.37
33,1111,0.02,0.23,0.38,0.07,0.28,0.39,1.09,0.47,0.12,55.05
34,1106,0.01,0.23,0.39,0.08,0.32,0.43,0.70,0.42,0.20,56.37
35,1114,0.02,0.23,0.40,0.07,0.28,0.39,0.98,0.69,0.24,58.29
36,1113,0.01,0.24,0.40,0.09,0.27,0.37,0.97,0.90,0.25,60.41
