Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.00,0.03,0.10,0.03,0.08,0.34
1,436,0.01,0.05,0.17,0.10,0.08,1.22
2,441,0.01,0.05,0.17,0.10,0.09,2.31
3,437,0.01,0.06,0.16,0.10,0.09,3.39
4,445,0.01,0.07,0.18,0.13,0.09,4.68
5,448,0.01,0.07,0.22,0.11,0.10,5.89
6,449,0.01,0.07,0.20,0.15,0.10,7.17
7,450,0.01,0.08,0.24,0.14,0.10,8.45
8,456,0.01,0.08,0.24,0.13,0.11,9.66
9,456,0.01,0.09,0.24,0.11,0.11,10.91
10,463,0.01,0.11,0.31,0.13,0.12,12.31
11,460,0.01,0.12,0.30,0.13,0.13,13.65
12,456,0.01,0.13,0.29,0.15,0.15,15.15
13,451,0.01,0.12,0.28,0.14,0.14,16.66
14,456,0.01,0.14,0.30,0.14,0.14,18.09
15,468,0.01,0.15,0.30,0.14,0.15,19.52
16,464,0.01,0.15,0.31,0.14,0.15,21.03
17,462,0.01,0.13,0.31,0.13,0.14,22.51
18,463,0.01,0.16,0.33,0.14,0.15,24.07
19,463,0.01,0.16,0.31,0.17,0.17,25.60
20,475,0.01,0.16,0.31,0.10,0.16,27.15
21,477,0.01,0.16,0.32,0.15,0.15,28.72
22,476,0.02,0.16,0.35,0.16,0.15,30.35
23,482,0.01,0.16,0.33,0.14,0.16,32.02
24,474,0.01,0.15,0.33,0.18,0.15,33.69
25,495,0.01,0.14,0.32,0.22,0.15,35.38
26,490,0.01,0.15,0.34,0.19,0.15,37.06
27,487,0.01,0.14,0.33,0.17,0.15,38.78
28,482,0.01,0.15,0.36,0.14,0.15,40.39
29,477,0.01,0.16,0.34,0.17,0.16,42.12
30,504,0.01,0.16,0.34,0.20,0.16,43.95
31,500,0.01,0.18,0.38,0.17,0.17,45.68
32,496,0.02,0.18,0.37,0.21,0.17,47.46
33,496,0.01,0.18,0.36,0.15,0.18,49.21
34,493,0.00,0.18,0.38,0.20,0.17,50.99
35,518,0.01,0.18,0.36,0.19,0.17,52.85
36,517,0.01,0.19,0.41,0.22,0.17,54.71
