Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,520,0.01,0.03,0.12,0.09,0.82,1.81
1,539,0.01,0.04,0.13,0.97,0.88,6.31
2,540,0.01,0.05,0.12,0.92,0.97,11.86
3,548,0.01,0.06,0.14,1.18,1.00,17.75
4,554,0.01,0.06,0.16,1.20,1.26,25.78
5,557,0.01,0.07,0.18,0.90,1.11,32.10
6,550,0.01,0.08,0.21,1.18,1.07,38.67
7,561,0.01,0.09,0.21,1.12,1.16,45.29
8,557,0.01,0.10,0.22,0.88,1.10,52.36
9,557,0.02,0.11,0.25,0.99,1.15,59.61
10,565,0.01,0.13,0.33,0.79,1.21,66.56
11,562,0.01,0.14,0.34,1.03,1.25,73.71
12,568,0.01,0.15,0.33,1.04,0.99,80.72
13,570,0.01,0.15,0.33,0.95,1.02,86.08
14,570,0.01,0.18,0.35,0.85,1.05,91.47
15,567,0.02,0.18,0.33,0.70,1.06,96.91
16,570,0.01,0.19,0.36,0.74,1.01,102.14
17,565,0.01,0.20,0.37,0.69,1.02,107.56
18,569,0.01,0.18,0.36,0.83,1.06,112.97
19,564,0.01,0.20,0.37,1.01,1.01,118.90
20,582,0.01,0.18,0.36,1.03,1.08,125.20
21,577,0.01,0.19,0.36,0.78,1.07,131.34
22,569,0.01,0.21,0.39,0.78,1.11,137.41
23,575,0.01,0.22,0.41,0.74,1.12,143.28
24,572,0.02,0.21,0.39,0.91,1.16,149.70
25,594,0.02,0.23,0.40,0.91,1.13,156.14
26,586,0.02,0.20,0.39,0.85,1.04,162.27
27,588,0.02,0.19,0.38,1.07,1.10,169.01
28,580,0.01,0.18,0.39,1.10,1.10,175.65
29,577,0.01,0.20,0.41,1.22,1.12,182.68
30,593,0.01,0.20,0.40,0.76,1.10,188.67
31,598,0.01,0.22,0.44,1.05,1.23,195.06
32,595,0.02,0.23,0.44,1.01,1.20,201.59
33,599,0.02,0.20,0.40,0.80,1.26,207.85
34,594,0.01,0.22,0.43,0.79,1.26,214.50
35,610,0.02,0.22,0.42,0.90,1.21,221.19
36,604,0.01,0.23,0.44,0.96,1.32,227.82
37,597,0.01,0.23,0.44,0.90,1.26,234.33
38,598,0.01,0.22,0.45,0.99,1.30,241.21
39,592,0.02,0.21,0.43,0.76,1.27,247.49
40,604,0.01,0.19,0.43,0.84,1.29,253.99
41,607,0.01,0.21,0.43,1.10,1.39,260.82
42,602,0.01,0.20,0.43,0.97,1.35,267.82
43,600,0.01,0.22,0.43,0.94,1.24,274.34
44,596,0.01,0.20,0.43,0.94,1.35,280.71
45,645,0.01,0.20,0.45,0.92,1.27,287.15
46,639,0.01,0.21,0.44,0.93,1.34,293.77
47,636,0.01,0.24,0.46,1.09,1.46,300.86
48,637,0.01,0.22,0.47,1.06,1.34,307.80
49,636,0.01,0.24,0.48,0.84,1.38,314.74
50,689,0.01,0.24,0.48,0.87,1.49,322.00
51,683,0.01,0.21,0.46,1.00,1.31,329.44
52,675,0.01,0.21,0.46,0.98,1.41,336.40
53,652,0.02,0.23,0.47,0.75,1.34,343.01
54,641,0.01,0.20,0.48,1.17,1.22,350.04
55,666,0.01,0.20,0.46,1.20,1.27,357.14
56,659,0.02,0.20,0.46,1.12,1.32,364.09
57,657,0.01,0.22,0.46,1.01,1.38,371.42
58,650,0.01,0.21,0.46,1.03,1.22,378.49
59,648,0.02,0.21,0.46,1.13,1.27,385.54
60,686,0.02,0.21,0.47,0.90,1.28,392.56
61,675,0.01,0.20,0.46,0.99,1.24,399.46
62,671,0.01,0.20,0.46,1.16,1.29,406.58
63,656,0.01,0.20,0.46,1.04,1.37,413.45
64,647,0.01,0.21,0.46,1.01,1.31,420.45
65,686,0.01,0.20,0.46,1.04,1.26,427.64
66,680,0.01,0.19,0.46,1.03,1.25,434.73
67,675,0.01,0.23,0.49,1.15,1.38,441.82
68,661,0.01,0.20,0.46,1.03,1.38,448.49
69,647,0.01,0.20,0.46,1.08,1.37,455.03
70,678,0.01,0.21,0.47,1.17,1.38,462.08
71,677,0.01,0.21,0.46,1.07,1.29,468.76
72,669,0.01,0.21,0.46,1.04,1.36,475.77
73,668,0.01,0.23,0.46,0.86,1.32,482.70
74,664,0.02,0.22,0.46,1.24,1.43,490.09
75,717,0.01,0.20,0.46,1.16,1.23,496.87
76,708,0.01,0.20,0.46,0.98,1.24,503.64
77,693,0.01,0.22,0.49,1.13,1.38,510.67
78,683,0.01,0.22,0.46,1.08,1.39,517.54
79,674,0.01,0.21,0.46,0.97,1.29,524.59
