Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.03,1.20,4.23
1,180,-45.59,-10.82,-6.86,0.32,1.13,9.40
2,177,-42.27,-9.19,-6.18,0.26,1.01,13.10
3,185,-45.64,-9.91,-5.92,0.44,1.09,19.35
4,185,-37.40,-8.50,-6.28,0.72,0.93,25.78
5,186,-45.96,-8.49,-5.87,0.21,1.01,29.41
6,192,-28.31,-8.10,-5.71,0.56,1.12,34.53
7,191,-27.13,-7.64,-2.40,0.47,1.07,39.07
8,194,-37.20,-7.43,-4.68,0.31,1.00,43.59
9,195,-24.75,-7.59,-4.68,0.61,0.98,48.20
10,196,-37.43,-7.04,2.12,0.31,0.83,51.55
11,196,-27.63,-7.63,-2.58,0.37,1.19,56.16
12,193,-14.69,-6.78,-2.58,0.38,0.90,60.17
13,193,-34.85,-7.18,-2.58,0.53,0.98,64.67
14,195,-38.93,-7.96,-2.58,0.36,1.10,68.78
15,199,-20.40,-7.16,-2.58,0.33,1.26,73.43
16,197,-14.75,-6.60,-2.58,0.89,1.55,78.58
17,198,-33.39,-6.85,-2.58,0.41,1.61,83.55
18,197,-32.53,-7.34,-2.58,0.30,1.22,88.19
19,200,-43.67,-8.00,-2.58,0.38,1.44,92.70
20,211,-31.04,-7.11,-2.58,0.35,1.02,96.70
21,210,-41.35,-7.90,-2.58,1.75,1.07,102.58
22,203,-36.62,-6.90,-2.58,0.33,1.24,107.04
23,202,-44.72,-7.01,-2.58,0.34,1.43,111.35
24,203,-32.03,-6.70,-2.58,0.38,1.20,115.99
25,210,-37.83,-7.27,-2.58,0.44,1.02,120.31
26,206,-34.05,-6.52,-2.58,0.60,1.68,126.77
27,201,-35.66,-7.07,-2.58,0.33,1.77,133.71
28,205,-37.62,-7.60,-2.58,0.52,1.54,140.42
29,206,-43.40,-6.90,-2.58,0.49,1.24,145.32
30,208,-40.49,-6.41,0.17,0.32,1.22,150.03
31,208,-20.97,-6.15,0.14,0.33,1.38,154.92
32,211,-37.69,-7.92,0.14,0.28,1.82,160.65
33,203,-37.04,-6.18,0.14,0.29,1.08,166.83
34,204,-38.17,-6.18,0.14,0.39,1.33,173.07
35,208,-37.03,-6.65,0.14,0.42,1.02,178.72
36,212,-38.20,-6.93,0.14,1.01,1.26,184.81
37,210,-38.05,-6.64,0.14,0.39,1.29,190.08
38,211,-37.04,-6.17,0.14,0.33,1.06,194.84
39,211,-43.38,-7.56,0.14,0.57,1.20,200.44
40,218,-41.67,-6.41,2.62,0.11,1.01,205.53
41,215,-27.12,-5.95,1.39,0.37,1.27,212.10
42,216,-35.04,-6.25,1.39,0.22,1.61,217.81
43,213,-43.35,-6.11,1.39,0.23,1.07,222.73
44,217,-40.06,-6.26,1.39,0.43,1.09,227.65
45,223,-43.60,-5.30,1.39,0.29,0.98,232.05
46,222,-44.83,-6.92,1.39,0.45,1.30,237.22
47,223,-36.63,-6.07,1.39,1.12,1.02,242.43
48,229,-39.99,-6.39,1.31,0.29,1.38,248.33
49,227,-40.56,-5.74,1.39,0.43,1.15,254.19
50,242,-45.35,-6.23,1.39,0.28,1.36,259.03
51,238,-41.14,-6.56,1.39,0.85,1.17,264.77
52,242,-45.00,-5.89,1.39,0.75,1.27,269.98
53,236,-44.90,-5.45,1.39,0.35,1.26,275.16
54,234,-44.54,-6.26,1.39,0.37,1.27,280.16
55,243,-40.03,-5.81,2.15,0.63,1.18,285.35
56,241,-63.63,-5.34,1.39,0.36,1.23,290.01
57,240,-44.79,-5.32,1.39,0.47,1.21,295.52
58,237,-43.40,-5.44,2.35,0.50,1.10,300.24
59,240,-44.27,-6.07,1.39,0.41,1.17,304.87
60,250,-20.09,-4.03,2.38,0.43,1.08,310.17
61,248,-20.51,-4.39,1.39,0.47,1.23,316.73
62,245,-45.51,-4.31,2.30,0.38,1.08,321.39
63,242,-41.65,-4.12,2.70,0.40,0.90,325.29
64,233,-41.30,-3.48,2.46,0.32,1.03,330.90
65,245,-43.01,-3.22,2.49,0.34,0.97,335.02
66,241,-41.88,-3.78,2.46,0.31,0.96,339.13
67,238,-44.68,-4.64,2.46,0.41,1.08,344.43
68,237,-24.09,-3.19,2.46,0.84,1.28,350.02
69,233,-43.70,-3.34,2.52,0.62,0.92,354.17
70,248,-45.22,-2.51,2.46,0.27,1.03,358.82
71,245,-42.93,-3.48,2.46,0.35,1.32,363.96
72,243,-42.68,-3.02,2.46,1.14,1.05,368.83
73,242,-41.45,-3.58,2.46,0.44,1.13,373.00
74,236,-41.04,-3.56,2.46,0.84,0.95,378.04
75,246,-37.59,-2.25,2.46,0.59,0.92,382.32
76,243,-45.35,-4.46,2.51,0.31,1.08,386.57
77,246,-41.08,-2.31,2.60,0.59,0.91,390.32
78,244,-53.50,-2.41,2.56,0.41,1.24,395.72
79,240,-18.90,-2.41,2.56,0.50,1.12,400.70
