Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1020,0.00,0.04,0.13,0.02,0.06,0.11,0.29,0.37,0.05,0.71
1,1061,0.01,0.05,0.17,0.02,0.08,0.16,0.79,0.57,0.06,2.12
2,1086,0.01,0.06,0.18,0.02,0.10,0.20,0.95,0.77,0.15,3.99
3,1086,0.01,0.07,0.23,0.02,0.13,0.24,1.12,0.22,0.08,5.40
4,1098,0.01,0.09,0.23,0.02,0.14,0.24,0.62,0.23,0.14,6.39
5,1093,0.00,0.10,0.24,0.02,0.15,0.24,1.11,0.37,0.18,8.05
6,1104,0.01,0.10,0.24,0.01,0.16,0.23,1.22,0.70,0.19,10.17
7,1095,0.01,0.12,0.29,0.05,0.18,0.26,0.64,0.54,0.09,11.44
8,1111,0.02,0.13,0.28,0.05,0.19,0.28,0.76,0.76,0.10,13.07
9,1110,0.02,0.14,0.28,0.05,0.20,0.28,0.90,0.96,0.20,15.13
10,1112,0.01,0.15,0.30,0.05,0.20,0.32,0.91,0.45,0.18,16.67
11,1094,0.01,0.16,0.31,0.04,0.20,0.31,0.65,0.80,0.11,18.22
12,1087,0.01,0.16,0.32,0.05,0.22,0.31,0.81,0.74,0.19,19.96
13,1103,0.01,0.18,0.37,0.05,0.23,0.33,1.10,0.64,0.10,21.80
14,1104,0.02,0.19,0.35,0.05,0.24,0.35,0.81,0.34,0.17,23.12
15,1097,0.02,0.18,0.35,0.07,0.25,0.37,0.95,0.53,0.22,24.82
16,1093,0.01,0.19,0.34,0.02,0.25,0.37,1.30,0.80,0.21,27.14
17,1093,0.01,0.20,0.38,0.02,0.24,0.36,0.57,0.64,0.09,28.43
18,1093,0.02,0.20,0.38,0.02,0.26,0.38,0.73,0.80,0.10,30.06
19,1101,0.02,0.19,0.36,0.07,0.27,0.37,0.97,0.98,0.25,32.26
20,1101,0.02,0.21,0.37,0.08,0.27,0.40,0.86,0.37,0.20,33.69
21,1106,0.01,0.21,0.37,0.07,0.28,0.40,0.63,0.83,0.19,35.35
22,1113,0.01,0.20,0.39,0.08,0.28,0.40,1.11,1.03,0.26,37.75
23,1109,0.02,0.21,0.39,0.02,0.27,0.43,0.83,0.52,0.11,39.21
24,1111,0.01,0.22,0.39,0.02,0.27,0.38,0.76,0.47,0.11,40.55
25,1115,0.01,0.22,0.44,0.02,0.30,0.42,0.96,0.52,0.21,42.25
26,1125,0.02,0.23,0.42,0.02,0.31,0.43,1.01,1.16,0.31,44.72
27,1112,0.01,0.23,0.40,0.02,0.31,0.45,0.71,0.66,0.11,46.20
28,1121,0.01,0.26,0.45,0.09,0.34,0.45,1.07,0.63,0.25,48.14
29,1111,0.01,0.25,0.44,0.02,0.32,0.45,0.97,1.05,0.27,50.43
30,1116,0.01,0.26,0.45,0.02,0.32,0.44,0.64,0.75,0.12,51.94
31,1105,0.01,0.25,0.45,0.02,0.33,0.44,0.98,0.92,0.25,54.09
32,1115,0.02,0.26,0.45,0.02,0.31,0.42,1.18,0.83,0.12,56.23
33,1109,0.02,0.27,0.47,0.02,0.33,0.41,0.64,0.63,0.25,57.75
34,1104,0.01,0.29,0.46,0.02,0.36,0.47,0.96,0.98,0.23,59.91
35,1115,0.02,0.27,0.44,0.08,0.32,0.43,0.97,1.10,0.12,62.12
36,1107,0.01,0.29,0.46,0.02,0.35,0.47,0.72,0.53,0.25,63.62
37,1115,0.02,0.30,0.49,0.02,0.35,0.46,0.89,1.10,0.26,65.87
38,1118,0.02,0.30,0.49,0.02,0.36,0.45,1.22,0.94,0.12,68.15
39,1121,0.02,0.29,0.47,0.07,0.34,0.44,0.70,0.64,0.28,69.76
40,1115,0.02,0.29,0.47,0.13,0.34,0.42,1.18,1.14,0.25,72.33
41,1110,0.01,0.28,0.47,0.08,0.35,0.45,1.03,0.49,0.27,74.13
42,1121,0.02,0.29,0.48,0.07,0.37,0.48,0.69,1.17,0.12,76.10
43,1118,0.02,0.29,0.49,0.02,0.35,0.47,0.98,1.29,0.26,78.63
44,1120,0.01,0.28,0.47,0.02,0.33,0.44,0.68,0.60,0.20,80.12
45,1115,0.02,0.29,0.47,0.02,0.33,0.44,0.82,0.93,0.27,82.14
46,1117,0.01,0.28,0.47,0.02,0.34,0.44,1.33,1.12,0.24,84.83
47,1110,0.01,0.29,0.47,0.02,0.33,0.43,0.85,0.55,0.15,86.39
48,1127,0.02,0.27,0.47,0.02,0.31,0.42,0.88,0.87,0.28,88.43
49,1115,0.01,0.29,0.46,0.01,0.34,0.45,1.18,1.00,0.12,90.73
50,1119,0.01,0.30,0.47,0.02,0.35,0.45,0.62,0.62,0.28,92.25
51,1109,0.01,0.31,0.48,0.02,0.34,0.45,0.97,1.23,0.28,94.73
52,1121,0.02,0.27,0.46,0.02,0.34,0.45,1.00,0.63,0.14,96.50
53,1114,0.01,0.31,0.50,0.02,0.35,0.46,0.80,0.57,0.27,98.14
54,1120,0.01,0.29,0.49,0.02,0.36,0.46,0.77,1.28,0.29,100.48
55,1115,0.01,0.30,0.47,0.02,0.35,0.44,0.88,1.19,0.15,102.69
56,1119,0.02,0.29,0.47,0.02,0.37,0.49,0.83,0.55,0.29,104.37
57,1109,0.02,0.31,0.49,0.02,0.35,0.46,1.16,1.22,0.27,107.01
58,1123,0.02,0.27,0.47,0.02,0.37,0.47,0.87,0.72,0.16,108.76
59,1114,0.02,0.31,0.48,0.02,0.36,0.47,0.80,0.68,0.28,110.52
60,1115,0.02,0.31,0.49,0.02,0.37,0.47,1.10,1.22,0.29,113.13
61,1123,0.02,0.31,0.48,0.02,0.39,0.48,0.98,0.81,0.15,115.08
62,1118,0.01,0.30,0.47,0.02,0.35,0.45,0.83,0.74,0.35,116.99
63,1121,0.02,0.31,0.49,0.02,0.38,0.49,0.98,1.63,0.28,119.89
64,1127,0.02,0.30,0.48,0.02,0.38,0.49,0.66,0.59,0.26,121.40
65,1118,0.01,0.31,0.48,0.02,0.34,0.44,0.67,1.05,0.24,123.36
66,1127,0.01,0.28,0.46,0.02,0.37,0.48,1.21,1.16,0.29,126.03
67,1117,0.01,0.31,0.49,0.02,0.37,0.48,0.66,0.67,0.20,127.57
68,1122,0.01,0.31,0.48,0.02,0.38,0.50,0.75,1.06,0.30,129.68
69,1122,0.01,0.29,0.47,0.01,0.36,0.48,1.22,1.43,0.14,132.47
70,1130,0.01,0.31,0.51,0.02,0.38,0.50,0.81,0.64,0.29,134.20
71,1136,0.02,0.31,0.50,0.12,0.35,0.46,1.03,1.23,0.31,136.77
72,1135,0.01,0.31,0.48,0.11,0.39,0.50,1.07,0.66,0.18,138.68
73,1128,0.01,0.33,0.53,0.09,0.37,0.46,0.63,0.84,0.30,140.46
74,1128,0.02,0.32,0.51,0.12,0.39,0.49,1.30,1.25,0.32,143.32
75,1122,0.01,0.30,0.49,0.08,0.39,0.49,0.77,0.66,0.21,144.96
76,1125,0.02,0.32,0.50,0.12,0.41,0.49,1.04,0.91,0.30,147.22
77,1124,0.01,0.31,0.49,0.11,0.40,0.52,1.01,1.50,0.16,149.89
78,1124,0.02,0.32,0.49,0.10,0.36,0.45,0.95,0.63,0.31,151.78
79,1122,0.01,0.31,0.49,0.11,0.38,0.49,0.85,1.22,0.37,154.21
80,1138,0.01,0.34,0.51,0.11,0.40,0.50,1.03,1.03,0.22,156.50
81,1127,0.01,0.32,0.49,0.11,0.39,0.48,0.62,0.97,0.31,158.40
82,1126,0.02,0.33,0.49,0.12,0.42,0.53,1.09,1.51,0.31,161.31
83,1123,0.02,0.36,0.54,0.12,0.39,0.48,0.77,0.92,0.16,163.17
84,1119,0.01,0.36,0.53,0.11,0.39,0.48,0.94,1.09,0.32,165.52
85,1117,0.02,0.33,0.52,0.13,0.40,0.48,1.19,1.47,0.16,168.34
86,1119,0.02,0.34,0.52,0.12,0.39,0.48,0.71,0.84,0.39,170.30
87,1122,0.01,0.32,0.51,0.14,0.39,0.47,1.19,1.45,0.32,173.27
88,1112,0.01,0.32,0.52,0.14,0.39,0.48,0.75,0.82,0.15,174.99
89,1106,0.02,0.30,0.52,0.12,0.39,0.48,0.92,1.00,0.29,177.20
90,1118,0.01,0.30,0.51,0.14,0.46,0.56,1.19,1.41,0.19,180.00
91,1126,0.01,0.29,0.51,0.13,0.40,0.48,0.69,0.83,0.33,181.85
92,1128,0.01,0.33,0.53,0.12,0.41,0.49,1.01,1.22,0.34,184.42
93,1115,0.02,0.32,0.51,0.09,0.40,0.50,1.28,0.82,0.25,186.77
94,1126,0.01,0.32,0.51,0.11,0.37,0.47,0.62,1.01,0.28,188.69
95,1122,0.01,0.31,0.51,0.11,0.38,0.47,1.13,1.71,0.32,191.85
96,1126,0.01,0.31,0.51,0.13,0.42,0.52,0.80,0.77,0.23,193.65
97,1122,0.02,0.31,0.51,0.13,0.40,0.49,0.92,0.95,0.30,195.83
98,1124,0.01,0.33,0.52,0.14,0.40,0.51,0.96,1.40,0.17,198.36
99,1132,0.01,0.31,0.51,0.14,0.39,0.49,0.81,0.76,0.35,200.28
100,1123,0.01,0.30,0.51,0.14,0.41,0.53,1.15,1.46,0.32,203.20
101,1120,0.01,0.33,0.55,0.14,0.40,0.53,0.91,0.73,0.18,205.02
102,1128,0.01,0.33,0.53,0.12,0.40,0.49,0.93,1.03,0.34,207.32
103,1120,0.01,0.32,0.53,0.13,0.42,0.52,1.04,1.43,0.31,210.10
104,1124,0.01,0.32,0.54,0.12,0.43,0.54,0.78,0.73,0.27,211.89
105,1131,0.01,0.33,0.52,0.11,0.41,0.53,0.87,1.47,0.33,214.56
106,1120,0.02,0.32,0.52,0.12,0.41,0.51,1.03,0.77,0.16,216.52
107,1124,0.01,0.31,0.52,0.09,0.41,0.51,0.71,0.81,0.32,218.37
108,1125,0.01,0.32,0.55,0.13,0.40,0.51,1.21,1.47,0.34,221.39
109,1119,0.01,0.35,0.55,0.09,0.40,0.51,0.85,0.68,0.25,223.17
110,1129,0.01,0.32,0.53,0.10,0.40,0.52,0.64,1.06,0.26,225.14
111,1121,0.02,0.30,0.52,0.08,0.42,0.53,1.05,1.34,0.33,227.86
112,1124,0.01,0.32,0.53,0.12,0.43,0.54,0.76,0.89,0.19,229.70
113,1128,0.01,0.33,0.53,0.12,0.39,0.50,0.82,0.86,0.34,231.70
114,1125,0.01,0.33,0.52,0.12,0.43,0.53,1.15,1.22,0.31,234.39
115,1117,0.01,0.33,0.52,0.12,0.43,0.55,0.77,0.77,0.19,236.11
116,1119,0.01,0.32,0.53,0.11,0.39,0.50,0.92,1.74,0.31,239.08
117,1117,0.01,0.33,0.53,0.12,0.39,0.52,1.14,0.73,0.30,241.25
118,1120,0.01,0.34,0.55,0.15,0.41,0.52,0.68,1.10,0.28,243.31
119,1118,0.00,0.34,0.54,0.15,0.41,0.52,1.15,1.47,0.33,246.26
120,1115,0.01,0.33,0.53,0.15,0.40,0.50,0.63,0.90,0.17,247.97
121,1123,0.00,0.32,0.53,0.15,0.42,0.52,0.98,0.99,0.34,250.29
122,1122,0.01,0.30,0.52,0.13,0.42,0.51,1.24,1.31,0.17,253.01
123,1122,0.01,0.31,0.52,0.13,0.43,0.54,0.72,0.82,0.39,254.94
124,1122,0.01,0.29,0.52,0.10,0.38,0.47,1.26,1.43,0.35,257.99
125,1118,0.02,0.33,0.52,0.13,0.43,0.53,0.73,0.73,0.18,259.63
126,1126,0.01,0.32,0.52,0.12,0.41,0.52,0.89,1.01,0.34,261.86
127,1121,0.02,0.32,0.52,0.10,0.40,0.51,1.31,1.23,0.30,264.70
128,1119,0.01,0.31,0.52,0.11,0.41,0.51,0.82,0.71,0.25,266.47
129,1122,0.01,0.32,0.52,0.12,0.42,0.52,0.95,0.85,0.33,268.61
130,1123,0.02,0.32,0.52,0.12,0.40,0.51,1.13,1.43,0.16,271.33
131,1132,0.02,0.33,0.55,0.11,0.40,0.50,0.69,0.74,0.33,273.08
132,1124,0.01,0.34,0.54,0.11,0.42,0.54,1.06,1.48,0.41,276.02
133,1131,0.02,0.32,0.54,0.11,0.41,0.52,0.78,0.91,0.17,277.89
134,1134,0.01,0.34,0.56,0.13,0.41,0.52,1.01,0.92,0.35,280.16
135,1133,0.01,0.33,0.55,0.12,0.44,0.55,1.08,1.52,0.17,282.93
136,1140,0.01,0.36,0.56,0.11,0.43,0.55,0.88,0.74,0.36,284.91
137,1130,0.01,0.32,0.52,0.13,0.41,0.54,0.98,1.98,0.33,288.20
138,1127,0.01,0.34,0.55,0.14,0.39,0.50,0.80,0.97,0.30,290.28
139,1131,0.01,0.33,0.54,0.13,0.40,0.51,0.84,1.34,0.36,292.81
140,1125,0.01,0.35,0.55,0.13,0.43,0.54,1.35,0.94,0.18,295.27
141,1126,0.01,0.35,0.54,0.14,0.44,0.56,0.70,0.94,0.35,297.25
142,1116,0.01,0.37,0.58,0.13,0.41,0.52,1.05,2.19,0.31,300.81
143,1119,0.01,0.34,0.57,0.12,0.44,0.55,0.77,0.82,0.36,302.76
144,1114,0.01,0.33,0.56,0.13,0.42,0.53,0.93,1.64,0.33,305.66
145,1137,0.01,0.31,0.55,0.13,0.42,0.51,1.17,0.72,0.19,307.74
146,1125,0.01,0.32,0.55,0.11,0.46,0.57,0.74,0.83,0.38,309.69
147,1128,0.01,0.33,0.55,0.14,0.44,0.55,1.05,1.63,0.39,312.76
148,1124,0.01,0.34,0.55,0.14,0.41,0.52,0.89,0.74,0.28,314.66
149,1122,0.01,0.33,0.55,0.12,0.41,0.51,0.54,1.26,0.30,316.77
150,1118,0.02,0.33,0.55,0.14,0.45,0.57,1.10,1.48,0.34,319.69
151,1132,0.01,0.34,0.55,0.15,0.44,0.54,0.76,0.83,0.44,321.71
152,1122,0.01,0.35,0.55,0.07,0.42,0.51,1.03,1.48,0.34,324.56
153,1122,0.01,0.35,0.57,0.12,0.42,0.53,1.03,0.84,0.18,326.61
154,1121,0.02,0.34,0.55,0.12,0.43,0.55,0.69,1.04,0.34,328.69
155,1135,0.01,0.32,0.55,0.12,0.41,0.52,1.07,1.61,0.40,331.78
156,1115,0.01,0.33,0.55,0.12,0.45,0.57,0.76,0.79,0.24,333.56
